	_id	_ignored	_score	author
0	LINCS_LDS-1398		10.600381	{'name': 'Jie Wu, Malcolm Casale, Ryan Lim, Jennifer Stocksdale'}
1	LINCS_LDS-1431	['all.keyword']	10.600381	{'name': 'Joe Gray, Gordon Mills, Laura Heiser, James Korkola'}
2	LINCS_LDS-1463	['all.keyword']	10.600381	{'name': 'Joe Gray, Gordon Mills, Laura Heiser, James Korkola'}
3	LINCS_LDS-1473	['all.keyword']	10.600381	{'name': 'Joe Gray, Gordon Mills, Laura Heiser, James Korkola'}
4	LINCS_LDS-1508	['all.keyword']	10.600381	{'name': 'Birtwistle, M.; Iyengar, R.; Sobie, E.'}
5	LINCS_LDS-1586		10.600381	"{'name': ""Avi Ma'ayan, Mario Medvedovic, Stephan Schurer""}"
6	LINCS_LDS-1603		10.600381	{'name': 'Nicholas Lyons, Ted Natoli, Sarah Pessa, Xiaodong Lu'}
7	LINCS_LDS-1299	['all.keyword']	10.600381	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
8	LINCS_LDS-1307	['all.keyword']	10.600381	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
9	LINCS_LDS-1311	['all.keyword']	10.600381	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
10	LINCS_LDS-1319	['all.keyword']	10.600381	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
11	LINCS_LDS-1327	['all.keyword']	10.600381	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
12	LINCS_LDS-1362	['all.keyword']	10.600381	{'name': 'Marc Hafner, Laura M. Heiser'}
13	LINCS_LDS-1233	['all.keyword']	10.454861	{'name': 'Todd Golub, Aravind Subramanian'}
14	LINCS_LDS-1303	['all.keyword']	10.454861	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
15	LINCS_LDS-1315	['all.keyword']	10.454861	{'name': 'Joe Gray, Laura Heiser, James Korkola'}
16	LINCS_LDS-1372	['all.keyword']	10.454861	{'name': 'Todd Golub, Aravind Subramanian'}
17	LINCS_LDS-1614		10.454861	{'name': 'Caitlin Mills, Kartik Subramanian'}
18	LINCS_LDS-41234	['all.keyword']	10.454861	{'name': 'Malvina Papanastasiou, Jake Jaffe'}
19	LINCS_EDS-1016		10.454861	"{'name': ""Avi Ma'ayan, Mario Medvedovic, Stephan Schurer""}"
20	LINCS_LDS-1191	['all.keyword']	10.454861	{'name': 'Todd Golub, Aravind Subramanian'}
21	LINCS_LDS-1194		10.454861	{'name': 'Stuart Schreiber, Todd Golub'}
22	LINCS_LDS-1518	['all.keyword']	10.454861	{'name': 'Caitlin E. Mills, Marc Hafner'}
23	LINCS_LDS-1519	['all.keyword']	10.454861	{'name': 'Caitlin E. Mills, Marc Hafner'}
24	LINCS_LDS-1523	['all.keyword']	10.454861	{'name': 'Birtwistle, M.; Iyengar, R.; Sobie, E.'}
