"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Aligned genomic sequence reads -  Multiple <i>E. histolytica</i> Strains","2011-02-11","Apollo","Neil Hall","Wellcome Sanger Institute","AmoebaDB rel. 1.0, 01-JAN-05","0","Genetic variation","ehisHM1IMSS_HTS_SNP_Weedall_SOLID_htsSNPs_RSRC","DS_043fe19169","<i>Entamoeba histolytica</i> HM-1:IMSS<br>","N/A","N/A","Neil Hall","Whole genome sequencing of multiplen of 9 <i>E. Histolytica</i> strains","isolates","N/A"
"Transcriptomes of HM1:IMSS and Rahman strain trophozoites","1.0_gus4","Apollo","Nancy Guillen","Unit of Cell Biology of Parasitism, Institut Pasteur","AmoebaDB rel. 3.0, 2013-SEP-25","19","RNASeq","ehisHM1IMSS_Guillen_ebi_rnaSeq_RSRC","DS_0891b4c971","<i>Entamoeba histolytica</i> HM-1:IMSS<br>","23258700","N/A","Hon et al.","Transcriptomes of virulent <i>Entamoeba histolytica</i> HM1:IMSS and non-virulent Rahman 
         strains were determined by Illumina RNA-Seq.","transcript_expression","N/A"
"<i>Entamoeba histolytica</i> KU27 Genome Sequence and Annotation","2015-03-19","N/A","J. Craig Venter Institute","J. Craig Venter Institute","AmoebaDB rel. 49, 2020-NOV-05","0","Genomes","ehisKU27_primary_genome_RSRC","DS_0990b51933","<i>Entamoeba histolytica</i> KU27<br>","N/A","Users should acknowledge the J. Craig Venter Institute and the National Institute of Allergy and Infectious Diseases, National Institutes of Health, Department of Health and Human Services in any publications that result from use of this draft sequence assembly. Any investigators who propose to publish analyses of the sequence/open reading frames/genes on a genome scale should contact the J. Craig Venter Institute for the use of pre-publication data.","J. Craig Venter Institute","<i>E. histolytica</i> KU27 genome sequence and annotation","genome","7469"
"Small RNA and antisense transcription in E histolytica","2022-02-08","Apollo","Nancy Guillen","Unit of Cell Biology of Parasitism, Institut Pasteur","AmoebaDB rel. 59, 2022-AUG-30","59","RNASeq","ehisHM1IMSS_ehisHM1IMSS_smallRNA_RNASeq_RSRC_ebi_rnaSeq_RSRC","DS_09b7a88489","<i>Entamoeba histolytica</i> HM-1:IMSS<br>","35208849","N/A","Mornico et al. 2022","Transcriptome analysis <i> E histolytica</i> HM1:IMSS to include small RNA sequences for determining antisense transcription and transcription start sites.","transcript_expression","N/A"
"Transcription start sites for E dispar","2022-04-28","Apollo","Nancy Guillen","Unit of Cell Biology of Parasitism, Institut Pasteur","AmoebaDB rel. 59, 2022-AUG-30","59","Sequence sites, features and motifs","edisSAW760_TSS_Mornico_GFF_RSRC","DS_0d1304c893","<i>Entamoeba dispar</i> SAW760<br>","35208849","N/A","Nancy Guillen","Transcription start sites for <i>E. dispar</i> SAW760 determined by RNA seq analysis","feature","N/A"
"<i>Entamoeba histolytica</i> KU50 Genome Sequence","2021-10-05","N/A","GenBank","NCBI","AmoebaDB rel. 64, 2023-JUL-12","64","Genomes","ehisKU50_primary_genome_RSRC","DS_0d3a7c0116","<i>Entamoeba histolytica</i> KU50<br>","N/A","N/A","GenBank","Genome Sequence of <i>Entamoeba histolytica</i> KU50","genome","N/A"
"<i>Entamoeba histolytica</i> Rahman Genome Sequence","2021-10-14","N/A","GenBank","NCBI","AmoebaDB rel. 64, 2023-JUL-12","64","Genomes","ehisRAH_primary_genome_RSRC","DS_0dc33024e8","<i>Entamoeba histolytica</i> Rahman<br>","N/A","N/A","GenBank","Genome Sequence of <i>Entamoeba histolytica</i> Rahman","genome","N/A"
"Small RNA and antisense transcription in E dispar","2022-02-08","Apollo","Nancy Guillen","Unit of Cell Biology of Parasitism, Institut Pasteur","AmoebaDB rel. 59, 2022-AUG-30","59","RNASeq","edisSAW760_edisSAW760_smallRNA_RNASeq_RSRC_ebi_rnaSeq_RSRC","DS_0e8ecebdf0","<i>Entamoeba dispar</i> SAW760<br>","35208849","N/A","Mornico et al. 2022","Transcriptome analysis <i> E dispar</i> SAW760 to include small RNA sequences for determining antisense transcription and transcription start sites.","transcript_expression","N/A"
"<i>Naegleria fowleri</i> strain Ty Genome Sequence and Annotation","2020-10-15","Apollo","Ibne Karim M. Ali","US Center for Disease Control and Prevention","AmoebaDB rel. 58, 2022-JUN-23","57","Genomes","nfowTy_primary_genome_RSRC","DS_140a09e816","<i>Naegleria fowleri</i> strain Ty<br>","33858935, 34378985","N/A","Ibne Karim M. Ali","Genome Sequence and Annotation of <i>Naegleria fowleri</i> strain Ty","genome","9405"
"<i>Naegleria fowleri</i> ATCC 30863 Genome Sequence and Annotation","2014-11-05","N/A","Matthias Wittwer","Spiez Laboratory","AmoebaDB rel. 63, 2023-MAY-03","19","Genomes","nfowATCC30863_primary_genome_RSRC","DS_15869af06d","<i>Naegleria fowleri</i> ATCC 30863<br>","24950717","N/A","Matthias Wittwer","<i>Naegleria fowleri</i> ATCC 30863 genome sequence and annotation","genome","13252"
