"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"Sporozoite Proteome (IowaII)","2007-03-09","Apollo","Jonathan M. Wastling","University of Liverpool","CryptoDB rel. 1.0, 01-JAN-05","0","Protein expression","cparIowaII_massSpec_Wastling_RSRC","DS_0bf2c58ee5","<i>Cryptosporidium parvum</i> Iowa II<br>","18306179","N/A","Sanderson et al.","<u><i>C. parvum</i> sporozoite peptides from 2D gel LC-MS/MS analysis.</u><br>
            
            Purified oocysts of <i>Cryptosporidium parvum</i> IowaII passaged in lambs were excysted. Freshly excysted 
            sporozoites were solubolized and protein preparations were analyzed by 2 dimensional electrophoresis 
            LC-MS/MS. Spectra were searched against a Cryptosporidium database using SEQUEST. SEQUEST results were 
            assembled and filtered using the DTASelect (version 2.0) program.","protein_expression","N/A"
"Single end whole genome sequencing and comparative genomic analysis (C. parvum aligned)","2014-12-18","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","cparIowaII_HTS_SNP_Guo_Genetic_Recombination_Single_End_RSRC","DS_0e6a419642","<i>Cryptosporidium parvum</i> Iowa II<br>","N/A","N/A","Lihua Xiao","Whole genome sequencing of <i>Cryptosporidium hominis</i> subtypes","isolates","N/A"
"Proteome during Sporozoite Excystation (ISSC162)","2007-03-15","Apollo","Colm Lowery","University of Ulster","CryptoDB rel. 1.0, 01-JAN-05","0","Protein expression","cparIowaII_massSpec_Lowery_LC_MSMS_RSRC","DS_1211e45c5b","<i>Cryptosporidium parvum</i> Iowa II<br>","17124246","N/A","Snelling et al.","Proteome during <i>C. parvum</i> strain ISSC162 excystation.  Soluble 
    and insoluble fractions of both non-excysted and excysted sporozoites were analyzed.","protein_expression","N/A"
"Aligned genomic sequence reads - TU114 Strain (C. hominis aligned)","2011-09-21","Apollo","Giovanni Widmer","Cummings School of Veterinary Medicine, Tufts University","CryptoDB rel. 1.0, 01-JAN-05","0","Genetic variation","chomTU502_HTS_SNP_Widmer_HTS_RSRC","DS_13662120eb","<i>Cryptosporidium hominis</i> TU502<br>","22522000","N/A","Giovanni Widmer","SNPs determined by aligning high throughput sequencing reads of <i>C. parvum</i> TU114 to the 
    	<i>C. parvum</i> reference genome","isolates","N/A"
"Comparative genomics of Cryptosporidium spp. 34902 and 35090 (C. hominis aligned)","2017-04-14","Apollo","Lihua Xiao","South China Agricultural University","CryptoDB rel. 57, 2022-APR-21","57","Genetic variation","chomTU502_HTS_SNP_Feng_Comparative_Single_End_HTS_SNPs_RSRC","DS_1479d1c65e","<i>Cryptosporidium hominis</i> TU502<br>","28192123","N/A","Lihua Xiao","Comparative genomic analysis of the IId subtype family of <i>Cryptosporidium parvum</i> isolates 34902 and 35090","isolates","N/A"
"Cryptosporidium hominis genetic diversity in isolates from Bangladesh (C parvum aligned)","2018-01-11","Apollo","Carol Gilchrist","University of Virginia, School of Medicine","CryptoDB rel. 38, 2018-JUL-05","38","Genetic variation","cparIowaII_HTS_SNP_Gilchrist_Genetic_Diversity_Bangladesh_RSRC","DS_18d27de505","<i>Cryptosporidium parvum</i> Iowa II<br>","29514308","N/A","Carol Gilchrist","<i>Cryptosporidium hominis</i> genetic diversity in isolates from Bangladesh","isolates","N/A"
"Popset Records from GenBank","N/A","Apollo","GenBank","NCBI","CryptoDB rel. 1.0, 01-JAN-05","0","Genetic variation","_isolates_genbank_RSRC$","DS_19a7ddd8f2","<i>Chromera velia</i> CCMP2878<br><i>Cryptosporidium parvum</i> Iowa II<br><i>Gregarina niphandrodes</i> Unknown strain<br><i>Porospora cf.</i> gigantea A<br><i>Vitrella brassicaformis</i> CCMP3155<br>","N/A","N/A","GenBank","GenBank records containing sequence and metadata for popsets","isolates","N/A"
"Cryptosporidium hominis genetic diversity in isolates from Bangladesh (C hominis aligned)","2018-01-11","Apollo","Carol Gilchrist","University of Virginia, School of Medicine","CryptoDB rel. 41, 2018-DEC-13","41","Genetic variation","chomTU502_HTS_SNP_Gilchrist_Genetic_Diversity_Bangladesh_RSRC","DS_1cd846fd00","<i>Cryptosporidium hominis</i> TU502<br>","29514308","N/A","Carol Gilchrist","<i>Cryptosporidium hominis</i> genetic diversity in isolates from Bangladesh","isolates","N/A"
"<i>Cryptosporidium parvum</i> Iowa II Genome Sequence and Annotation","2007-02-26","Apollo","Vivek Kapur","University of Minnesota","CryptoDB rel. 52, 2021-MAY-20","0","Genomes","cparIowaII_primary_genome_RSRC","DS_1ef76fc0ef","<i>Cryptosporidium parvum</i> Iowa II<br>","15044751","N/A","Vivek Kapur","Genome sequence and annotation for <i>Cryptosporidium parvum</i> IowaII","genome","4020"
"<i>Cryptosporidium hominis</i> isolate 30976 Genome Sequence and Annotation","2017-11-16","N/A","Lihua Xiao","South China Agricultural University","CryptoDB rel. 52, 2021-MAY-20","36","Genomes","chom30976_primary_genome_RSRC","DS_25a96f8412","<i>Cryptosporidium hominis</i> isolate 30976<br>","25903370","N/A","Lihua Xiao","<i>Cryptosporidium hominis</i> isolate 30976 sequence and annotation","genome","3994"
