"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Epichloe glyceriae</i> E277 Genome Sequence","2011-09-02","N/A","Christopher Schardl","Department of Plant Pathology, University of Kentucky, USA","FungiDB rel. 51, 2021-MAR-16","51","Genomes","eglyE277_primary_genome_RSRC","DS_0011425ac1","<i>Epichloe glyceriae</i> E277<br>","23468653","N/A","Schardl et al. 2013","Genome Sequence for <i>Epichloe glyceriae</i> E277","genome","N/A"
"DNA damage-induced transcriptome changes in Candida glabrata","2020-12-15","Apollo","David Perlin","Center for Discovery and Innovation, Hackensack Meridian Health","FungiDB rel. 56, 2022-FEB-15","56","RNASeq","cglaCBS138_Shor_2020_Cglabr_ebi_rnaSeq_RSRC","DS_0024327063","<i>Nakaseomyces glabratus</i> CBS 138<br>","33323516","N/A","Shor et al. 2020","DNA damage-induced transcriptome changes in Candida glabrata","transcript_expression","N/A"
"SNP calls on A. fumigatus strains isolated from patients with PA and CNPA","2014-06-09","Apollo","Hiroki Takahashi","Medical Mycology Research Center, Chiba University","FungiDB rel. 46, 2019-NOV-06","46","Genetic variation","afumAf293_HTS_SNP_Takahashi_PA_CNPA_RSRC","DS_012298da2c","<i>Aspergillus fumigatus</i> Af293<br>","25851262","N/A","Takahashi-Nakaguchi et al. 2015","WGS analyses of 17 strains isolated from patients in Japan with PA and CNPA","isolates","N/A"
"<i>Schizosaccharomyces japonicus</i> yFS275 Genome Sequence and Annotation","2015-03-22","Apollo","Nick Rhind","University of Massachusetts, Worcester, Medical School","FungiDB rel. 51, 2021-MAR-16","19","Genomes","sjapyFS275_primary_genome_RSRC","DS_01b2dc5b05","<i>Schizosaccharomyces japonicus</i> yFS275<br>","N/A","N/A","Nick Rhind","Genome sequence and annotation for <i>Schizosaccharomyces japonicus</i> yFS275.","genome","5232"
"Transcriptional profiling of B. gramminis on Lr34 resistance and susceptible barley plants","2017-07-07","Apollo","Beat Keller","Department of Plant and Microbial Biology, University of Zurich, Switzerland","FungiDB rel. 64, 2023-JUL-12","64","RNASeq","bgraTritici96224_Sucher_Bgramminis_2018_ebi_rnaSeq_RSRC","DS_02195c07e0","<i>Blumeria graminis</i> f. sp. tritici 96224<br>","N/A","N/A","Sucher et al. 2018","Transcriptional analysis of the <i>Blumeria graminis</i> biotrophic pathogen during their respective growth on Lr34 resistance and susceptible barley plants.","transcript_expression","N/A"
"<i>Candida albicans</i> WO-1 Genome Sequence and Annotation","2013-12-11","N/A","Candida Genome Database (CGD)","Stanford University","FungiDB rel. 53, 2021-JUL-21","39","Genomes","calbWO1_primary_genome_RSRC","DS_033b09f437","<i>Candida albicans</i> WO-1<br>","12399384, 19465905, 3539914","N/A","Candida Genome Database (CGD)","Genome sequence and annotation for <i>Candida albicans</i> WO-1.","genome","6160"
"Adaptive mechanisms of Aspergillus fumigatus’conidia to nutrient restriction Quant","2017-05-24","Apollo","Manuela Oliveira","Biology Department, Faculty of Sciences, University of Porto, Porto, Portugal","FungiDB rel. 45, 2019-SEP-05","45","Protein expression","afumAf293_quantitativeMassSpec_Oliveira_Nutrient_Restriction_quant_RSRC","DS_033e62f4ec","<i>Aspergillus fumigatus</i> Af293<br>","28365406","N/A","Andjo et al.","<i>Aspergillus fumigatus</i> quantitative proteome. Aspergillus fumigatus, a common airborne fungus, has been reported as one of the most frequent agents of human fungal infections.","protein_expression","N/A"
"<i>Candida dubliniensis</i> CD36 Genome Sequence and Annotation","2015-02-27","Apollo","Pathogen Sequencing Unit","Wellcome Sanger Institute","FungiDB rel. 56, 2022-FEB-15","56","Genomes","cdubCD36_primary_genome_RSRC","DS_0360a7ae66","<i>Candida dubliniensis</i> CD36<br>","19745113","N/A","Pathogen Sequencing Unit","Genome Sequence and Annotation of <i>Candida dubliniensis</i> CD36","genome","6095"
"<i>Spizellomyces punctatus</i> DAOM BR117 Genome Sequence and Annotation","2015-07-29","Apollo","The Broad Institute of MIT and Harvard","The Broad Institute of MIT and Harvard","FungiDB rel. 51, 2021-MAR-16","21","Genomes","spunDAOMBR117_primary_genome_RSRC","DS_0399018270","<i>Spizellomyces punctatus</i> DAOM BR117<br>","N/A","N/A","The Broad Institute of MIT and Harvard","Genome sequence and annotation for <i>Spizellomyces punctatus</i> DAOM BR117.","genome","9169"
"<i>Peronospora effusa</i> R13 Genome Sequence and Annotation","2018-11-27","Apollo","Richard Michelmore","College of Agricultural and Environmental Sciences, UC Davis, USA","FungiDB rel. 53, 2021-JUL-21","53","Genomes","peffR13_primary_genome_RSRC","DS_04464ff60b","<i>Peronospora effusa</i> R13<br>","30486780","N/A","Richard Michelmore","Genome Sequence and Annotation of <i>Peronospora effusa</i> R13","genome","8603"
"Transcriptomes of wild-type vs veA and mtfA deletion mutants","2015-03-18_gus4","Apollo","Antonis Rokas","Vanderbilt University Medical Center, TN USA","FungiDB rel. 28, 2016-MAR-31","28","RNASeq","anidFGSCA4_Lind_SecondaryMetabolism_Anid_ebi_rnaSeq_RSRC","DS_04666bdd43","<i>Aspergillus nidulans</i> FGSC A4<br>","25786130","N/A","Lind et al. 2015","RNA-Seq of wild-type and deletion mutants of the secondary metabolite regulators, VeA and MtfA","transcript_expression","N/A"
