"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Giardia Assemblage B</i> isolate BAH15c1 Genome Sequence and Annotation","2016-02-01","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 62, 2023-MAR-09","44","Genomes","gassBBAH15c1_primary_genome_RSRC","DS_0bcfe5e81b","<i>Giardia Assemblage</i> B isolate BAH15c1<br>","26003141","N/A","Staffan Svärd","Genome Sequence and Annotation for <i>Giardia</i> Assemblage B isolate BAH15c1","genome","4992"
"Virulent vs Avirulent Trophozoites (B-2041, H-106)","2014-11-12","Apollo","Samantha J. Emery-Corbin","Walter and Eliza Hall Institute of Medical Research and The University of Melbourne","GiardiaDB rel. 25, 2015-JUL-23","25","Protein expression","gassAWB2019_massSpec_Emery_Virulence_Proteomics_RSRC","DS_0ca33c7939","<i>Giardia Assemblage</i> A isolate WB 2019<br>","25266764","N/A","Emery et al.","<i>G. lamblia</i> Assemblage A Proteomics of virulent and avirulent Strains (Mass Spec peptides)","protein_expression","N/A"
"Giardia secretome IEC infection (GassBGS aligned)","2017-12-11","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 39, 2018-AUG-30","39","Protein expression","gassBGS_massSpec_Secretome_IEC_infection_RSRC","DS_0d06f3af80","<i>Giardia Assemblage</i> B isolate GS<br>","29228011","N/A","Maayeh et al.","Secretome of <i>Giardia intestinalis</i> isolates WB clone C6 (ATCC30957; assemblage A) and GS, clone H7 (ATCC50581; assemblage B) during interaction with intestinal epithelial cells (IECs)","protein_expression","N/A"
"Encystation Proteome (WB)","2013-08-31","Apollo","Adrian B. Hehl","Institute of Parasitology, University of Zurich, Zurich, Switzerland","GiardiaDB rel. 1.0, 01-JAN-05","0","Protein expression","gassAWB2019_massSpec_Faso_time_course_encystation_RSRC","DS_13b967f8f3","<i>Giardia Assemblage</i> A isolate WB 2019<br>","24391747","N/A","Faso et al.","<i>G. lamblia</i> Assemblage A (isolate WBC6) proteome during encystation","protein_expression","N/A"
"Argonaute-Associated Small RNAs (WB)","2012-12-03","Apollo","Ching C. Wang","Dept of Pharmaceutical Chemistry, University of California- San Francisco, San Fransciso, California, US","GiardiaDB rel. 5.0, 2014-SEP-10","22","RNASeq","gassAWB2019_smallNcRna_Wang_RSRC","DS_1875623839","<i>Giardia Assemblage</i> A isolate WB 2019<br>","24586143","N/A","Saraiya et al.","Illumina RNA-Seq of small RNAs that co-precipitate with the Argonaute protein","transcript_expression","N/A"
"Popset Records from GenBank","N/A","Apollo","GenBank","NCBI","GiardiaDB rel. 1.0, 01-JAN-05","0","Genetic variation","_isolates_genbank_RSRC$","DS_19a7ddd8f2","<i>Giardia Assemblage</i> A isolate WB<br><i>Monocercomonoides exilis</i> PA203<br>","N/A","N/A","GenBank","GenBank records containing sequence and metadata for popsets","isolates","N/A"
"S. salmonicida ATCC50377 transcripts from Release 60","bld60","Apollo","Jan Andersson","Department of Cell and Molecular Biology, Science for Life Laboratory, Uppsala University, BMC","GiardiaDB rel. 1.0, 01-JAN-05","0","Sequence sites, features and motifs","ssalATCC50377_bld60Transcripts_transcript_sequences_RSRC","DS_29432178d5","<i>Spironucleus salmonicida</i> ATCC50377<br>","N/A","N/A","Jan Andersson","Transcripts for S. salmonicida ATCC50377 from GiardiaDB Release 60.","aligned_sequence","N/A"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","GiardiaDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","GiardiaDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"<i>Giardia Assemblage A</i> isolate WB Genome Sequence and Annotation","2010-03-10","N/A","Hilary Morrison","Marine Biological Laboratory","GiardiaDB rel. 51, 2021-MAR-16","0","Genomes","gassAWB_primary_genome_RSRC","DS_3540f1935c","<i>Giardia Assemblage</i> A isolate WB<br>","17901334","N/A","Hilary Morrison","Genome Sequence and Annotation for <i>Giardia</i> Assemblage A isolate WB","genome","9747"
"NCBI Taxonomy","2021-01-06","N/A","TAXON","NCBI","GiardiaDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"<i>Monocercomonoides exilis</i> PA203 Genome Sequence and Annotation","2021-11-22","Apollo","Vladimír Hampl","Charles University in Prague","GiardiaDB rel. 57, 2022-APR-21","46","Genomes","mexiPA203_primary_genome_RSRC","DS_3a6ccbfbcf","<i>Monocercomonoides exilis</i> PA203<br>","27185558, 31387118, 34951395","N/A","Vladimír Hampl","Genome Sequence and Annotation for <i>Monocercomonoides exilis</i> strain PA203.","genome","18152"
"Encysting Giardia during infection in human IEC","2022-04-27","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 61, 2022-DEC-15","61","RNASeq","gassAWB2019_gassAWB2019_encysting_in_IEC_RNASeq_ebi_rnaSeq_RSRC","DS_3fae66e032","<i>Giardia Assemblage</i> A isolate WB 2019<br>","35573800","N/A","Rojas et al. 2022","RNA-seq data from encysting Giardia cells (7hr encysting) during an infection in human Caco-2 cells","transcript_expression","N/A"
"<i>Spironucleus salmonicida</i> ATCC50377 Genome Sequence and Annotation","2021-10-05","Apollo","Jan Andersson","Department of Cell and Molecular Biology, Science for Life Laboratory, Uppsala University, BMC","GiardiaDB rel. 61, 2022-DEC-15","22","Genomes","ssalATCC50377_primary_genome_RSRC","DS_45f9f247d1","<i>Spironucleus salmonicida</i> ATCC50377<br>","24516394, 36153341","N/A","Jan Andersson","Genome Sequence and Annotation for <i>Spironucleus salmonicida</i> ATCC50377","genome","9066"
"Transcript Profiling of Host-parasite Interactions","2010-03-12","N/A","Staffan Svärd","Uppsala University","GiardiaDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","gassAWB_microarrayExpression_Ringqvist_RSRC","DS_46819d54f4","<i>Giardia Assemblage</i> A isolate WB<br>","21074536","N/A","Staffan Svärd","<i>G. lamblia</i> Assemblage A array profiles of host-parasite interactions","transcript_expression","N/A"
"Encystation in trophozoites","2010-05-10","N/A","Adrian B. Hehl","Institute of Parasitology, University of Zurich, Zurich, Switzerland","GiardiaDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","gassAWB_microarrayExpression_Hehl_Encystation_RSRC","DS_486a17935c","<i>Giardia Assemblage</i> A isolate WB<br>","20693303","N/A","Morf et al.","<i>G. lamblia</i> Assemblage A isolate WB encystation microarray analysis","transcript_expression","N/A"
"Enzyme Nomenclature Database","2021-01-06","N/A","ENZYME","Swiss Institute of Bioinformatics","GiardiaDB rel. 1.0, 01-JAN-05","0","Function","enzymeDB_RSRC","DS_4d5814c3f2","<br>","10592255","N/A","ENZYME","EC Numbers from ENZYME","function","N/A"
"<i>Giardia Assemblage A</i> isolate WB 2019 Genome Sequence and Annotation","2019-11-06","Apollo","Staffan Svärd","Uppsala University","GiardiaDB rel. 56, 2022-FEB-15","56","Genomes","gassAWB2019_primary_genome_RSRC","DS_4df11444f9","<i>Giardia Assemblage</i> A isolate WB 2019<br>","32019935","N/A","Staffan Svärd","Genome Sequence and Annotation of <i>Giardia Assemblage</i> A isolate WB 2019","genome","5391"
"Stress Response in Trophozoites - Temparature Redox","1.0","N/A","Adrian B. Hehl","Institute of Parasitology, University of Zurich, Zurich, Switzerland","GiardiaDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","gassAWB_microarrayExpression_Hehl_Stress-response_Temperature_Concentration_RSRC","DS_517efcd6ae","<i>Giardia Assemblage</i> A isolate WB<br>","N/A","N/A","Adrian B. Hehl","Microarray expression profiles of <i>G. lamblia</i> Assemblage A trophozoite response to temparature or redox (DTT) stress","transcript_expression","N/A"
"Metranidazole-resistant Giardia proteomes and post-translational modifications","2018-04-01","Apollo","Aaron Jex","Walter and Eliza Hall Institute of Medical Research and University of Melbourne","GiardiaDB rel. 45, 2019-SEP-05","45","Protein expression","gassAWB2019_quantitativeMassSpec_Metranidazone-resistant_RSRC","DS_5414d95d01","<i>Giardia Assemblage</i> A isolate WB 2019<br>","29688452","N/A","Emery et al.","Three Giardia Assemblage A isolate WB lines that are resistant to metranidazole, WB MtzR, 106 MtzR and 713 MtzR, were analyzed by quantitative proteomics and for post-translational modifications.","protein_expression","N/A"
"Mitosome enriched proteome (WB)","1.0","Apollo","Jan Tachezy","Department of Parasitology, Charles University in Prague","GiardiaDB rel. 1.0, 01-JAN-05","0","Protein expression","gassAWB2019_massSpec_Tachezy_Enriched_Fraction_RSRC","DS_551fd9752f","<i>Giardia Assemblage</i> A isolate WB 2019<br>","21390322","N/A","Jedelsk et al.","Proteome of <i>G. lamblia</i> Assemblage A isolate WB mitosome enriched fraction determined by LC-MS/MS.","protein_expression","N/A"
"<i>Giardia Assemblage A</i> isolate WB Calgary Genome Sequence","2020-03-23","N/A","James D Wasmuth","University of Calgary","GiardiaDB rel. 62, 2023-MAR-09","62","Genomes","gassAWBCalgary_primary_genome_RSRC","DS_5cded43e4c","<i>Giardia Assemblage</i> A isolate WB Calgary<br>","32111234","N/A","James D Wasmuth","Genome Sequence of <i>Giardia Assemblage</i> A isolate WB Calgary","genome","N/A"
"Cellular Localization of Trophozoite or Cytoskeletal GFP-fused proteins","2017-05-01","N/A","Scott Dawson","Department of Microbioogy, UC Davis","GiardiaDB rel. 4.0, 2014-MAY-08","21","Protein targeting and localization","gassAWB_DBP_GeneImage_RSRC","DS_5ea853774b","<i>Giardia Assemblage</i> A isolate WB<br>","22206034","N/A","Dawson et al.","Subcellular localization of selected trophozoite or 
    cytoskeletal proteins from <i>Giardia</i> Assemblage A isolate WB determined 
    by live imaging of GFP-fusion strains.","subcellular_localization","N/A"
