"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Macaca fascicularis</i> REF Genome Sequence and Annotation","2013-06-12","N/A","Chen Ding","College of Life and Health Sciences, Northeastern University, Shenyang, China","HostDB rel. 52, 2021-MAY-20","52","Genomes","mfasREF_primary_genome_RSRC","DS_033cf9c74d","<i>Macaca fascicularis</i> REF<br>","31329596","N/A","Chen Ding","Genome Sequence and Annotation of <i>Macaca fascicularis</i> REF","genome","29324"
"Fresh whole blood infected with Candida albicans","2018-10-02","N/A","Patricia Sieber","Department of Bioinformatics, Faculty of Biological Sciences, Friedrich Schiller University, Jena, Germany","HostDB rel. 49, 2020-NOV-05","49","RNASeq","hsapREF_Kaemmer_Blood_Albicans_ebi_rnaSeq_RSRC","DS_03824cf332","<i>Homo sapiens</i> REF<br>","30333805","N/A","Sieber et al. 2019","<i>Homo sapiens</i> fresh whole blood was infected with <i>Candida albicans</i>.","transcript_expression","N/A"
"Human Quantitative Proteome During an Infection with 4 strains of T. gondii","2015-12-15_gus4","N/A","Jonathan M. Wastling","University of Liverpool","HostDB rel. 1.2, 2014-FEB-03","20","Protein expression","hsapREF_quantitativeMassSpec_Wastling_tgon_strains_RSRC","DS_08fe07cd15","<i>Homo sapiens</i> REF<br>","N/A","N/A","Wastling","<i>H. sapiens</i> peptide sequences from a proteomic analysis of mixed parasite/host samples
    collected during time course infections with <i>T. gondii</i>.","protein_expression","N/A"
"Early infection of Bovine monocyte-derived macrophages with Besnoitia besnoiti tachyzoites","2023-05-18","N/A","Gema Álvarez-García","Complutense University of Madrid, Spain","HostDB rel. 66, 2023-NOV-28","66","RNASeq","btauHereford_btauHereford_Alvarez_early_bbes_in_MO_RNASeq_ebi_rnaSeq_RSRC","DS_0cadd21ec8","<i>Bos taurus</i> breed Hereford<br>","37207972","N/A","Fernandez-Alvarez et al 2023","Early interaction between <i>Bos taurus</i> primary monocyte-derived macrophage and <i>Besnoitia besnoiti</i> tachyzoites <i>in vitro</i>.","transcript_expression","N/A"
"Chicken macrophage-like cells (HD11) infected in vitro with Eimeria tenella","2021-05-01","N/A","Eva Wattrang","Department of Microbiology, National Veterinary Institute","HostDB rel. 59, 2022-AUG-30","59","RNASeq","ggalbGalGal1_GgalbGalGal1matbroilerGRCg7b_Eten_infect_macrophage_RNASeq_ebi_rnaSeq_RSRC","DS_0ef6c17001","<i>Gallus gallus</i> isolate bGalGal1<br>","33536090","N/A","Sandholt et al 2021","Transcriptome of macrophage-like cell line HD11 cultures infected <i>in vitro</i> with purified <i>E. tenella</i> sporozoites. Control cultures as well as cultures harvested as 2, 4, 12, 24, 48 and 72 hours post-infection.","transcript_expression","N/A"
"Patient isolate transcriptomes at acute and 42-days post drug cure. (P vivax)","2022-04-01","N/A","Hernando A. del Portillo","Barcelona Institute for Global Health and Institut d’Investigació","HostDB rel. 60, 2022-NOV-09","60","RNASeq","hsapREF_hsapREF_isolates_accuteV42days_RNAseq_RSRC_ebi_rnaSeq_RSRC","DS_1003e0e228","<i>Homo sapiens</i> REF<br>","32556188","N/A","Brito et al 2022","Transcriptional changes in bone marrow aspirates obtained from patients with <i>Plasmodium vivax</i> malaria during acute attacks and 42 days after drug treatment.","transcript_expression","N/A"
"Mouse transcriptomes during oropharyngeal candidiasis infection","2019-02-27","N/A","Salomé LeibundGut-Landmann","Section of Immunology, Vetsuisse Faculty, University of Zurich","HostDB rel. 62, 2023-MAR-09","62","RNASeq","mmusC57BL6J_Kirchner_Calb_mouse_2019_ebi_rnaSeq_RSRC","DS_11607eef19","<i>Mus musculus</i> C57BL6J<br>","30873177","N/A","Kirchner, et al. 2019","Mus musculus and Candica albicans transcriptome during OPC infection in mice with Candida albicans isolates SC5314 and 101","transcript_expression","N/A"
"Mouse transcriptional response during early stages of R. delemar infection (pulmonary mucormycosis)","2018-01-11","N/A","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","HostDB rel. 63, 2023-MAY-03","63","RNASeq","mmusC57BL6J_Rd_Watkins_2018_ebi_rnaSeq_RSRC","DS_133fe1955a","<i>Mus musculus</i> C57BL6J<br>","30108171","N/A","Watkins et al. 2018","Transcriptional response of mouse lungs to infection with <i>Rhizopus delemar</i>.","transcript_expression","N/A"
"In vivo mouse transcriptome during P. chaubadi infection","2019-01-25","N/A","Arnab Pain","King Abdullah University of Science and Technology","HostDB rel. 53, 2021-JUL-21","53","RNASeq","mmusC57BL6J_Ramaprasad_Pcha_Infection_ebi_rnaSeq_RSRC","DS_15c2879388","<i>Mus musculus</i> C57BL6J<br>","30683099","N/A","Ramaprasad et al","Mouse transcriptome during infection with <i>P. chabaudi</i> WT or SR10 knockout.  Samples collected by micro-sampling and terminal artery bleed.","transcript_expression","N/A"
"Characterization of transcriptome dynamics in response to contact with host cells","2015-04-09","N/A","Vincent M. Bruno","Institute for Genome Sciences, University of Maryland School of Medicine","HostDB rel. 67, 2024-FEB-21","67","RNASeq","mmusC57BL6J_Liu_calbSC5314_2015mmusC57BL6J__ebi_rnaSeq_RSRC","DS_1a2e99e889","<i>Mus musculus</i> C57BL6J<br>","25858952","N/A","Liu et al. 2015","Murine transcriptomes in two different murine models of candidiasis (hematogenously disseminated candidiasis (HDC) and oropharyngeal candidiasis (OPC)).","transcript_expression","N/A"
