Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
<i>Plasmodium reichenowi</i> G01 Genome Sequence and Annotation,11/29/2017,N/A,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","PlasmoDB rel. 51, 2021-MAR-16",36,Genomes,preiG01_primary_genome_RSRC,DS_022384d18a,<i>Plasmodium reichenowi</i> G01<br>,N/A,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium reichenowi</i> G01,genome,5909,
Cytoadherent and wild-type P. knowlesi (experiment 2),9/2/2022,Apollo,Osamu Kaneko,"Department of Protozoology, Institute of Tropical Medicine (NEKKEN), Nagasaki University","PlasmoDB rel. 68, 2024-MAY-07",68,RNASeq,pknoH_pknoH_Chuang_Cytoadherant_RNASeq_unstranded_ebi_rnaSeq_RSRC,DS_00f985857c,<i>Plasmodium knowlesi</i> strain H<br>,36056126,N/A,Chuang et al. 2022,"RNA Seq transcriptome analysis of <i>Plasmodium knowlesi</i> lines with increased iRBC cytoadhesion activity including 4-, 8-, and 24-hr samples of Pan 0 and Pan 13.",transcript_expression,N/A,
Aligned genomic sequence reads - Hybrid Selection Project,9/6/2014,Apollo,Jane Carlton,"Center for Genomics and Systems Biology, New York University, 12 Waverly Place, New York, NY 10003","PlasmoDB rel. 13.0, 2015-JAN-14",23,Genetic variation,pvivP01_HTS_SNP_Broad_whitePaper_hybridSelection_RSRC,DS_079607ca4d,<i>Plasmodium vivax</i> P01<br>,27348298,N/A,Jane Carlton,Whole genome sequencing from  175 <i>P. vivax</i> isolates from the Hybrid Selection Project of <i>P. vivax</i>,isolates,N/A,
Polysomal and steady-state asexual stage transcriptomes,2013-10-23_gus4,Apollo,Karine LeRoch,"Department of Molecular, Cell and Systems Biology, University of California, Riverside","PlasmoDB rel. 12.0, 2014-SEP-10",22,RNASeq,pfal3D7_Bunnik_Asexual_Cell_Cycle_ebi_rnaSeq_RSRC,DS_090793ccdd,<i>Plasmodium falciparum</i> 3D7<br>,24267660,N/A,Bunnik et al.,Transcriptome and translatome of the  <i>P. falciparum</i> asexual cell cycle.,transcript_expression,N/A,
EC mappings,Mar-19,Apollo,Hagai Ginsburg,Malaria Parasite Metabolic Pathways,"PlasmoDB rel. 1.0, 01-JAN-05",0,Function prediction,pfal3D7_Hagai_ECAssociations_RSRC,DS_09e81bd198,<i>Plasmodium falciparum</i> 3D7<br>,16707276,N/A,Hagai Ginsburg,Enzyme classification (EC) mappings to <i>P. falciparum</i> genes supplied by Hagai Ginsburg (MPMP).,N/A,N/A,
<i>Plasmodium vinckei</i> Cameroon EL Genome Sequence and Annotation,8/6/2020,N/A,Arnab Pain,King Abdullah University of Science and Technology,"PlasmoDB rel. 53, 2021-JUL-21",53,Genomes,pvinCameroonEL_primary_genome_RSRC,DS_0a1b2f6f63,<i>Plasmodium vinckei</i> Cameroon EL<br>,33888092,N/A,Arnab Pain,Genome Sequence and Annotation of <i>Plasmodium vinckei</i> Cameroon EL,genome,5386,
Predicted full length transcripts (ESTs),11/2/2006,Apollo,Junichi Watanabe,"Department of Parasitology, Institute of Medical Science, University of Tokyo","PlasmoDB rel. 1.0, 01-JAN-05",0,EST,pvivP01_EST_WatanabePv_PredictedTranscripts_sequences_RSRC,DS_0a598414c5,<i>Plasmodium vivax</i> P01<br>,17151081,N/A,Junichi Watanabe,<i>P. vivax</i> predicted full length transcript sequences.,EST,N/A,
<i>Plasmodium yoelii</i> yoelii 17XNL 2023 Genome Sequence and Annotation,2/17/2023,N/A,Scott E. Lindner,Pennsylvania State University,"PlasmoDB rel. 64, 2023-JUL-12",64,Genomes,pyoeyoelii17XNL2023_primary_genome_RSRC,DS_0a9930bb09,<i>Plasmodium yoelii</i> yoelii 17XNL 2023<br>,37247760,N/A,Godin and Sebastian et al. 2023,Genome Sequence and Annotation of <i>Plasmodium yoelii</i> yoelii 17XNL 2023,genome,6054,
Nuclear Proteome,10/31/2018,Apollo,Catherin Vaquero,"Sorbonne Université, INSERM, CNRS, Centre d'immunologie et des maladies infectieuses, CIMI-Paris","PlasmoDB rel. 50, 2020-DEC-17",50,Protein expression,pfal3D7_massSpec_Briquet_Nuclear_Prot_RSRC,DS_0b93ddce0d,<i>Plasmodium falciparum</i> 3D7<br>,30379851,N/A,Briquet et al.,The nuclear proteome of mixed populations of <i>Plasmodium falciparum</i> extracted from infected erythrocytes was determined by GeLC-MS/MS and 2D-LC-MS/MS.  A peptide exclusion procedure was used   to increase the detection of low abundant proteins such as those involved in gene expression.,protein_expression,N/A,
Transcription profile of intraerythrocytic cycle,2/9/2016,Apollo,Zbynek Bozdech,"School of Biological Sciences, Nanyang Technological University","PlasmoDB rel. 30, 2017-FEB-03",30,RNASeq,pvivP01_intraerythrocyticTimeSeries_ebi_rnaSeq_RSRC,DS_0c4bd1fca3,<i>Plasmodium vivax</i> P01<br>,26858037,N/A,Zhu et al.,Transcription profile of the <i>P. vivax</i> intraerythrocytic cycle,transcript_expression,N/A,
Strand specific transcriptome of the intraerythrocytic developmental cycle,11/3/2012,Apollo,Artur Scherf,Unite de Biologie des Interactions Hote-Parasite,"PlasmoDB rel. 43, 2019-APR-25",43,RNASeq,pfal3D7_Scherf_Intraerythrocytic_cycle_ebi_rnaSeq_RSRC,DS_0cabe39833,<i>Plasmodium falciparum</i> 3D7<br>,24559473,N/A,Siegel et al.,"Strand specific RNA-Seq analysis of intraerythrocytic cycle (10, 20, 30, 40 hpi).",transcript_expression,N/A,
Nucleosome position during intra-erythrocytic development,2009-11,Apollo,Elizabeth Winzeler,The Scripps Research Institute,"PlasmoDB rel. 1.0, 01-JAN-05",0,ChIP chip,pfal3D7_chipChipExper_Winzeler_Westenberger_RSRC,DS_0d140f51f6,<i>Plasmodium falciparum</i> 3D7<br>,20015349,N/A,Elizabeth Winzeler,"A high-density oligonucleotide microarray to map the position and enrichment of nucleosomes across the 
      entire genome of <i>P. falciparum</i> (3D7) at three time points of the intra-erythrocytic developmental 
      cycle using an unmodified histone H4 antibody for chromatin immunoprecipitation of nucleosome-bound DNA.",transcript_expression,N/A,
