"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"ESTs in TvG2M library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvG2M_sequences_RSRC","DS_06133b1950","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"<i>Histomonas meleagridis</i> 2922-C6/04-290x Genome Sequence and Annotation","2021-09-30","N/A","Ivana Bilic","University of Veterinary Medicine, Vienna Austria","TrichDB rel. 60, 2022-NOV-09","60","Genomes","hmel2922-C604-290x_primary_genome_RSRC","DS_079223ec4c","<i>Histomonas meleagridis</i> 2922-C6/04-290x<br>","34674644","N/A","Ivana Bilic","Genome Sequence and Annotation of <i>Histomonas meleagridis</i> 2922-C6/04-290x","genome","11137"
"Popset Records from GenBank","N/A","Apollo","GenBank","NCBI","TrichDB rel. 1.0, 01-JAN-05","0","Genetic variation","_isolates_genbank_RSRC$","DS_19a7ddd8f2","<i>Histomonas meleagridis</i> 2922-C6/04-10x<br><i>Trichomonas vaginalis</i> G3<br><i>Tritrichomonas foetus</i> strain K<br>","N/A","N/A","GenBank","GenBank records containing sequence and metadata for popsets","isolates","N/A"
"ESTs in TvFN library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvFN_sequences_RSRC","DS_1f5e55997f","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"TOM complex-associated proteins","2019-01-04","N/A","Jan Tachezy","Department of Parasitology, Charles University in Prague","TrichDB rel. 64, 2023-JUL-12","64","Protein expression","tvagG3_quantitativeMassSpec_TOM_complexes_Tachezy_RSRC","DS_2012741b82","<i>Trichomonas vaginalis</i> G3<br>","30608924","N/A","Makki et al. 2019","TOM complex-associated proteins (Quantitative)","protein_expression","N/A"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","TrichDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","TrichDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"NCBI Taxonomy","2021-03-09","N/A","TAXON","NCBI","TrichDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"ESTs in TvCS library","2007-08-21","Apollo","Petrus Tang","N/A","TrichDB rel. 1.0, 2005-JAN-01","0","EST","tvagG32022_EST_TvCS_sequences_RSRC","DS_43e581b253","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Petrus Tang","<i>T. vaginalis</i> G3 EST sequences","EST","N/A"
"Proteome of T vaginalis","2009-05-27","Apollo","Patricia Johnson","UCLA Molecular Biology Institute","TrichDB rel. 1.0, 2005-JAN-01","0","Protein expression","tvagG32022_massSpec_Johnson_FullPeptideData_RSRC","DS_47fb0ba7f2","<i>Trichomonas vaginalis</i> G3 2022<br>","N/A","N/A","Johnson et al.","T.vaginalis peptides from Richard Hayes, Patricia Johnson laboratory","protein_expression","N/A"
