Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Release Policy,Short Attribution,Summary,Type,Genes,
<i>Leishmania amazonensis</i> MHOM/BR/71973/M2269 Genome Sequence and Annotation,12/6/2018,Apollo,Diana Bahia,"Institute of Biological Sciences, Federal University of Minas Gerais, Brazil","TriTrypDB rel. 8.0, 2014-MAY-08",21,Genomes,lamaMHOMBR71973M2269_primary_genome_RSRC,DS_317f0d802c,<i>Leishmania amazonensis</i> MHOM/BR/71973/M2269<br>,23857904,Please refer to the Genome Institute Data Use Policy for further information.,Diana Bahia,Genome sequence and annotation of <i>Leishmania amazonensis</i> MHOM/BR/71973/M2269,genome,8127,
<i>Trypanosoma brucei</i> EATRO1125 Genome Sequence and Annotation,7/2/2021,N/A,Isabel Roditi,"Institute of Cell Biology, University of Bern, Switzerland","TriTrypDB rel. 56, 2022-FEB-15",56,Genomes,tbruEATRO1125_primary_genome_RSRC,DS_0241addc8e,<i>Trypanosoma brucei</i> EATRO1125<br>,34543277,N/A,Isabel Roditi,Genome Sequence and Annotation of <i>Trypanosoma brucei</i> EATRO1125,genome,10890,
Transcript alignment from previous annotation,31,N/A,Oscar Franzén,Uppsala University,"TriTrypDB rel. 1.0, 01-JAN-05",0,"Sequence sites, features and motifs",tcruSylvioX10-1_bld31Transcripts_transcript_sequences_RSRC,DS_033caaf714,<i>Trypanosoma cruzi</i> Sylvio X10/1<br>,"21408126, 23035642",N/A,Oscar Franzén,Transcripts for bld 31 T. cruzi SylvioX10-1 .,aligned_sequence,N/A,
Core and disruptive genome compartments in <i>T cruzi</i> Dm28c,5/20/2023,N/A,Florencia Díaz-Viraqué,"Institut Pasteur de Montevideo, Montevideo, Uruguay","TriTrypDB rel. 66, 2023-NOV-28",66,N/A,tcruDm28c2018_Robello_genomeCompartment_RSRC,DS_0341761d39,<i>Trypanosoma cruzi</i> Dm28c 2018<br>,37828247,N/A,Diaz-Viraque et al.,Chromosomal positions of core and disruptive genome compartments in <i>T cruzi</i> Dm28c.,N/A,N/A,
Promastigote-to-amastigote differentiation (L.d. Samples),1,Apollo,Peter Myler,Seattle Biomedical Research Institute,"TriTrypDB rel. 1.0, 01-JAN-05",0,DNA Microarray Assay,linfJPCM5_microarrayExpression_Myler_promastigote_RSRC,DS_04880972f5,<i>Leishmania infantum</i> JPCM5<br>,20952481,N/A,Lahav et al.,"Microarray time course of axenic promastigote-to-amastigote differentiation in 
    	<i>Leishmania donovani</i> 1SR",transcript_expression,N/A,
Core and disruptive genome compartments in T cruzi Brazil A4,5/20/2023,N/A,Florencia Díaz-Viraqué,"Institut Pasteur de Montevideo, Montevideo, Uruguay","TriTrypDB rel. 66, 2023-NOV-28",66,N/A,tcruBrazilA4_Robello_genomeCompartment_RSRC,DS_04d9baa7a5,<i>Trypanosoma cruzi</i> Brazil A4<br>,37828247,N/A,Diaz-Viraque et al.,Chromosomal positions of core and disruptive genome compartments in <i>T cruzi</i> Brazil A4.,N/A,N/A,
<i>Leptomonas seymouri</i> ATCC 30220 Genome Sequence and Annotation,5/6/2015,Apollo,Vyacheslav Yurchenko,"Life Science Research Center, Department of Biology and Ecology, Faculty of Science, University of Ostrava","TriTrypDB rel. 52, 2021-MAY-20",25,Genomes,lseyATCC30220_primary_genome_RSRC,DS_050c1aaf5f,<i>Leptomonas seymouri</i> ATCC 30220<br>,N/A,N/A,Vyacheslav Yurchenko,<i>Leptomonas seymouri </i> ATCC 30220 Sequence and Annotation,genome,8595,
Flagellar proteome,3/9/2006,Apollo,Keith Gull,University of Oxford,"TriTrypDB rel. 7.0, 2014-FEB-03",20,Protein expression,tbruTREU927_massSpec_Broadhead_Flagellar_Proteomics_RSRC,DS_058f8640cb,<i>Trypanosoma brucei</i> brucei TREU927<br>,16525475,N/A,Broadhead et al.,<i>Trypanosoma brucei</i> flagellum proteome comprising the membrane-bound axoneme and associated paraflagellar rod.,protein_expression,N/A,
Aligned genomic sequence reads - strain gambiense,1/31/2012,Apollo,George A.M. Cross,The Rockefeller University,"TriTrypDB rel. 1.0, 01-JAN-05",0,Genetic variation,tbruTREU927_HTS_SNP_Tb_gambiense_GeorgeCross_RSRC,DS_0bfe431e88,<i>Trypanosoma brucei</i> brucei TREU927<br>,N/A,N/A,George A.M. Cross,High throughput sequencing SNP calls for <i>T. gambiense</i> DAL972 aligned to the <i>T. brucei</i> TREU927 reference,isolates,N/A,
Expression profiling of in vitro differentiation,1.0_gus4,Apollo,Christine Clayton,University of Heidelberg,"TriTrypDB rel. 1.0, 2005-JAN-01",0,DNA Microarray Assay,tbruTREU927_microarrayExpression_Clayton_Christine_RSRC,DS_0c4be69d67,<i>Trypanosoma brucei</i> brucei TREU927<br>,19857263,N/A,Queiroz et al.,"Gene Expression profiling during <i>in vitro</i> differentiation from cultured bloodstream forms to 
    procyclic forms.",transcript_expression,N/A,
