Data Set,Data Set Version,Apollo,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,Genes,,,,
<i>Anopheles melas</i> CM1001059_A Genome Sequence and Annotation,AmelC2,Apollo,Daniel E. Neafsey,"Harvard University & BROAD Institute, Cambridge, MA, USA","VectorBase rel. 49, 2020-NOV-05",47,Genomes,amelCM1001059_A_primary_genome_RSRC,DS_07e4de9743,<i>Anopheles melas</i> CM1001059_A<br>,25554792,Daniel E. Neafsey,Genome Sequence and Annotation for <i>Anopheles melas</i> CM1001059_A,genome,15777,,,,
Distribution of Rhodnius prolixus and R. robustus species complex in South America,10/16/2014,N/A,Unidentified,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000116_RSRC,DS_001a5cd706,<br>,23219914,Unidentified,"The published study describes a non-coding, single-copy nuclear DNA fragment that contains a single-nucleotide polymorphism (SNP) with the potential to distinguish
the important domestic Chagas disease vector, Rhodnius prolixus, from members of the four sylvatic Rhodnius robustus cryptic species complex.  Here, the species distribution of insects used in this study is shown across the northern part of South America. (MapVEu VBP0000116)",population_biology,N/A,,,,
Insecticide suceptibility status of certain populations of Aedes aegypti mosquito from rural areas of Maharashtra State,8/6/2014,N/A,D.T. Mourya,N/A,"VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000089_RSRC,DS_0043abe4fc,<br>,8505082,D.T. Mourya,Insecticide resistance study imported from IRBase. (MapVEu VBP0000089),population_biology,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2012",6/27/2020,N/A,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000660_RSRC,DS_00510d51f2,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000660)",population_biology,N/A,,,,
Montana State University mosquito data for 2006,11/5/2020,N/A,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000703_RSRC,DS_005302a88d,<br>,N/A,Marni Rolston,"2006 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000703)",population_biology,N/A,,,,
Implications for changes in Anopheles darlingi biting behaviour in three communities in the peri-Iquitos region of Amazonian Peru,2022,N/A,Marta Moreno,"Instituto de Medicine Tropical “Alexander von Humboldt”, Universidad Peruana Cayetano Heredia, Lima, Peru","VectorBase rel. 61, 2022-DEC-15",61,N/A,ISATab_VBP0000823_RSRC,DS_00797815f6,<br>,26223450,Marta Moreno,"To evaluate vector biology metrics in relation to seasonality and malaria transmission, mosquito collections were carried out in three localities in the peri-Iquitos region, Loreto, Peru in 2011&#8211;2012. Human landing catch (HLC) collection method, Shannon (SHA) and CDC trap types were compared for effectiveness in a neotropical setting.",population_biology,N/A,,,,
A-MEXP-1878 - McGraw_ONeill - Aedes aegypti - Agilent 4 x 44K v1,5/2/2014,Apollo,Eric Caragata,The University of Queensland,"VectorBase rel. 47, 2020-APR-07",47,Array Probes,aaegLVP_AGWG_microarrayPlatform_A-MEXP-1878-Agilent_RSRC,DS_00b47a520a,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Eric Caragata,"Chip was a 4 x 44K spotted glass array constructed using Agilent Spotted Microarray Technology platform. The chip was spotted with 60 nucleotide sequences of Aedes aegypti transcripts. The 60 nt sequences were checked against the Ae. aegypti and Homo sapiens genomes for cross-hybridization, any that cross-hybridized were removed from the chip. There were approximately 13,500 aedes transcripts used. Each is replicated three times per hyb. Each of the four hybridizations is an identical replicate.",transcript_expression_platform,N/A,,,,
Montana State University mosquito data for 2015,7/8/2020,N/A,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VectorBase rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000666_RSRC,DS_00ea4411d4,<br>,N/A,Marni Rolston,"2015 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000666)",population_biology,N/A,,,,
Local selection in the presence of high levels of gene flow: Evidence of heterogeneous insecticide selection pressure across Ugandan Culex quinquefasciatus populations,N/A,N/A,Walter Fabricio Silva Martins,"Department of Vector Biology, Liverpool School of Tropical Medicine","VectorBase rel. 48, 2020-AUG-27",48,Genetic variation,cquiJohannesburg_VBP0000205_Martins_2017_ebi_VCF_RSRC,DS_01225327f4,<i>Culex quinquefasciatus</i> Johannesburg<br>,N/A,Walter Fabricio Silva Martins,"Population genetic structure was assessed through microsatellite analysis, and the impact of insecticide pressure by genotyping two target-site mutations, Vgsc-1014F of the voltage-gated sodium channel target of pyrethroid and DDT insecticides, and Ace1-119S of the acetylcholinesterase gene, target of carbamate and organophosphate insecticides.",isolates,N/A,,,,
Antennae vs hind legs,9/18/2013,Apollo,Walter S Leal,"Department of Molecular and Cellular Biology, University of California","VectorBase rel. 58, 2022-JUN-23",58,RNASeq,cquiJHB_SRP030034_ebi_rnaSeq_RSRC,DS_01f1692e74,<i>Culex quinquefasciatus</i> JHB 2020<br>,24167245,Leal et al 2013,Antennae and legs dissected from blood-fed adult females on day 3 and 4.,transcript_expression,N/A,,,,
