Data Set,Data Set Version,Contact,Contact institution,Release # and date,Build Number Introduced,Category,Data Set Name,dataset_id,Organism(s) (source or reference),Publications,Short Attribution,Summary,Type,VEuPathDB Project,Genes,,,,
<i>Candida albicans</i> WO-1 Genome Sequence and Annotation,12/11/2013,Candida Genome Database (CGD),Stanford University,"VEuPathDB rel. 53, 2021-JUL-21",39,Genomes,calbWO1_primary_genome_RSRC,DS_033b09f437,<i>Candida albicans</i> WO-1<br>,"12399384, 19465905, 3539914",Candida Genome Database (CGD),Genome sequence and annotation for <i>Candida albicans</i> WO-1.,genome,FungiDB,6160,,,,
<i>Trypanosoma cruzi</i> Tula cl2 Genome Sequence,6/26/2013,Stephen M. Beverley,Washington University in St. Louis,"VEuPathDB rel. 52, 2021-MAY-20",20,Genomes,tcruTulacl2_primary_genome_RSRC,DS_4900730c76,<i>Trypanosoma cruzi</i> Tula cl2<br>,21029792,Stephen M. Beverley,Genome Sequence of <i>Trypanosoma cruzi</i> Tula cl2,genome,TriTrypDB,N/A,,,,
<i>Epichloe glyceriae</i> E277 Genome Sequence,9/2/2011,Christopher Schardl,"Department of Plant Pathology, University of Kentucky, USA","VEuPathDB rel. 51, 2021-MAR-16",51,Genomes,eglyE277_primary_genome_RSRC,DS_0011425ac1,<i>Epichloe glyceriae</i> E277<br>,23468653,Schardl et al. 2013,Genome Sequence for <i>Epichloe glyceriae</i> E277,genome,FungiDB,N/A,,,,
Distribution of Rhodnius prolixus and R. robustus species complex in South America,10/16/2014,Unidentified,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000116_RSRC,DS_001a5cd706,<br>,23219914,Unidentified,"The published study describes a non-coding, single-copy nuclear DNA fragment that contains a single-nucleotide polymorphism (SNP) with the potential to distinguish
the important domestic Chagas disease vector, Rhodnius prolixus, from members of the four sylvatic Rhodnius robustus cryptic species complex.  Here, the species distribution of insects used in this study is shown across the northern part of South America. (MapVEu VBP0000116)",population_biology, ,N/A,,,,
DNA damage-induced transcriptome changes in Candida glabrata,12/15/2020,David Perlin,"Center for Discovery and Innovation, Hackensack Meridian Health","VEuPathDB rel. 56, 2022-FEB-15",56,RNASeq,cglaCBS138_Shor_2020_Cglabr_ebi_rnaSeq_RSRC,DS_0024327063,<i>Nakaseomyces glabratus</i> CBS 138<br>,33323516,Shor et al. 2020,DNA damage-induced transcriptome changes in Candida glabrata,transcript_expression,FungiDB,N/A,,,,
Insecticide suceptibility status of certain populations of Aedes aegypti mosquito from rural areas of Maharashtra State,8/6/2014,D.T. Mourya,N/A,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000089_RSRC,DS_0043abe4fc,<br>,8505082,D.T. Mourya,Insecticide resistance study imported from IRBase. (MapVEu VBP0000089),population_biology, ,N/A,,,,
"Mosquito surveillance, Ada County Weed, Pest, and Mosquito, in Idaho, USA, 2012",6/27/2020,Desireé Keeney,"Ada County Weed, Pest, and Mosquito","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000660_RSRC,DS_00510d51f2,<br>,N/A,Desireé Keeney,"Mosquito collections from Ada County Weed, Pest, and Mosquito have been made in various locations in Ada County, Idaho, USA, using EVS (Encephalitis Vector Survey) traps. (MapVEu VBP0000660)",population_biology, ,N/A,,,,
Montana State University mosquito data for 2006,11/5/2020,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000703_RSRC,DS_005302a88d,<br>,N/A,Marni Rolston,"2006 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000703)",population_biology, ,N/A,,,,
Implications for changes in Anopheles darlingi biting behaviour in three communities in the peri-Iquitos region of Amazonian Peru,2022,Marta Moreno,"Instituto de Medicine Tropical “Alexander von Humboldt”, Universidad Peruana Cayetano Heredia, Lima, Peru","VEuPathDB rel. 61, 2022-DEC-15",61,N/A,ISATab_VBP0000823_RSRC,DS_00797815f6,<br>,26223450,Marta Moreno,"To evaluate vector biology metrics in relation to seasonality and malaria transmission, mosquito collections were carried out in three localities in the peri-Iquitos region, Loreto, Peru in 2011&#8211;2012. Human landing catch (HLC) collection method, Shannon (SHA) and CDC trap types were compared for effectiveness in a neotropical setting.",population_biology, ,N/A,,,,
A-MEXP-1878 - McGraw_ONeill - Aedes aegypti - Agilent 4 x 44K v1,5/2/2014,Eric Caragata,The University of Queensland,"VEuPathDB rel. 47, 2020-APR-07",47,Array Probes,aaegLVP_AGWG_microarrayPlatform_A-MEXP-1878-Agilent_RSRC,DS_00b47a520a,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Eric Caragata,"Chip was a 4 x 44K spotted glass array constructed using Agilent Spotted Microarray Technology platform. The chip was spotted with 60 nucleotide sequences of Aedes aegypti transcripts. The 60 nt sequences were checked against the Ae. aegypti and Homo sapiens genomes for cross-hybridization, any that cross-hybridized were removed from the chip. There were approximately 13,500 aedes transcripts used. Each is replicated three times per hyb. Each of the four hybridizations is an identical replicate.",transcript_expression_platform,VectorBase,N/A,,,,
Montana State University mosquito data for 2015,7/8/2020,Marni Rolston,"Montana State University, MSU Extension - Department of Animal and Range Sciences","VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000666_RSRC,DS_00ea4411d4,<br>,N/A,Marni Rolston,"2015 mosquito surveillance data collected by Montana State University, Department of Animal and Range Sciences. (MapVEu VBP0000666)",population_biology, ,N/A,,,,
Cytoadherent and wild-type P. knowlesi (experiment 2),9/2/2022,Osamu Kaneko,"Department of Protozoology, Institute of Tropical Medicine (NEKKEN), Nagasaki University","VEuPathDB rel. 68, 2024-MAY-07",68,RNASeq,pknoH_pknoH_Chuang_Cytoadherant_RNASeq_unstranded_ebi_rnaSeq_RSRC,DS_00f985857c,<i>Plasmodium knowlesi</i> strain H<br>,36056126,Chuang et al. 2022,"RNA Seq transcriptome analysis of <i>Plasmodium knowlesi</i> lines with increased iRBC cytoadhesion activity including 4-, 8-, and 24-hr samples of Pan 0 and Pan 13.",transcript_expression,PlasmoDB,N/A,,,,
Genome-wide mapping of transcription initiation,Not Applicable,Sebastian Lourido,Whitehead Institute for Biomedical Research,"VEuPathDB rel. 50, 2020-DEC-17",50,"Sequence sites, features and motifs",tgonME49_Lourido_TSS_RSRC,DS_011c12b8d3,<i>Toxoplasma gondii</i> ME49<br>,33553008,Sebastian Lourido,"Strand-specific 5′-end RNA sequencing of <i>T. gondii</i> ME49 tachyzoites and alkaline-stress–induced bradyzoites, as well as RH tachyzoites.",unknown, ,N/A,,,,
Local selection in the presence of high levels of gene flow: Evidence of heterogeneous insecticide selection pressure across Ugandan Culex quinquefasciatus populations,N/A,Walter Fabricio Silva Martins,"Department of Vector Biology, Liverpool School of Tropical Medicine","VEuPathDB rel. 48, 2020-AUG-27",48,Genetic variation,cquiJohannesburg_VBP0000205_Martins_2017_ebi_VCF_RSRC,DS_01225327f4,<i>Culex quinquefasciatus</i> Johannesburg<br>,N/A,Walter Fabricio Silva Martins,"Population genetic structure was assessed through microsatellite analysis, and the impact of insecticide pressure by genotyping two target-site mutations, Vgsc-1014F of the voltage-gated sodium channel target of pyrethroid and DDT insecticides, and Ace1-119S of the acetylcholinesterase gene, target of carbamate and organophosphate insecticides.",isolates,VectorBase,N/A,,,,
SNP calls on A. fumigatus strains isolated from patients with PA and CNPA,6/9/2014,Hiroki Takahashi,"Medical Mycology Research Center, Chiba University","VEuPathDB rel. 46, 2019-NOV-06",46,Genetic variation,afumAf293_HTS_SNP_Takahashi_PA_CNPA_RSRC,DS_012298da2c,<i>Aspergillus fumigatus</i> Af293<br>,25851262,Takahashi-Nakaguchi et al. 2015,WGS analyses of 17 strains isolated from patients in Japan with PA and CNPA,isolates,FungiDB,N/A,,,,
<i>Schizosaccharomyces japonicus</i> yFS275 Genome Sequence and Annotation,3/22/2015,Nick Rhind,"University of Massachusetts, Worcester, Medical School","VEuPathDB rel. 51, 2021-MAR-16",19,Genomes,sjapyFS275_primary_genome_RSRC,DS_01b2dc5b05,<i>Schizosaccharomyces japonicus</i> yFS275<br>,N/A,Nick Rhind,Genome sequence and annotation for <i>Schizosaccharomyces japonicus</i> yFS275.,genome,FungiDB,5232,,,,
<i>Toxoplasma gondii</i> COUG Genome Sequence and Annotation,11/7/2017,David Sibley,Washington University School of Medicine,"VEuPathDB rel. 49, 2020-NOV-05",19,Genomes,tgonCOUG_primary_genome_RSRC,DS_01c6cee55d,<i>Toxoplasma gondii</i> COUG<br>,26738725,David Sibley,Genome sequence and annotation for <i>Toxoplasma gondii</i> strain COUG.,genome,ToxoDB,10042,,,,
Antennae vs hind legs,9/18/2013,Walter S Leal,"Department of Molecular and Cellular Biology, University of California","VEuPathDB rel. 58, 2022-JUN-23",58,RNASeq,cquiJHB_SRP030034_ebi_rnaSeq_RSRC,DS_01f1692e74,<i>Culex quinquefasciatus</i> JHB 2020<br>,24167245,Leal et al 2013,Antennae and legs dissected from blood-fed adult females on day 3 and 4.,transcript_expression,VectorBase,N/A,,,,
Transcriptional profiling of B. gramminis on Lr34 resistance and susceptible barley plants,7/7/2017,Beat Keller,"Department of Plant and Microbial Biology, University of Zurich, Switzerland","VEuPathDB rel. 64, 2023-JUL-12",64,RNASeq,bgraTritici96224_Sucher_Bgramminis_2018_ebi_rnaSeq_RSRC,DS_02195c07e0,<i>Blumeria graminis</i> f. sp. tritici 96224<br>,N/A,Sucher et al. 2018,Transcriptional analysis of the <i>Blumeria graminis</i> biotrophic pathogen during their respective growth on Lr34 resistance and susceptible barley plants.,transcript_expression,FungiDB,N/A,,,,
<i>Plasmodium reichenowi</i> G01 Genome Sequence and Annotation,11/29/2017,Thomas Dan Otto,"Institute for Infection, Immunity and Inflammation, University of Glasgow","VEuPathDB rel. 51, 2021-MAR-16",36,Genomes,preiG01_primary_genome_RSRC,DS_022384d18a,<i>Plasmodium reichenowi</i> G01<br>,N/A,Thomas Dan Otto,Genome Sequence and annotation for <i>Plasmodium reichenowi</i> G01,genome,PlasmoDB,5909,,,,
<i>Mitosporidium daphniae</i> UGP3 Genome Sequence and Annotation,9/30/2014,Dieter Ebert,"Zoological Institute, Basel University, 4051 Basel, Switzerland","VEuPathDB rel. 60, 2022-NOV-09",24,Genomes,mdapUGP3_primary_genome_RSRC,DS_02354d7d63,<i>Mitosporidium daphniae</i> UGP3<br>,25313038,Dieter Ebert,<i>Mitosporidium daphniae</i> UGP3 Sequence and Annotation,genome,MicrosporidiaDB,3330,,,,
<i>Trypanosoma brucei</i> EATRO1125 Genome Sequence and Annotation,7/2/2021,Isabel Roditi,"Institute of Cell Biology, University of Bern, Switzerland","VEuPathDB rel. 56, 2022-FEB-15",56,Genomes,tbruEATRO1125_primary_genome_RSRC,DS_0241addc8e,<i>Trypanosoma brucei</i> EATRO1125<br>,34543277,Isabel Roditi,Genome Sequence and Annotation of <i>Trypanosoma brucei</i> EATRO1125,genome,TriTrypDB,10890,,,,
Musca domestica Transcriptome or Gene expression,20-Jan,Weibo Xie,Huazhong Agricultural University,"VEuPathDB rel. 47, 2020-APR-07",47,RNASeq,mdomaabys_SRP051337_ebi_rnaSeq_RSRC,DS_0273077ad5,<i>Musca domestica</i> aabys<br>,N/A,Weibo Xie,"RNA-Seq of eggs, larvae and adults",transcript_expression,VectorBase,N/A,,,,
"State-wide mosquito surveillance in Iowa, USA, 1997 (New Jersey light trap)",3/8/2019,Ryan Smith,Iowa State University,"VEuPathDB rel. 47, 2020-APR-07",47,N/A,ISATab_VBP0000409_RSRC,DS_0280f71104,<br>,"18714883, 25102595, 31036953",Ryan Smith,"Mosquito collections have been made in various locations in Iowa, USA, using New Jersey light traps. (MapVEu VBP0000409)",population_biology, ,N/A,,,,
A. arabiensis RNA seq Raw sequence reads,8/31/2017,Federica Bernardini,Imperial College London,"VEuPathDB rel. 67, 2024-FEB-21",67,RNASeq,aaraDONGOLA2021_SRP103209_ebi_rnaSeq_RSRC,DS_02bd0203a9,<i>Anopheles arabiensis</i> DONGOLA 2021<br>,28860320,Federica Bernardini,Cross-species Y chromosome function between malaria vectors of the Anopheles gambiae species complex,transcript_expression,VectorBase,N/A,,,,
"Origin of a High-Latitude Population of Aedes aegypti in Washington, DC",20-Jun,Andrea Gloria-Soria,"Department of Ecology and Evolutionary Biology, Yale University","VEuPathDB rel. 48, 2020-AUG-27",48,Genetic variation,aaegLVP_AGWG_VBP0000201_Gloria-Soria_2017_AaegL5_ebi_VCF_RSRC,DS_02c0ef3cc2,<i>Aedes aegypti</i> LVP_AGWG<br>,N/A,Andrea Gloria-Soria,"An overwintering population of Aedes aegypti has been documented in the Capitol Hill neighborhood of
 Washington, DC, since 2011. Mitochondrial cytochrome oxidase I (mtCOI) sequence data presented in a previous
 study traced the origin to the New World. Here, we use microsatellite and SNP chip data along with more
mitochondrial DNA (mtDNA) sequences on Washington Ae. aegypti samples and samples from potential sources to
 further narrow the origin of this population. Genetically, Washington Ae. aegypti are closest to populations in
Florida, meaning this is the most likely source. Florida experienced the first mosquito-borne transmission of dengue
in the United States after decades of absence of this disease, as well as local transmission of chikungunya and Zika
in recent years. This indicates that the Capitol Hill, Washington, DC population of Ae. aegypti is capable of
 transmitting viruses such as dengue, chikungunya, and Zika in modern US city environments.",isolates,VectorBase,N/A,,,,
