	name	dup_counts
7	"""Haptic aesthetics and bodily properties of Ori Gersht's digital art: a behavioral and eye-tracking study."" - datasets and script"	2
35	#energy_graph on renewable shares in electricity and CO2 emission factors in Australia and Germany	2
73	...	3
75	0.1 ms of asymmetric GM1:POPC/POPC (16:84/100) bilayer	2
78	0.1 ms of asymmetric GM1:POPC/POPC (5:95/99) bilayer	3
79	0.2 ms of asymmetric GM1:POPC/POPC (1:99/100) bilayer	4
80	0.25 ms of asymmetric GM1:POPC/POPC (27:73/97) bilayer	4
81	0.3 ms of asymmetric GM1:POPC/POPC (1:99/100) bilayer	2
82	0.3 ms of asymmetric GM1:POPC/POPC (24:76/97) bilayer	3
83	0.3 ms of asymmetric GM1:POPC/POPC (2:98/100) bilayer	3
84	0.48 Angstrom 3,5-dinitrobenzoic acid (3,5-DNBA) C2/c polymorph single crystal X-ray diffraction data set recorded at Diamond Light Source I19-1	3
114	161 samples from historical bug fixes dataset	2
124	1kp clean libraries	2
183	2019-feature-selection	2
318	3D Visualization in Geo-applications	2
341	3DFacilities	2
404	7-Tage-Inzidenz der COVID-19-Fälle in Deutschland	5
414	8_Tapado Data	3
439	A Bi-atrial Statistical Shape Model and 100 Volumetric Anatomical Models of the Atria	2
441	A Brand-New and High-Quality Baseline Climatology Surface for China (ChinaClim_baseline)	2
442	A Catalog of Natural Channelrhodopsins	2
458	A Convolutional Neural Network classifier identifies tree species in mixed-conifer forest from hyperspectral imagery	2
475	A Flexible, Interpretable, and Accurate Approach for Imputing the Expression of Unmeasured Genes - Data	2
476	A Framework for Designing Efficient Deep Learning-Based Genomic Basecallers	2
477	A Framework for Enabling Safe and Resilient Food Factories for the Public Feeding Programs	2
552	A Systematic Mapping Study on the Use of Software Engineering Practices to Develop MVPs	2
575	A biodiversity dataset graph: DataONE	2
576	A calibrated database of kinematics and EMG of the forearm and hand during activities of daily living	2
608	A compendium and evaluation of taxonomy quality attributes	3
616	A comprehensive global dataset of atmospheric 7Be and 210Pb measurements: air concentration and depositional flux	2
642	A dataset of code smells	2
664	A field guide for the compositional analysis of any-omics data: Supplemental Scripts	2
685	A global network of biomedical relationships derived from text	2
696	A high-frequency and high-resolution image time series of the Gornergletscher - Swiss Alps - derived from repeated UAV surveys	2
701	A historical tree-ring chronology for the east of the Netherlands and northwest of Germany	2
709	A labeled Ecore metamodel dataset for domain clustering	2
711	A large-scale COVID-19 Twitter chatter dataset for open scientific research - an international collaboration	5
726	A mechanism for the strange metal phase in rare-earth inter-metallic compounds	2
748	A new Geo-Lithological Map (Geo-LiM) for Central Europe (Germany, France, Switzerland, Austria, Slovenia, and Northern Italy)	2
758	A new set of analytical formulae for the computation of the bootstrap current and the neoclassical conductivity in tokamaks	2
865	A tutorial dataset for TransportTools engine	2
927	AI tutorial data	2
962	ANGUSII Scenarios: Pathways to 100% Renewable German Energy System	2
972	APExpose_DE	2
974	APIS CIDOC CRM serialization	2
976	APIS JSON Serialization	3
982	APPENDIX A: Measurement items and reliabilities	2
1381	ATP-responsive biomolecular condensates tune bacterial kinase signaling	2
1412	AXRX8F2_UPVEHU_Data_V1.csv	2
1416	Abaqus models and input files for simplified micro models of in-plane loaded masonry walls	2
1494	Acousticbrainz Genre dataset. Mirdata index.	2
1586	Addressable Nanoantennas with Cleared Hotspots for Single-Molecule Detection on a Portable Smartphone Microscope	2
1596	Adolescents and Young Adults (AYA) melanoma: Evaluation of the characteristics, treatment strategies, prognostic factors in a monocentric retrospective study	2
1611	Advanced personalised, multi-scale computer models preventing osteoarthritis	2
1756	Air-sea CO2 fluxes for surface pCO2 data products using standardised approach	2
1764	Aktenzeichen der Bundesrepublik Deutschland (AZ-BRD)	2
1800	Alignment methods for nanotomography with deep sub-pixel accuracy	2
1804	All Fish catch data at the SAFE project 2011-2017.	2
1816	All z>5.7 quasars currently known	4
1820	All-atom Molecular Dynamics Simulations of Meiosis 1-associated protein (M1AP) to Investagate the Impact of Known Missense Mutations Associated with Male Infertility through Non-obstructive Azoospermia	2
1823	Allelic diversity of the PRDM9 coding minisatellite in minke whales	2
1857	Altitudinal gradient of microclimate	3
1924	An Optimization Framework to Combine Operable Space Maximization with Design of Experiments - Data	2
1966	An exploratory study (with and without time pressure) using mouse dynamics to detect faking-good behavior in the MMPI-2 and PPI-R validity scales	2
1970	An in silico docking simulation of SARS Coronavirus2 and Ivermectin	3
2022	Analysis of Machine Learning Solutions for Edge Computing: A Systematic Literature Review	3
2032	Analysis of correlation-based biomolecular networks from different omics data by fitting stochastic block models	2
2056	Analyzed Benchmarks on Experiments for a Complications for Computational Experiments from Modern Processors	2
2062	Analyzing the importance of spatial autocorrelation in hyperparameter tuning and performance estimation of machine-learning algorithms for spatial data.	2
2094	Androctonus mauritanicus SPAdes preassembly	3
2139	Annotation file (gff3) from the killifish, Fundulus rathbuni (gill epithelium)	2
2142	Annotation of eukaryotic genomes with Maker datasets	2
2178	Anonymized PDX growth curves from KuLGaP response classification analysis	2
2181	Anonymous	3
2187	Ansbach, Löwen-Apotheke: Schüle, Karl	2
2207	Anti-inflammatory and anti-bacterial potentials of mulberry leaf extract on oral microorganisms	2
2257	Anytown dataset generated with DHALSIM	2
2264	Apache Software Foundation Incubator Project Sustainability Dataset	2
2282	Appendix 2 Data for CD013157	2
2299	Appendix: corpus of historic (18th-21st century) PCM texts	5
2316	Applications and raw data for SciPipe genomics and transcriptomics case studies	2
2355	Archive of aggregate data on work and parenthood	2
2418	Artifacts for Fuzzing SMT Solvers with Diversified Sub-formulas	2
2421	"Artifacts of Paper ""Understanding and Discovering Software Configuration Dependencies in Cloud and Datacenter Systems"""	2
2425	Artifacts: An Efficient Approach for Reviewing Security-Related Aspects in Agile Requirements Specifications of Web Applications	3
2479	Assessment of 3D MINFLUX data for quantitative structural biology in cells	2
2491	Associated Dataset for DeepCAT	2
2519	Assorted data files for BIO331/BIO332 Bioinformatics courrses	2
2522	Asteroseismic, Astrometric, Kinematic and Spectro-Photometric Parameters for red giant stars in the TESS-CVZ	2
2580	Audio Spatialisation for Headphones - Impulse Response Dataset	2
2582	Audio dataset for perceptive studies in DYNAMAP project	2
2602	Augmented emission maps: fall-back base maps for petrol and diesel vehicles for emission class Euro 3-6	2
2624	Auto-segmentation DICOM	2
2640	Automated Evolution of Logging Statement Levels Using Git Histories and Degree of Interest	3
2646	Automated Verification for Real-Time Systems via Implicit Clocks and an Extended Antimirov Algorithm	2
2682	Azotea Dataset	2
2700	BASELINE	2
2701	BASELINE_dev	6
2730	BEE4EXP	2
2742	"BIDS Data for ""An Optimized Registration Workflow and Standard Geometric Space for Small Animal Brain Imaging"""	2
2745	BIP4COVID19: Impact metrics and indicators for coronavirus related publications	19
2748	BL mixing in the Equator Pacific	2
2778	BSF DART - demo trio	2
2832	Bakta database	3
2860	Bartonella spp. infection in nest fleas and arctic foxes from Karrak Lake, NU	2
2882	Base de données / Sons instruments	2
2884	Basefiles	3
2885	Baseline	2
2892	Basic data for evaluating university potential for the space industry	2
2936	Behavioral Software Engineering - Example of psychometric evaluation with R	5
2940	Behavioral economics approach to reduce injectable discontinuation rate in rural Ethiopia	2
2958	Belgian results from the monitoring of pesticide residues in food	3
2983	Benchmarking methylation-calling tools for Oxford Nanopore Sequencing	2
3055	Binary black-hole simulation SXS:BBH:0001	3
3057	Binary black-hole simulation SXS:BBH:0003	2
3058	Binary black-hole simulation SXS:BBH:0005	2
3059	Binary black-hole simulation SXS:BBH:0006	2
3061	Binary black-hole simulation SXS:BBH:0008	3
3062	Binary black-hole simulation SXS:BBH:0009	3
3063	Binary black-hole simulation SXS:BBH:0010	3
3064	Binary black-hole simulation SXS:BBH:0012	2
3065	Binary black-hole simulation SXS:BBH:0013	4
3066	Binary black-hole simulation SXS:BBH:0014	2
3067	Binary black-hole simulation SXS:BBH:0015	3
3069	Binary black-hole simulation SXS:BBH:0017	3
3070	Binary black-hole simulation SXS:BBH:0018	2
3072	Binary black-hole simulation SXS:BBH:0020	3
3073	Binary black-hole simulation SXS:BBH:0021	2
3075	Binary black-hole simulation SXS:BBH:0023	2
3079	Binary black-hole simulation SXS:BBH:0027	3
3080	Binary black-hole simulation SXS:BBH:0028	2
3084	Binary black-hole simulation SXS:BBH:0032	3
3086	Binary black-hole simulation SXS:BBH:0034	3
3087	Binary black-hole simulation SXS:BBH:0035	3
3088	Binary black-hole simulation SXS:BBH:0036	3
3089	Binary black-hole simulation SXS:BBH:0037	2
3090	Binary black-hole simulation SXS:BBH:0038	2
3091	Binary black-hole simulation SXS:BBH:0039	3
3093	Binary black-hole simulation SXS:BBH:0041	2
3094	Binary black-hole simulation SXS:BBH:0042	4
3096	Binary black-hole simulation SXS:BBH:0044	2
3097	Binary black-hole simulation SXS:BBH:0045	4
3098	Binary black-hole simulation SXS:BBH:0047	2
3099	Binary black-hole simulation SXS:BBH:0049	2
3100	Binary black-hole simulation SXS:BBH:0050	4
3103	Binary black-hole simulation SXS:BBH:0055	3
3104	Binary black-hole simulation SXS:BBH:0056	4
3105	Binary black-hole simulation SXS:BBH:0057	3
3106	Binary black-hole simulation SXS:BBH:0058	3
3108	Binary black-hole simulation SXS:BBH:0060	2
3110	Binary black-hole simulation SXS:BBH:0062	2
3111	Binary black-hole simulation SXS:BBH:0063	3
3115	Binary black-hole simulation SXS:BBH:0067	2
3116	Binary black-hole simulation SXS:BBH:0068	2
3117	Binary black-hole simulation SXS:BBH:0069	2
3119	Binary black-hole simulation SXS:BBH:0071	2
3120	Binary black-hole simulation SXS:BBH:0072	2
3121	Binary black-hole simulation SXS:BBH:0073	3
3122	Binary black-hole simulation SXS:BBH:0074	2
3123	Binary black-hole simulation SXS:BBH:0075	3
3124	Binary black-hole simulation SXS:BBH:0076	2
3126	Binary black-hole simulation SXS:BBH:0078	3
3127	Binary black-hole simulation SXS:BBH:0079	2
3128	Binary black-hole simulation SXS:BBH:0080	2
3129	Binary black-hole simulation SXS:BBH:0081	3
3131	Binary black-hole simulation SXS:BBH:0083	2
3132	Binary black-hole simulation SXS:BBH:0084	3
3134	Binary black-hole simulation SXS:BBH:0086	2
3137	Binary black-hole simulation SXS:BBH:0089	3
3138	Binary black-hole simulation SXS:BBH:0090	2
3141	Binary black-hole simulation SXS:BBH:0094	3
3142	Binary black-hole simulation SXS:BBH:0095	2
3145	Binary black-hole simulation SXS:BBH:0098	2
3146	Binary black-hole simulation SXS:BBH:0099	4
3147	Binary black-hole simulation SXS:BBH:0100	2
3150	Binary black-hole simulation SXS:BBH:0104	2
3151	Binary black-hole simulation SXS:BBH:0105	2
3153	Binary black-hole simulation SXS:BBH:0107	3
3154	Binary black-hole simulation SXS:BBH:0108	2
3156	Binary black-hole simulation SXS:BBH:0110	4
3158	Binary black-hole simulation SXS:BBH:0112	2
3159	Binary black-hole simulation SXS:BBH:0113	2
3160	Binary black-hole simulation SXS:BBH:0114	3
3163	Binary black-hole simulation SXS:BBH:0117	4
3164	Binary black-hole simulation SXS:BBH:0118	4
3165	Binary black-hole simulation SXS:BBH:0119	4
3166	Binary black-hole simulation SXS:BBH:0120	2
3167	Binary black-hole simulation SXS:BBH:0121	2
3170	Binary black-hole simulation SXS:BBH:0124	3
3171	Binary black-hole simulation SXS:BBH:0125	2
3172	Binary black-hole simulation SXS:BBH:0126	2
3174	Binary black-hole simulation SXS:BBH:0129	2
3178	Binary black-hole simulation SXS:BBH:0134	3
3179	Binary black-hole simulation SXS:BBH:0135	2
3180	Binary black-hole simulation SXS:BBH:0136	4
3181	Binary black-hole simulation SXS:BBH:0137	2
3187	Binary black-hole simulation SXS:BBH:0145	3
3189	Binary black-hole simulation SXS:BBH:0148	3
3190	Binary black-hole simulation SXS:BBH:0149	2
3193	Binary black-hole simulation SXS:BBH:0152	2
3194	Binary black-hole simulation SXS:BBH:0153	2
3195	Binary black-hole simulation SXS:BBH:0154	3
3197	Binary black-hole simulation SXS:BBH:0156	2
3198	Binary black-hole simulation SXS:BBH:0157	2
3199	Binary black-hole simulation SXS:BBH:0158	2
3200	Binary black-hole simulation SXS:BBH:0159	2
3201	Binary black-hole simulation SXS:BBH:0161	2
3202	Binary black-hole simulation SXS:BBH:0162	2
3203	Binary black-hole simulation SXS:BBH:0163	3
3204	Binary black-hole simulation SXS:BBH:0164	2
3207	Binary black-hole simulation SXS:BBH:0168	3
3210	Binary black-hole simulation SXS:BBH:0171	3
3211	Binary black-hole simulation SXS:BBH:0172	2
3212	Binary black-hole simulation SXS:BBH:0173	3
3214	Binary black-hole simulation SXS:BBH:0175	3
3216	Binary black-hole simulation SXS:BBH:0177	3
3217	Binary black-hole simulation SXS:BBH:0179	4
3218	Binary black-hole simulation SXS:BBH:0180	2
3219	Binary black-hole simulation SXS:BBH:0181	4
3220	Binary black-hole simulation SXS:BBH:0182	2
3222	Binary black-hole simulation SXS:BBH:0184	2
3224	Binary black-hole simulation SXS:BBH:0188	4
3225	Binary black-hole simulation SXS:BBH:0189	2
3226	Binary black-hole simulation SXS:BBH:0190	3
3227	Binary black-hole simulation SXS:BBH:0191	2
3231	Binary black-hole simulation SXS:BBH:0195	2
3232	Binary black-hole simulation SXS:BBH:0196	3
3233	Binary black-hole simulation SXS:BBH:0199	5
3234	Binary black-hole simulation SXS:BBH:0200	3
3235	Binary black-hole simulation SXS:BBH:0201	2
3236	Binary black-hole simulation SXS:BBH:0202	3
3238	Binary black-hole simulation SXS:BBH:0204	2
3240	Binary black-hole simulation SXS:BBH:0207	2
3241	Binary black-hole simulation SXS:BBH:0208	2
3243	Binary black-hole simulation SXS:BBH:0210	2
3245	Binary black-hole simulation SXS:BBH:0212	3
3247	Binary black-hole simulation SXS:BBH:0214	2
3250	Binary black-hole simulation SXS:BBH:0217	3
3251	Binary black-hole simulation SXS:BBH:0218	4
3252	Binary black-hole simulation SXS:BBH:0219	3
3254	Binary black-hole simulation SXS:BBH:0221	2
3256	Binary black-hole simulation SXS:BBH:0223	2
3258	Binary black-hole simulation SXS:BBH:0225	3
3259	Binary black-hole simulation SXS:BBH:0226	2
3260	Binary black-hole simulation SXS:BBH:0228	3
3261	Binary black-hole simulation SXS:BBH:0229	3
3263	Binary black-hole simulation SXS:BBH:0231	3
3267	Binary black-hole simulation SXS:BBH:0236	3
3268	Binary black-hole simulation SXS:BBH:0237	3
3271	Binary black-hole simulation SXS:BBH:0241	3
3273	Binary black-hole simulation SXS:BBH:0243	2
3280	Binary black-hole simulation SXS:BBH:0254	2
3283	Binary black-hole simulation SXS:BBH:0257	2
3284	Binary black-hole simulation SXS:BBH:0258	2
3285	Binary black-hole simulation SXS:BBH:0259	2
