	sdPublisher.name	counts
10	MassIVE	110
2	GEO	89
17	SRA	63
14	NCBI	26
3	GEO/NCBI	10
23	{'@type': 'Organization', 'name': 'CViSB Data Portal	9
18	Synapse	6
5	GenBank	4
15	PRIDE	3
20	[{'@type': 'Organization', 'name': 'CViSB Data Portal, {'@type': 'Organization', 'name': 'GenBank]	2
1	Figshare	2
0	EMBL-EBI and Mendeley	2
7	MTB Network Portal/GEO	2
25	{'@type': 'Organization', 'name': 'Figshare	2
21	[{'@type': 'Organization', 'name': 'GenBank, {'@type': 'Organization', 'name': 'SRA, {'@type': 'Organization', 'name': 'GEO]	1
24	{'@type': 'Organization', 'name': 'FigShare	1
19	[{'@type': 'Organization', 'name': 'CViSB Data Portal, {'@type': 'Organization', 'name': 'GISAID, {'@type': 'Organization', 'name': 'GenBank]	1
22	dbGaP	1
13	Mothur	1
16	PlasmoDB	1
12	Metabolomics Workbench	1
11	Metabolights	1
9	Macrophage Network Portal/GEO	1
8	MTB Network Portal/GEO (pprivate)	1
6	ImmPort	1
4	GISAID	1
26	{'@type': 'Organization', 'name': 'GISAID	1
