	count	term	ror_id	ror_label	priority	exact_match?	Manual review?	Good?	ror_id	ror_label	notes
344	157	Core Research for Evolutional Science and Technology	https://ror.org/036wvzt09	"Agency for Science, Technology and Research"	3	FALSE	Yes	Core Research for Evolutional Science and Technology			
544	92	H2020 Future and Emerging Technologies	https://ror.org/0000n5x09	Agropolymer Engineering and Emerging Technologies	3	FALSE	Yes	No			
578	86	Grant-in-Aid for Scientific Research	https://ror.org/01yv62k92	Aid for Cancer Research	3	FALSE	Yes	No			
774	61	Grants-in-Aid for Scientific Research	https://ror.org/01yv62k92	Aid for Cancer Research	3	FALSE	Yes	No			
752	64	Higher Education Discipline Innovation Project	https://ror.org/04ywsnb39	Alexander Foundation for Orthodontic Research and Education	3	FALSE	Yes	No			
367	141	Alzheimer's Society	https://ror.org/0472gwq90	Alzheimer's Society	3	TRUE	Yes	Yes			
486	105	AMED	https://ror.org/004rtk039	AMED	3	TRUE	Yes	Yes			
183	338	ACL HHS	https://ror.org/019sw1443	Association for Computational Linguistics	2	FALSE	Yes	No	https://ror.org/00vf4jm23	Administration for Community Living	
583	85	Eusko Jaurlaritza	https://ror.org/00pz2fp31	Basque Government	3	FALSE	Yes	Yes			
422	125	Guangdong Basic and Applied Basic Research Foundation	https://ror.org/05qm21180	Beijing Advanced Sciences and Innovation Center	3	FALSE	Yes	No			
433	122	Beijing Municipal Natural Science Foundation	https://ror.org/034k14f91	Beijing Municipal Science and Technology Commission	3	FALSE	Yes	No	https://ror.org/01h0zpd94	National Natural Science Foundation of China	
266	216	Natural Science Foundation of Beijing Municipality	https://ror.org/02zha5019	Beijing Museum of Natural History	3	FALSE	Yes	No	https://ror.org/01h0zpd94		
485	106	RCUK | Biotechnology and Biological Sciences Research Council	https://ror.org/00cwqg982	Biotechnology and Biological Sciences Research Council	3	FALSE	Yes	Yes			
440	119	BMBF	https://ror.org/04pz7b180	BMBF	3	TRUE	Yes	Yes			
636	77	Helmholtz Association	https://ror.org/05sgy1v64	Brussels Office of Helmholtz Association	3	FALSE	Yes	No	https://ror.org/0281dp749	Helmholtz Association of German Research Centres	
761	63	National Science Fund for Distinguished Young Scholars	https://ror.org/05eg49r29	Bulgarian Science Fund	3	FALSE	Yes	No	https://ror.org/01h0zpd94	National Natural Science Foundation of China	
92	927	DER - Obstetric and Pediatric Pharmacology and Therapeutics Branch (OPPTB)	https://ror.org/01gnpsq58	Canadian Society of Pharmacology and Therapeutics	3	FALSE	Yes	No	https://ror.org/04byxyr05	Eunice Kennedy Shriver National Institute of Child Health and Human Development	
475	107	CAPES	https://ror.org/016e3ca54	CAPES	3	TRUE	Yes	Yes			
710	68	Fundació la Marató de TV3	https://ror.org/00bh4be42	Catalan Transplant Foundation	3	FALSE	Yes	No	https://www.wikidata.org/wiki/Q115565640	Fundaci� La Marat� de TV3	
171	375	Science Foundation Ireland	https://ror.org/00qvjvf51	Catalyst	3	FALSE	Yes	No	https://ror.org/0271asj38	Science Foundation Ireland	
835	55	Fundamental Research Funds for Central Universities of the Central South University	https://ror.org/00f1zfq44	Central South University	3	FALSE	Yes	No			
113	667	CSRD VA	https://ror.org/033z00p21	Centre for Social Research and Development	3	FALSE	Yes	No	https://ror.org/05rsv9s98	United States Department of Veterans Affairs	
