	count	term	ror_id	ror_label	priority	exact_match?
0	47287	NIGMS NIH HHS	https://ror.org/04q48ey07	National Institute of General Medical Sciences	1	False
1	32199	NCI NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	False
2	29739	NHLBI NIH HHS	https://ror.org/012pb6c26	National Heart Lung and Blood Institute	1	False
3	28118	The Leon Levy Foundation	https://ror.org/033hnyq61	Leon Levy Foundation	3	False
4	25285	NIAID NIH HHS	https://ror.org/043z4tv69	National Institute of Allergy and Infectious Diseases	1	False
5	22377	National Natural Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	True
6	16901	NIDDK NIH HHS	https://ror.org/00adh9b73	National Institute of Diabetes and Digestive and Kidney Diseases	1	False
7	16342	NINDS NIH HHS	https://ror.org/01s5ya894	National Institute of Neurological Disorders and Stroke	1	False
8	15316	Intramural NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	False
9	13335	European Research Council	https://ror.org/0472cxd90	European Research Council	3	True
10	13248	NIMH NIH HHS	https://ror.org/021vn9c61	National Institute of Meteorology and Hydrology	1	False
11	12413	NICHD NIH HHS	https://ror.org/04byxyr05	Eunice Kennedy Shriver National Institute of Child Health and Human Development	1	False
12	12161	NIA NIH HHS	https://ror.org/020qj1b53	Helping Hand Society	1	False
13	10632	National Science Foundation	https://ror.org/021nxhr62	National Science Foundation	3	True
14	10312	National Heart Lung and Blood Institute	https://ror.org/012pb6c26	National Heart Lung and Blood Institute	3	True
15	10302	National Institutes of Health	https://ror.org/01cwqze88	National Institutes of Health	3	True
16	9916	Wellcome Trust	https://ror.org/029chgv08	Wellcome Trust	3	True
17	9115	Medical Research Council	https://ror.org/03x94j517	Medical Research Council	3	True
18	8392	NIDA NIH HHS	https://ror.org/00fq5cm18	National Institute on Drug Abuse	1	False
19	8123	NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	False
20	7369	NCRR NIH HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	1	False
21	6759	Swiss National Science Foundation	https://ror.org/00yjd3n13	Swiss National Science Foundation	3	True
22	6742	NIBIB NIH HHS	https://ror.org/00372qc85	National Institute of Biomedical Imaging and Bioengineering	1	False
23	6435	Deutsche Forschungsgemeinschaft	https://ror.org/018mejw64	Deutsche Forschungsgemeinschaft	3	True
24	6285	NCATS NIH HHS	https://ror.org/04pw6fb54	National Center for Advancing Translational Sciences	1	False
25	5812	NIAMS NIH HHS	https://ror.org/006zn3t30	National Institute of Arthritis and Musculoskeletal and Skin Diseases	1	False
26	5669	Austrian Science Fund FWF	https://ror.org/013tf3c58	FWF Austrian Science Fund	3	False
27	5655	NEI NIH HHS	https://ror.org/04k3g6751	Northeastern Eye Institute	1	False
28	5457	NIEHS NIH HHS	https://ror.org/00j4k1h63	National Institute of Environmental Health Sciences	1	False
29	5455	CIHR	https://ror.org/01gavpb45	CIHR	3	True
30	5429	Engineering and Physical Sciences Research Council	https://ror.org/0439y7842	Engineering and Physical Sciences Research Council	3	True
31	5194	Biotechnology and Biological Sciences Research Council	https://ror.org/00cwqg982	Biotechnology and Biological Sciences Research Council	3	True
32	4363	PHS HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	False
33	4252	Department of Health	https://ror.org/05rfgws98	Department of Health	3	True
34	3798	Japan Society for the Promotion of Science	https://ror.org/00hhkn466	Japan Society for the Promotion of Science	3	True
35	3761	National Institute for Health Research (NIHR)	https://ror.org/00spd2n27	National Institute of Health Researches of Iran	1	False
36	3728	NIDCD NIH HHS	https://ror.org/04mhx6838	National Institute on Deafness and Other Communication Disorders	1	False
37	3515	Natural Environment Research Council	https://ror.org/02b5d8509	Natural Environment Research Council	3	True
38	3363	National Research Foundation of Korea	https://ror.org/013aysd81	National Research Foundation of Korea	3	True
39	3310	NIAAA NIH HHS	https://ror.org/02jzrsm59	National Institute on Alcohol Abuse and Alcoholism	1	False
40	3297	NIDCR NIH HHS	https://ror.org/004a2wv92	National Institute of Dental and Craniofacial Research	1	False
41	3035	NHGRI NIH HHS	https://ror.org/00baak391	National Human Genome Research Institute	1	False
42	2304	Cancer Research UK	https://ror.org/054225q67	Cancer Research UK	3	True
43	2181	National Institute of General Medical Sciences	https://ror.org/04q48ey07	National Institute of General Medical Sciences	3	True
44	2127	National Cancer Institute	https://ror.org/044ybef51	National Cancer Institute	3	True
45	2121	Novo Nordisk Fonden	https://ror.org/04txyc737	Novo Nordisk Fonden	3	True
46	2116	National Key Research and Development Program of China	https://ror.org/024zcda42		3	False
47	2074	FIC NIH HHS	https://ror.org/02xey9a22	Fogarty International Center	1	False
48	2052	NIH	https://ror.org/03f394x19	NIH	1	True
49	1924	Dutch Research Council (NWO)	https://ror.org/04jsz6e67	Dutch Research Council	3	False
50	1894	Canadian Institutes of Health Research	https://ror.org/01gavpb45	Canadian Institutes of Health Research	3	True
51	1817	AHRQ HHS	https://ror.org/03jmfdf59	Agency for Healthcare Research and Quality	2	False
52	1766	Telethon	https://ror.org/050qgwx77	Telethon Foundation	3	False
53	1745	Agence Nationale de la Recherche	https://ror.org/00rbzpz17	Agence Nationale de la Recherche	3	True
54	1720	DER - Maternal and Pediatric Infectious Disease Branch (MPIDB)	https://ror.org/015vn2982	Infectious Disease Consultants	3	False
55	1708	Howard Hughes Medical Institute	https://ror.org/006w34k90	Howard Hughes Medical Institute	3	True
56	1610	NIMHD NIH HHS	https://ror.org/0493hgw16	National Institute on Minority Health and Health Disparities	1	False
57	1559	British Heart Foundation	https://ror.org/02wdwnk04	British Heart Foundation	3	True
58	1542	BLRD VA	https://ror.org/05rsv9s98	United States Department of Veterans Affairs	3	False
59	1514	National Institute of Allergy and Infectious Diseases	https://ror.org/043z4tv69	National Institute of Allergy and Infectious Diseases	3	True
60	1465	Australian Research Council	https://ror.org/05mmh0f86	Australian Research Council	3	True
61	1438	National Health and Medical Research Council	https://ror.org/011kf5r70	National Health and Medical Research Council	3	True
62	1401	NLM NIH HHS	https://ror.org/03d4rbm41	National Liberty Museum	1	False
63	1397	Japan Agency for Medical Research and Development	https://ror.org/004rtk039	Japan Agency for Medical Research and Development	3	True
64	1393	Natural Sciences and Engineering Research Council of Canada	https://ror.org/01h531d29	Natural Sciences and Engineering Research Council	3	False
65	1373	Intramural CDC HHS	https://ror.org/02z7csx58	Hawaiian Historical Society	2	False
66	1371	NCCIH NIH HHS	https://ror.org/00190t495	National Center for Complementary and Integrative Health	1	False
67	1365	Ministry of Science and Technology, Taiwan	https://ror.org/02b207r52	Ministry of Science and Technology	3	False
68	1303	Economic and Social Research Council	https://ror.org/03n0ht308	Economic and Social Research Council	3	True
69	1296	National Heart, Lung, and Blood Institute	https://ror.org/012pb6c26	National Heart Lung and Blood Institute	3	False
70	1281	China Postdoctoral Science Foundation	https://ror.org/0426zh255	China Postdoctoral Science Foundation	3	True
71	1268	European Commission	https://ror.org/00k4n6c32	European Commission	3	True
72	1249	NINR NIH HHS	https://ror.org/01y3zfr79	National Institute of Nursing Research	1	False
73	1237	Conselho Nacional de Desenvolvimento Científico e Tecnológico	https://ror.org/03swz6y49	Conselho Nacional de Desenvolvimento Científico e Tecnológico	3	True
74	1229	Bill and Melinda Gates Foundation	https://ror.org/0456r8d26	Bill & Melinda Gates Foundation	3	False
75	1214	Fundamental Research Funds for the Central Universities	https://ror.org/02s0c9732	Hope Funds for Cancer Research	3	False
76	1148	 CIHR	https://ror.org/01gavpb45	Canadian Institutes of Health Research	3	False
77	1126	European Regional Development Fund	https://ror.org/01rkhv978	Development Fund	3	False
78	1115	the National Natural Science Foundation of China	https://ror.org/01h0zpd94	National Natural Science Foundation of China	3	False
79	1113	National Institute on Aging	https://ror.org/049v75w11	National Institute on Aging	3	True
80	1096	Vetenskapsrådet	https://ror.org/03zttf063	Swedish Research Council	3	False
81	1086	European Commission FP7	https://ror.org/00k4n6c32	European Commission	3	False
82	1080	Bundesministerium für Bildung und Forschung	https://ror.org/04pz7b180	Bundesministerium für Bildung und Forschung	3	True
83	1075	Instituto de Salud Carlos III	https://ror.org/00ca2c886	Institute of Health Carlos III	3	False
84	1042	Lundbeck Foundation	https://ror.org/03hz8wd80	Lundbeck Foundation	3	True
85	1027	China Scholarship Council	https://ror.org/04atp4p48	China Scholarship Council	3	True
