_id	Name	Description	Model	Predictions
GSE57323	microRNA Expression Profile on Stimulated Peripheral Blood Mononuclear Cells from HIV-1 infected Elite Controllers, Viremic Patients, Treated Patients and Uninfected Donors	Background: The emerging relationship between microRNAs (miRNA) and viral-control is a topic of interest in the field of HIV. Host-genome might play an important role in the control of viremia. The aim of this study was to assess the specific miRNA profile that could contribute to the control of HIV replication in Elite ControllersResults: After adequate normalization, expression profile of 286 human miRNAs (hsa-miR) was evaluated in phytohaemagglutinin-stimulated PBMCs from 29 individuals classified in 4 groups: 8 elite controllers (EC; viral load <50 cp/ml without treatment), 8 viremic progressors (VP; VL>5000 cp/ml without treatment), 8 patients under antiretroviral treatment (ART; VL<200cp/ml) and 5 uninfected individuals (HIV-) through TaqMan® Array Human microRNA Cards v3.0.  A differential expression pattern consisting of 23 miRNAs overcame significantly different when comparing EC and VP. Profiling analysis segregated the population in two different blocks: while EC and HIV- clustered together in the same block (EC/HIV-_block 1), VP and ART individuals clustered together in a second block (VP/ART_block 2). Two inversely expressed miRNA patterns were determined within those two blocks: a set of 4 miRNAs (hsa-miR-221, -27a, -27b and -29b) was up-expressed in EC/HIV-_block and down-expressed in VP/ART_block while 19 miRNAs were down-expressed in block 1 and up-expressed in block 2. Differential miRNAs were successfully validated through individual RT-qPCR assays.Conclusions: Profile in EC resembled HIV- and differentially clusters with VP and ART. Therefore, differential clustering does not rely on undetectable viremia. Peripheral blood mononuclear cell were collected and processed from five uninfected controls, eight HIV-1-infected viremic patients, eight HIV-1-infected elite controllers with undetectable viral load without treatment and eight HIV-1-infected antiretroviral-treated individuals with undetectable viral load.	gpt-3.5-turbo	['RNA extraction', 'miRNA profiling using TaqMan® Array Human microRNA Cards v3.0', 'Reverse transcription-quantitative PCR (RT-qPCR)', 'Data normalization']
GSE108631	Genome-wide maps of EWS-FLI1 binding sites and histone modification in murine Ewing sarcoma cells	We identified global DNA binding properties of EWS-FLI1 in mouse Ewing sarcoma. GGAA microsatellites were found as binding sites of EWS-FLI1 but with less frequency than that in human Ewing sarcoma, and genomic distribution is not conserved between human and mouse. Examination of binding sites of EWS-FLI1, histone H3K27Ac and H3K27me3 in two Ewing sarcoma cell lines.	gpt-3.5-turbo	['ChIP-seq', 'Hi-C', 'RNA-Seq']
GSE88224	shRNA RNA-seq from K562 (ENCSR368ZRP)	RNA-seq on K562 cells treated with an shRNA knockdown against PAPOLA. (K-PAPOLA-30B)For data usage terms and conditions, please refer to http://www.genome.gov/27528022 and http://www.genome.gov/Pages/Research/ENCODE/ENCODE_Data_Use_Policy_for_External_Users_03-07-14.pdf https://www.encodeproject.org/ENCSR368ZRP/	gpt-3.5-turbo	['RNA-seq', 'shRNA knockdown']
GSE53862	Chromatin occupancy and target genes of TCF7L2 in hepatocytes	TCF7L2 regulates multiple metabolic pathways in hepatocytes through a transcriptional network involving HNF4α For the identification of Tcf7l2 target genes using a RNA-seq timecourse, and for identifying the binding sites of Tcf7l2 and Hnf4a, Tcf7l2 was silenced in rat H4IIE hepatocytes using siRNA for Tcf7l2 with a scrambled siRNA as control. Treatment times for RNA-seq samples were 3, 6, 9, 12, 15, 18, 48, and 96 hours, and for ChIP-seq samples 15 h. RNA-seq timecourse was performed in duplicate or triplicate, and the ChIP-seq in duplicate for Tcf7l2 and in singlicate for Hnf4a. The H4IIE-specific transcriptome was defined from an independent set of pooled 24 h siRNA treated samples (N=3 for siRNA for Tcf7l2 and N=3 for scrambled siRNA).	gpt-3.5-turbo	['RNA-seq', 'ChIP-seq', 'siRNA silencing']
GSE51484	Expression data from human hair follicle after doxorubicin treatment	Chemotheraputic drugs are able to affect both neoplastic and normal rapidly proliferating cells. We used microarray analysis to identify molecular signatures of the early phase in the response of human hair follicles to chemotheraputic drug, doxorubicin. Human hair follicles were cultured in Williams E medium and were treated with 1 uM Doxorubicin HCl or vehicle control solution for 1 hour. 3 hours after treatmnet hair bulbs were disected for RNA isolation and RNA was analysed using Affymetrix Human Genome U133A 2.0 array.  processing 3 hours after completion of the DXR treatment. Total RNA was isolated from the hair follicle bulbs using TriIzol® Reagent (Invitrogen, San Diego, CA). All experiments were performed using at least three replicates, and RNA isolated from three experimental and control samples was pooled and processed for microarray analyses using one sample of pooled RNA per experimental and control group.	gpt-3.5-turbo	['Microarray analysis', 'RNA isolation', 'RNA analysis', 'Affymetrix Human Genome U133A 2.0 array', 'TriIzol® Reagent', '', '']
GSE141878	Distinct epigenetic features of tumor-reactive CD8+ T cells in colorectal cancer patients revealed by genome-wide DNA methylation analysis	Tumor-reactive CD8+ tumor infiltrating lymphocytes (TILs) represent a subtype of T cells that could recognize and destroy tumor specifically. Understanding the regulatory mechanism of tumor-reactive CD8+ T cells has important therapeutic implications. Yet the DNA methylation status of this T cell subtype has not been elucidated. In this study, we segregated tumor-reactive and bystander CD8+ TILs, as well as naïve and effector memory CD8+ T cell subtypes as controls from colorectal cancer (CRC) patients, to compare their transcriptome and methylome characteristics. Transcriptome profiling confirmed previous conclusion that tumor-reactive TILs have an exhausted tissue-resident memory signature. Whole-genome methylation profiling identified a distinct methylome pattern of tumor-reactive CD8+ T cells, with tumor-reactive markers (CD39 and CD103) being specifically demethylated. In addition, dynamic changes were observed during the transition of naïve T cells into tumor-reactive CD8+ T cells. Transcription factor (TF) binding motif enrichment analysis identified several immune-related TFs, including three exhaustion-related genes (NR4A1, BATF and EGR2) and VDR, that potentially play important regulatory role in tumor-reactive CD8+ T cells. Our study supports the involvement of DNA methylation in shaping tumor-reactive and bystander CD8+ TILs, and provides a valuable resource for the development of novel DNA methylation markers and future therapeutics. We used whole-genome methylome profiling and RNA-seq to investigate the characteristics of tumor-reactive and bystander CD8+ TILs, as well as naive and effector memory CD8+ T cell subsets as controls from colorectal cancer patients. Raw sequence data access provided at: China Genomic Sequence Archive (GSA) (https://bigd.big.ac.cn/gsa-human/browse/HRA000059) under accession HRA000059.****Raw sequence data access provided at: China Genomic Sequence Archive (GSA) (https://bigd.big.ac.cn/gsa-human/browse/HRA000059) under accession HRA000059.	gpt-3.5-turbo	['Whole-genome DNA methylation analysis', 'Transcriptome profiling', 'Whole-genome methylation profiling', 'RNA-seq']
GSE160787	Single Cell Transcriptomic Analysis of Human Pluripotent Stem Cell Chondrogenesis	This SuperSeries is composed of the SubSeries listed below. Refer to individual Series	gpt-3.5-turbo	['Single cell RNA sequencing, pluripotent stem cell culture, chondrogenic differentiation, bioinformatics analysis']
GSE41538	Transcript expression levels of neonatal mouse cardiomyocytes mock-transfected, or transfected with cel-miR-67, hsa-miR-590-3p or hsa-miR-199a-3p	To identify the relevant targets of the selected miRNAs, we assessed global transcriptome changes by deep-sequencing total neonatal mouse cardiomyocyte RNA after transfection with hsa-miR-590-3p or hsa-miR-199a-3p Four condition experiment; one replicate per condition; mouse neonatal cardiomyocytes transfected with cel-miR-67, hsa-miR-590-3p and hsa-miR-199a-3p; samples collected 72 hours after transfection	gpt-3.5-turbo	['Transcript expression analysis', 'Deep-sequencing', 'RNA transfection', 'RNA collection']
GSE55382	Allele-specific binding of ZFP57 in the regulation of imprinted and mono-allelic expression	Selective maintenance of genomic methylation imprints during pre-implantation development is required for parental origin-specific expression of imprinted genes. The Kruppel-like zinc finger protein ZFP57 acts as a factor necessary for maintaining the DNA methylation memory at multiple imprinting control regions (ICRs) in early mouse embryos and ES cells. Maternal-zygotic deletion of ZFP57 in mice presents a highly penetrant phenotype with no animals surviving to birth. In addition, several cases of human transient neonatal diabetes (TND) are associated with somatic mutations in ZFP57 coding sequence. Here we comprehensively map sequence-specific ZFP57 binding sites in an allele-specific manner using hybrid ES cell lines from reciprocal crosses between C57BL/6J and Cast/EiJ mice assigning allele specificity to approximately two thirds of all binding sites. While half of these are biallelic and include ERV targets, the rest show mono-allelic binding based either on parental-origin or on genetic background of the allele. Parental-origin allele-specific binding was methylation-dependent and mapped only to imprinted DMRs established in the germline (gDMRs). No binding was evident at secondary somatically-derived DMRs. ZFP57-bound gDMRs can predict imprinted gene expression and we identify new imprinted genes, including the Fkbp6 gene with a critical function in mouse male germ cell development. Genetic-background specific sequence differences also influence ZFP57 binding. We show that genetic variation that disrupts the consensus binding motif and its methylation is associated with mono-allelic expression of neighbouring genes. The work described here uncovers further roles for ZFP57 mediated regulation of genomic imprinting and identifies a novel mechanism for genetically determined mono-allelic gene expression. Input and Zfp57 CHiP-Seq profiles of hybrid Black6/Cast ES cells were generated by sequencing using the Illumina GAIIx platform.	gpt-3.5-turbo	['CHiP-Seq', 'Sequencing']
GSE202238	Alx function in the developing eye	Zebrafish with loss-of-function alx1 mutations develop with craniofacial and ocular defects of variable penetrance, likely due to compensatory upregulation in expression of a paralogous gene, alx3. We show that zebrafish alx1; alx3 mutants develop with highly penetrant cranial and ocular defects that resemble human ALX1-linked FND. alx1 and alx3 are expressed in anterior cranial neural crest (aCNC), which gives rise to the anterior neurocranium (ANC), anterior segment structures of the eye and vascular pericytes. Consistent with a functional requirement for alx genes in aCNC, alx1; alx3 mutants develop with nearly absent ANC and grossly aberrant hyaloid vasculature and ocular anterior segment, but normal retina. In vivo lineage labeling identified a requirement for alx1 and alx3 during aCNC migration, and transcriptomic analysis suggested oxidative stress response as a key target mechanism of this function. Oxidative stress is a hallmark of fetal alcohol toxicity, and we found increased penetrance of facial and ocular malformations in alx1 mutants exposed to ethanol, consistent with a protective role for alx1 against ethanol toxicity. Germline samples: RNAseq was performed on single zebrafish embryos  derived from an alx1;alx3/+ mutant incross.  A total of 12 samples (4 each of alx1, alx1; alx3/+ and alx1; alx3) were used  for pairwise comparisons; CRISPANTs samples: Additional samples were sequenced using 72hpf alx1; alx3 CRISPANTs (multiple alx3 guides injected into alx1 embryos). A total of 12 samples (6 from alx1; alx3 CRISPANTs and 6 WT).	gpt-3.5-turbo	['RNAseq', 'CRISPR/Cas9', 'Lineage labeling', 'Transcriptomic analysis']
