_id	name	description	Model	Measurement Technique	Predictions
lds-1013	AZD7762 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'KinomeScan assay', 'Quantitative PCR', 'Bioinformatics analysis']
lds-1025	TAK-715 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['KINOMEscan assay platform', 'Competition binding assay', 'Kinase-tagged phage', 'Quantitative PCR', 'DNA tag', 'TREEspot Kinase Dendrograms']
lds-1006	Sorafenib KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control".	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay, quantitative PCR, data analysis']
lds-1012	PLX4032 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['KINOMEscan assay platform', 'Competition binding assay', 'Quantitative PCR']
lds-1018	GW843682 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay, Quantitative PCR']
lds-1017	GSK461364 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Kinome scanning', 'Quantitative polymerase chain reaction (qPCR)']
lds-1009	SB590885 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay', 'Quantitative PCR']
lds-1028	MLN8054 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['Competition binding assay, quantitative PCR']
lds-1077	AZ-628 KiNativ -- dose response experiment	The KiNativ assay platform is based on the use of biotinylated acyl phosphates of ATP or ADP that act as probes by reacting with protein kinases on conserved lysine residues in the ATP binding pocket to covalently attach a biotin moiety.  Using these probes, cell lysates treated with a kinase inhibitor can be labeled with BHAcATP or BHAcADP, with kinases inhibited by the compound of interest exhibiting reduced or no labeling.  This is followed by digestion with trypsin, isolation of biotinylated peptides, and analysis by mass spectrometry to determine the extent of labeling of peptides from each kinase.	gpt-3.5-turbo	{'name': 'KiNativ kinase-small molecule binding assay', 'description': 'Biochemical'}	['KiNativ assay platform', 'Biotinylated acyl phosphates', 'Protein kinases', 'Cell lysates treatment', 'Kinase inhibitor', 'BHAcATP or BHAcADP labeling', 'Trypsin digestion', 'Isolation of biotinylated peptides', 'Mass spectrometry analysis']
lds-1023	BX-912 KINOMEscan	The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 317 to 456 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag.  Results for each kinase are reported as "Percent of control", where the control is DMSO and where a 100% result means no inhibition of kinase binding to the ligand in the presence of the compound, and where low percent results mean strong inhibition. The KINOMEscan data are presented graphically on TREEspot Kinase Dendrograms (http://www.kinomescan.com/Tools---Resources/Study-Reports---Data-Analysis).  For this study, HMS LINCS investigators have graphed results for kinases classified as 35 "percent of control" (in the presence of the compound, the kinase is 35% as active for binding ligand in the presence of DMSO), 5 "percent of control" and 1 "percent of control". 	gpt-3.5-turbo	{'name': 'KINOMEscan kinase-small molecule binding assay', 'description': 'Biochemical'}	['KINOMEscan assay', 'Competition binding assay', 'Quantitative PCR', 'Graphing data']
