														
														
Technique	obi Score	obi Term	chmo Score	chmo Term	ncit Score	ncit Term	bao Score	bao Term	efo Score	efo Term	mmo Score	mmo Term	edam Score	edam Term
Consent process	0.709	informed consent process	0.309	isobaric calorimetry	0.693	Human Cells, Tissues, and Cellular and Tissue-Based Products Processing	0.473	processing method	0.541	enrichment process				
Liquid culture analysis	0.511	cell culture assay	0.511	X-ray diffraction	0.581	Microbial Liquid Culture	0.54	structure analysis method	0.488	data transformation	0.459	blood lipid analysis	0.53	Exome sequencing
Video recording	0.449	single-unit recording			0.442	Periodontal Screening and Recording					0.673	visual assessment of in vivo video recording		
MPG analysis	0.558	replicate analysis	0.706	X-ray diffraction	0.68	DNA Analysis	0.597	image analysis method	0.674	data transformation	0.594	urine analysis	0.732	Exome sequencing
Data storage	0.782	storage			0.503	Record Linkage Study	0.35	data based structure generation	0.366	data transformation				
Cross-sectional study	0.412	study intervention	0.307	photon cross correlation spectroscopy	0.829	Cross-Sectional Study	0.36	preclinical study	0.345	group assignment				
Laser-microdissection	0.581	dissection	0.533	laser micro emission spectroscopy	0.969	Laser Capture Microdissection	0.74	laser capture microdissection microscope	0.837	laser capture microdissection				
Graham technique	0.715	detection technique	0.673	time-of-flight method	0.674	Axillary Reverse Mapping	0.433	enzyme-multiplied immunoassay technique			0.508	patch clamp technique		
Cohort study enrollment	0.46	human subject enrollment			0.703	Cohort Study	0.347	portal vein study	0.468	group assignment				
Documentation on ClinEpiDB	0.512	documenting			0.374	Medical Record Documentation about this History of Cancer Treatment	0.325	complementation method	0.366	ChIPmentation	0.394	in vivo videography with digital image analysis		
systematic random sampling	0.395	material sampling process			0.492	Randomization	0.423	systematic conformational search	0.494	DNA shearing	0.302	computerized assessment of in vivo video recording		
Observational cross-sectional study design	0.431	observational assessment of individual	0.375	rotational spectroscopy	0.77	Observational Study Model	0.434	fractional factorial design	0.353	medical procedure	0.379	observational fear learning apparatus method		
Electronic data collection using REDCap Mobile Application	0.381	cell collecting	0.443	electron ionisation mass spectrometry	0.436	Stool Collection	0.324	valence electron computational method	0.425	specimen collection process	0.342	body fluid collection method	0.337	Electron microscopy
Synthetic exposure modeling	0.361	synthesis			0.547	Modeling	0.384	MODELLER homology modeling	0.558	exposure				
TIRF microscopy	0.825	microscopy assay	0.89	total internal reflection fluorescence microscopy	0.839	Microscopy	0.841	microscopy	0.742	microscopy assay	0.707	in vivo microscopy	0.631	Light microscopy
Multivariable Cox proportional hazards models	0.644	proportional hazards model estimation	0.329	time proportional phase incrementation	0.371	Dose Proportionality Study								
Stool sample collection	0.461	cell collecting	0.329	multiple collector inductively coupled plasma mass spectrometry	0.812	Stool Collection			0.849	specimen collection process	0.41	body fluid collection method		
Conditioned plant volatile preference testing					0.505	Preference Question					0.703	conditioned placed preference test		
Questionnaire design	0.371	study design execution			0.741	CES Questionnaire Question	0.45	assay design method						
Field sampling	0.487	material sampling process	0.446	rotating-field mass spectrometry	0.593	Sampling Method	0.35	force field based scoring function	0.476	sample pooling	0.365	open field apparatus method		
Continuous Rotation			0.57	continuous-scan cyclic voltammetry	0.716	Continuous Heart Murmur			0.414	continuous positive airway pressure	0.419	continuous wave doppler ultrasound		
Image analysis	0.752	image data set analysis	0.65	X-ray diffraction	0.761	Digital Image Analysis	0.906	image analysis method	0.62	data transformation	0.546	urine analysis	0.673	Exome sequencing
Finger-prick blood sample collection	0.413	DNA based blood meal finger printing assay			0.551	Blood Product Collection			0.688	specimen collection process	0.354	body fluid collection method		
Nitrogen cavitation	0.34	nitrite concentration assay	0.554	nitrogen sorption measurement	0.561	Urea Nitrogen Measurement	0.562	nitrogen laser	0.307	in vitro transcription	0.494	blood urea nitrogen analysis		
ImmuneCODE™ database establishment	0.415	establishing cell line			0.355	Established Diagnosis	0.391	database filtering						
Study design	0.772	study design execution	0.358	desorption electrospray ionisation mass spectrometry	0.981	Study Design	0.591	assay design method	0.624	group assignment				
Foraging behavior analysis	0.378	replicate analysis	0.478	X-ray diffraction	0.488	Behavioral Rating Scale	0.41	organism behavior assay	0.456	data transformation	0.402	urine analysis	0.495	Exome sequencing
Questionnaire administration	0.557	oral administration	0.351	absorption titration	0.967	Questionnaire Administration	0.33	ion redistribution determination method	0.306	vacuum aspiration	0.3	cell fractionation		
Patient-hold-out cross-validation	0.557	leave one out cross validation method	0.313	photon cross correlation spectroscopy	0.691	Cross Validation	0.363	method development and validation						
Adaptive design	0.395	study design execution	0.317	desorption electrospray ionisation mass spectrometry	0.968	Adaptive Design	0.524	assay design method						
Financial support	0.498	support service			0.603	Financial Question	0.464	assay supporting method						
qPCR (quantitative Polymerase Chain Reaction)	0.732	polymerase chain reaction	0.392	quantitative determination method	0.853	Real Time PCR	0.736	polymerase chain reaction	0.749	polymerase chain reaction	0.841	real-time polymerase chain reaction assay	0.757	PCR experiment
Infected tissue visualization.	0.558	data visualization	0.371	ion-excited Auger electron spectroscopy	0.465	Tissue Dissection	0.497	chromatin condensation visualization			0.381	isolated tissue method		
Transcriptomics	0.547	transcription profiling assay	0.316	image correlation spectroscopy	0.616	Whole Transcriptome Sequencing	0.564	transcription factor	0.804	spatial transcriptomics	0.562	high throughput transcription profiling by array	0.624	RNA-Seq
In vitro phosphorylation	0.497	fluorescence imaging-based protein phosphorylation state assay	0.51	phosphorescence detection	0.589	Phosphorylated STAT3 Measurement	0.813	phosphorylation assay	0.847	enrichment of phosphorylated protein	0.355	blood phospholipid analysis		
Single-molecule FRET	0.562	single molecule fluorescence in situ hybridization	0.722	single-molecule fluorescence spectroscopy	0.567	Single-Molecule Array	0.519	small molecule	0.565	assay by molecule	0.41	molecular method		
Data analysis using SAS files	0.526	data analysis service	0.468	X-ray diffraction	0.451	DNA Analysis	0.458	sequencing data analysis software	0.69	data transformation	0.413	automated blood gas analysis using a Bayer analyzer	0.485	Exome sequencing
Protein analysis	0.633	protein assay	0.605	X-ray diffraction	0.986	Protein Analysis	0.682	protein	0.577	data transformation	0.86	blood protein analysis	0.627	Exome sequencing
Review of study electrocardiograms	0.328	electrocution	0.329	electron spectroscopy	0.711	Electrocardiographic Study					0.627	electrocardiography		
RDT (Rapid Diagnostic Test)	0.706	falcivax rapid diagnostic test	0.34	rapid-scan infrared absorption spectroscopy	0.784	Diagnostic Procedure								
Random Selection of Participants	0.502	selection	0.322	transmission electron microscopy selected area electron diffraction	0.447	Randomization	0.338	affinity selection	0.516	DNA shearing				
Conformation-dependent fluorescence spectrum analysis	0.515	fluorescence detection assay	0.521	fluorescence spectroscopy	0.554	Conformation Dependent Mutation Detection	0.439	fluorescence method	0.377	seqFISH	0.387	immunofluorescence confocal microscopy with digital image analysis	0.524	Chromosome conformation capture
Key informant interviews					0.554	Interview			0.371	medical procedure				
Ballard Score					0.982	Dubowitz Score	0.357	DrugScore scoring function	0.396	Weiss grade				
PCR testing	0.388	HCV nucleic acid testing	0.308	colorimetric test	0.823	Testing	0.366	GPCR arrestin complex	0.546	polymerase chain reaction	0.548	polymerase chain reaction assay	0.354	PCR experiment
Exit interview questionnaires					0.708	CHART-SF Interview Version Questionnaire Question			0.363	medical procedure				
Multilineage differentiation	0.443	differential medium assay	0.439	differential isothermal capacitance transient spectroscopy	0.597	Differentiation Therapy	0.383	differential interference contrast microscopy	0.417	differential expression analysis data transformation	0.354	blood differential lipoprotein-cholesterol analysis		
Data cleaning	0.464	data partitioning			0.512	Cleaning Windows	0.405	assay data processing method	0.439	data transformation				
Audio file splitting	0.482	cell culture splitting			0.415	Ability to Sit	0.313	rna splicing assay	0.572	sample splitting	0.354	audiometry		
Lab testing	0.388	HCV nucleic acid testing	0.308	colorimetric test	0.823	Testing	0.333	labeling method	0.365	labelling	0.38	Schirmer test		
Cross-sectional survey	0.358	selection by survival			0.808	Cross-Sectional Study	0.317	functional	0.374	surgical resection				
RNA-seq	0.61	RNA sequencing assay			0.707	Whole Transcriptome Sequencing	0.703	RNA	0.542	RNA-Seq	0.646	RNA-seq assay	0.619	RNA-Seq
Peroxisome proliferator-activated receptor-? (PPAR?) induction	0.379	cell proliferation assay			0.429	Receptor Activator Nuclear KappaB Ligand Measurement	0.587	receptor induction assay	0.349	population growth assay	0.353	cell proliferation assay		
Field team visitations			0.422	field ion microscopy	0.414	Field Flow Fractionation	0.344	second generation force field simulation						
HoloBatch program	0.308	Gram stain assay	0.411	holography	0.476	CATCH My Breath Vaping Prevention Program								
Ultrasound	0.492	ultrasound-guided needle biopsy	0.631	ultrasonic velocimetry	0.983	Diagnostic Ultrasound	0.368	Tecan Ultra	0.456	transvaginal ultrasound-guided oocyte retrieval	0.908	ultrasound method	0.879	Echography
Case-control study design	0.546	study design execution			0.694	Nonclinical Study Design	0.418	assay design method	0.441	group assignment				
geographic information system (GIS) mapping	0.326	information acquisition	0.39	infrared microscopy	0.464	System Support Mapping	0.423	systematic conformational search	0.301	m1A mapping				
Apgar score			0.321	hyperfine sublevel correlation spectroscopy	0.879	Apgar Score Version 1 - Total Apgar Score	0.391	DrugScore scoring function	0.434	Weiss grade				
Taxonomic identification	0.468	histone modification identification by ChIP-Seq assay			0.71	Taxonomic Identification Below Species Level	0.512	nucleic acid identification and quantitation method	0.338	label-free quantification				
