_id	Name	Description	Model	Repository	Number of Words	Predictions	# of predictions	words	chars	# correct	% Hallucinations
Dataverse_10.7910_DVN_BA39BT	hou02665c01004	L	gpt-3.5-turbo	Harvard Dataverse	10 or less	{'Laser-induced breakdown spectroscopy (LIBS)', 'Atomic force microscopy (AFM)', 'X-ray diffraction (XRD)'}	3	2	15	0	
PRJNA428424	Lactiplantibacillus plantarum strain:IRG1	Lactobacillus plantarum IRG1 Genome sequencing and assembly	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Genome sequencing', 'Assembly'}	2	10	100	2	
PRJNA218932	Listeria monocytogenes SHL015	Listeria monocytogenes SHL015 Genome sequencing and assembly	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Genome sequencing', 'Assembly'}	2	10	89	2	
PRJEB27381		Identifying SNPs in the D1RatMgh8 microsattelite primers given by RGD	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'SNP identification', 'Genotyping', 'Microsatellite analysis'}	3	10	72	2	
NCBI_SRA_SRP206023	Sequencing INFLUENZA A VIRUS (A/MEMPHIS/3/1973(H3N2))		gpt-3.5-turbo	NCBI SRA	10 or less	{'Sequencing'}	1	5	56	1	
PRJNA106765	Escherichia coli	Carbon nutrition of pathogenic and commensal E. coli	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Gene expression analysis', 'Isotopic labeling experiments', 'Metabolic profiling', 'Carbon source utilization assays'}	4	10	68	0	
PRJNA643396		Broiler chicken sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'DNA sequencing', 'Transcriptomics', 'Genomic analysis'}	3	3	29	0	
PRJNA191461	Cryptococcus neoformans A1-LIM_1	Cryptococcus neoformans A1-LIM_1 Transcriptome or Gene expression	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Gene expression profiling', 'Transcriptome sequencing'}	2	10	97	2	
Dataverse_10.7910_DVN_EENM6D	A07_16248.JPG	Link to OCHRE database: http://pi.lib.uchicago.edu/1001/org/ochre/3f07e820-2645-a7cc-d4da-abef65d1d519	gpt-3.5-turbo	Harvard Dataverse	10 or less	{'Image capture', 'Database linking'}	2	6	115	0	
PRJNA389507	biofilm metagenome	Responses of biofilm on tamiflu	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'DNA extraction', 'Biofilm sampling', 'Tamiflu treatment', 'Biofilm cultivation', 'Metagenomic sequencing'}	5	7	49	1	
NCBI_SRA_SRP044588	HMP reference genome		gpt-3.5-turbo	NCBI SRA	10 or less	{'Reference genome assembly', 'Genome sequencing', 'Metagenomic sequencing'}	3	3	23	1	
PRJDB328	Sphingomonas parapaucimobilis NBRC 15100	Sphingomonas parapaucimobilis NBRC 15100 genome sequencing project	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Genome sequencing'}	1	11	106	1	
ZENODO_4920980	Mass spectrometry imaging (MSI) datasets	Mass spectrometry imaging (MSI) datasets.	gpt-3.5-turbo	Zenodo	10 or less	{'Mass spectrometry imaging (MSI)'}	1	10	81	1	
PRJNA426772	Arabidopsis thaliana cultivar:Col-0	Arabidopsis thaliana Col-0 wild-type transcriptome - WT_S1	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Transcriptomics'}	1	10	93	1	
PRJNA458644	Populus trichocarpa	Populus trichocarpa 24777 Resequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Resequencing'}	1	6	57	1	
NCBI_SRA_ERP020612	Methanotrophics in grassland soil		gpt-3.5-turbo	NCBI SRA	10 or less	{'DNA extraction', 'Soil sampling', 'Sequencing', 'Polymerase chain reaction (PCR)', 'Denaturing gradient gel electrophoresis (DGGE)'}	5	4	36	1	
PRJNA606591	Penicillium expansum strain:P11	Penicillium expansum strain:P11 Genome sequencing	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Genome sequencing'}	1	8	80	1	
PRJNA541849	Corynebacterium	Whole genome sequencing of Corynebacterium species	gpt-3.5-turbo	Omics Discovery Index (OmicsDI)	10 or less	{'Whole genome sequencing'}	1	7	65	1	
NCBI_SRA_ERP000708	Evolution_of_MRSA_in_a_single_institution_over_a_12_year_period	http://www.sanger.ac.uk/resources/downloads/bacteria/staphylococcus-aureus.html	gpt-3.5-turbo	NCBI SRA	10 or less	{'Whole genome sequencing', 'Multi-locus sequence typing', 'Phylogenetic analysis'}	3	2	142	0	
