Preferred term	Synonymous term	Ontology IRI
baseline assessment	baseline study	
baseline assessment	baseline evaluation	
baseline assessment	healthy baseline study	
Blood smear preparation	Thick/thin blood smear	
interview	standardized interview	
interview	interview questionnaire	
Polymerase Chain Reaction (PCR)	PCR	
Reverse Transcription Polymerase Chain Reaction (RT-PCR)	RT-PCR	
real time PCR	qPCR	
home visits	home visitation	
home visits	field team visitations	
medical history	medical history collection	
medical history	medical history evaluation	
questionnaire	questionnaire data collection	
questionnaire	questionnaire administration	
questionnaire	questionnaire programming	
questionnaire	questionnaire design	
questionnaire	interview questionnaire	
Enzyme-Linked Immunosorbent Assay	ELISA	
Enzyme-Linked Immunosorbent Assay	Enzyme Linked Immunosorbent Assay	
