	_id	clean_pred	measurementTechnique	jsim
319	reframedb_a00230	Cell-based assay	cell-based assay	1.0
753	reframedb_a00212	High-content imaging	high-content imaging	1.0
394	reframedb_a00394	Photometric measurement	photometric measurement	1.0
342	reframedb_a00213	High-content imaging detection	high-content imaging	0.6666666666666666
1068	reframedb_a00190	High content	high content imaging	0.6666666666666666
782	reframedb_a00529	High-content imaging	cell-based high-content imaging	0.6666666666666666
366	reframedb_a00171	Cell viability measurement	cell viability	0.6666666666666666
535	reframedb_a00209	High-content imaging analysis	high-content imaging	0.6666666666666666
263	reframedb_a00167	Cell viability measurement	cell viability	0.6666666666666666
523	reframedb_a00209	High-content imaging detection	high-content imaging	0.6666666666666666
430	reframedb_a00541	Cell viability assay	viability assay	0.6666666666666666
1197	reframedb_a00511	Cell viability assay	cell based assay measuring cell viability	0.6
554	reframedb_a00457	Biochemical assay	biochemical	0.5
681	reframedb_a00254	Phenotypic screening	phenotypic	0.5
1089	reframedb_a00203	Cell based phenotypic screening	cell based	0.5
779	reframedb_a00212	Imaging	high-content imaging	0.5
499	reframedb_a00200	Viability assay	viability	0.5
228	reframedb_a00350	Cell-based assay	cell-based	0.5
638	reframedb_a00190	High content screening	high content imaging	0.5
476	reframedb_a00095	Viability assay	viability	0.5
547	reframedb_a00482	Biochemical assay	biochemical	0.5
815	reframedb_a00666	GFP fluorescence	fluorescence	0.5
946	gse1	Gene expression profiling	Expression profiling by array	0.4
1003	gse10001	Gene expression profiling	Expression profiling by array	0.4
82	gse225776	Gene expression profiling	Expression profiling by array	0.4
568	reframedb_a00191	High content microscopy assay	high content imaging	0.4
869	lds-1023	KINOMEscan assay	KINOMEscan kinase-small molecule binding assay	0.4
135	gse94302	Gene expression profiling	Expression profiling by array	0.4
836	lds-1013	KinomeScan assay	KINOMEscan kinase-small molecule binding assay	0.4
892	lds-1074	KiNativ assay	KiNativ kinase-small molecule binding assay	0.4
990	gse100006	Gene expression profiling	Expression profiling by array	0.4
441	reframedb_a00507	Cell culture	cell based	0.3333333333333333
860	lds-1077	KiNativ assay platform	KiNativ kinase-small molecule binding assay	0.3333333333333333
631	reframedb_a00197	Cell fixation	cell based	0.3333333333333333
266	reframedb_a00398	Cell staining	cell based	0.3333333333333333
858	lds-1028	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
1172	reframedb_a00489	Cell seeding	cell based	0.3333333333333333
265	reframedb_a00398	Cell culture	cell based	0.3333333333333333
856	lds-1009	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
632	reframedb_a00197	Cell imaging	cell based	0.3333333333333333
1122	reframedb_a00436	Cell culture	cell based	0.3333333333333333
1159	reframedb_a00545	Cell culture	cell based	0.3333333333333333
1146	reframedb_a00505	Cell plating	cell based	0.3333333333333333
835	lds-1013	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
595	reframedb_a00225	Cell seeding	cell based	0.3333333333333333
722	reframedb_a00487	Cell culture	cell based	0.3333333333333333
490	reframedb_a00489	Cell culture	cell based	0.3333333333333333
720	reframedb_a00487	Cell transfection	cell based	0.3333333333333333
303	reframedb_a00252	Cell tracking	cell based	0.3333333333333333
839	lds-1025	KINOMEscan assay platform	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
840	lds-1025	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
1145	reframedb_a00505	Cell transfection	cell based	0.3333333333333333
611	reframedb_a00240	Cell culture	cell based	0.3333333333333333
621	reframedb_a00240	Cell counting	cell based	0.3333333333333333
312	reframedb_a00252	Brightfield imaging	high-throughput imaging	0.3333333333333333
845	lds-1006	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
848	lds-1012	KINOMEscan assay platform	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
849	lds-1012	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
590	reframedb_a00225	Cell viability assay	viability	0.3333333333333333
870	lds-1023	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
851	lds-1018	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
323	reframedb_a00230	Dose-response assay	cell-based assay	0.3333333333333333
853	lds-1017	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
438	reframedb_a00541	Counterscreening assay	viability assay	0.3333333333333333
354	reframedb_a00171	Cell culture	cell viability	0.3333333333333333
939	lds-1011	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
875	lds-1032	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
877	lds-1026	KINOMEscan assay platform	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
938	lds-1011	KINOMEscan assay platform	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
426	reframedb_a00462	Cell culture	cell based	0.3333333333333333
789	reframedb_a00529	Imaging	cell-based high-content imaging	0.3333333333333333
221	reframedb_a00520	Bioluminescence-based biochemical assay	biochemical	0.3333333333333333
920	lds-1027	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
878	lds-1026	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
883	lds-1075	KiNativ assay platform	KiNativ kinase-small molecule binding assay	0.3333333333333333
912	lds-1073	KiNativ assay platform	KiNativ kinase-small molecule binding assay	0.3333333333333333
660	reframedb_a00383	High-throughput phenotypic screen	phenotypic	0.3333333333333333
1060	reframedb_a00360	Cell culture	cell based	0.3333333333333333
902	lds-1076	KiNativ assay platform	KiNativ kinase-small molecule binding assay	0.3333333333333333
409	reframedb_a00496	Cell lysis	cell based	0.3333333333333333
397	reframedb_a00338	Cell culture	cell based	0.3333333333333333
543	reframedb_a00198	Cell seeding	cell based	0.3333333333333333
924	lds-1022	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
922	lds-1015	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
927	lds-1020	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
1109	reframedb_a00334	Phenotypic luminescence screening	phenotypic	0.3333333333333333
242	reframedb_a00167	Cell culture	cell based	0.3333333333333333
243	reframedb_a00167	Cell culture	cell viability	0.3333333333333333
1179	reframedb_a00461	Cell transfection	cell based	0.3333333333333333
353	reframedb_a00171	Cell culture	cell based	0.3333333333333333
929	lds-1029	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
597	reframedb_a00225	Cell lysis	cell based	0.3333333333333333
1190	reframedb_a00509	Cell seeding	cell based	0.3333333333333333
931	lds-1014	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
436	reframedb_a00541	Screening assay	viability assay	0.3333333333333333
934	lds-1030	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
873	lds-1007	Competition binding assay	KINOMEscan kinase-small molecule binding assay	0.3333333333333333
1186	reframedb_a00508	Cell culture	cell based	0.3333333333333333
1053	gse100019	SNP array analysis	Genome variation profiling by SNP array	0.2857142857142857
972	gse100001	mRNA expression profiling	Expression profiling by high throughput sequencing	0.2857142857142857
26	gse141878	Whole-genome methylation profiling	Methylation profiling by high throughput sequencing	0.2857142857142857
828	reframedb_a00516	High Content Image Analysis	high content imaging phenotypic assay	0.2857142857142857
1096	reframedb_a00203	Cell viability assay	cell based	0.25
578	reframedb_a00191	Fluorescence imaging	high content imaging	0.25
1093	reframedb_a00203	Cell culture maintenance	cell based	0.25
262	reframedb_a00167	Cell viability measurement	cell based	0.25
562	reframedb_a00413	Cytotoxicity assay	cell based assay	0.25
1063	reframedb_a00360	ATP-bioluminescence based assay	cell based	0.25
733	reframedb_a00411	Screening assay	enzyme-based fluorometric assay	0.25
566	reframedb_a00413	Viability assay	cell based assay	0.25
1086	reframedb_a00190	Plate imaging	high content imaging	0.25
589	reframedb_a00225	Cell viability assay	cell based	0.25
1064	reframedb_a00360	Cell viability assay	cell based	0.25
1153	reframedb_a00487	Cell viability assay	cell based	0.25
321	reframedb_a00230	Recombinant virus assay	cell-based assay	0.25
1180	reframedb_a00461	Cell viability assay	cell based	0.25
651	reframedb_a00190	Live cell imaging	cell based	0.25
656	reframedb_a00443	Fluorimeter assay	enzyme-based fluorometric assay	0.25
434	reframedb_a00541	High-content imaging assay	viability assay	0.25
654	reframedb_a00443	Assay validation	enzyme-based fluorometric assay	0.25
329	reframedb_a00357	Live cell imaging	cell based	0.25
633	reframedb_a00197	Automated cell counting	cell based	0.25
1170	reframedb_a00486	Cell viability assay	cell based	0.25
391	reframedb_a00394	Cell viability assay	cell based	0.25
365	reframedb_a00171	Cell viability measurement	cell based	0.25
400	reframedb_a00338	Microbial cell viability assay	viability	0.25
125	gse225785	comparative gene expression profiling analysis	Expression profiling by high throughput sequencing	0.2222222222222222
644	reframedb_a00190	Mitochondrial content analysis	high content imaging	0.2
653	reframedb_a00443	Screening assay development	enzyme-based fluorometric assay	0.2
233	reframedb_a00350	Fluorescence quantification	high content fluorescence measurement	0.2
513	reframedb_a00200	Luminescent microbial cell viability assay	viability	0.2
652	reframedb_a00190	Live cell imaging	high content imaging	0.2
1016	gse100011	Whole genome bisulfite sequencing (WGBS)	Genome binding/occupancy profiling by high throughput sequencing	0.2
1204	reframedb_a00466	Cell-based assay	cell based phenotypic assay	0.2
440	reframedb_a00507	In vitro high-throughput phenotypic screen	phenotypic	0.2
416	reframedb_a00442	Mammosphere formation assay	formation of mammospheres)	0.2
956	gse10000	Microarray profiling	Expression profiling by array	0.2
734	reframedb_a00411	Exonuclease activity assay	enzyme-based fluorometric assay	0.2
399	reframedb_a00338	Microbial cell viability assay	cell based	0.2
302	reframedb_a00252	High-throughput live cell microscopy	high-throughput imaging	0.2
301	reframedb_a00252	High-throughput live cell microscopy	cell based	0.2
191	gse57172	Transcript profiling	Expression profiling by array	0.2
1203	reframedb_a00466	High-content imaging assay	cell based phenotypic assay	0.16666666666666666
225	reframedb_a00350	High throughput screening	high content fluorescence measurement	0.16666666666666666
1210	reframedb_a00466	Cell culture maintenance	cell based phenotypic assay	0.16666666666666666
1212	reframedb_a00485	High-content imaging assay	cell based phenotypic assay	0.16666666666666666
1099	reframedb_a00414	hiPSC-derived neuronal progenitor cell culture	cell based	0.16666666666666666
1132	reframedb_a00544	High-throughput FRET-based screen	biochemical high throughput screen	0.16666666666666666
237	reframedb_a00350	Cell viability measurement	high content fluorescence measurement	0.16666666666666666
1035	gse100016	Sequencing	Expression profiling by high throughput sequencing	0.16666666666666666
512	reframedb_a00200	Luminescent microbial cell viability assay	cell based	0.16666666666666666
23	gse141878	Transcriptome profiling	Expression profiling by high throughput sequencing	0.14285714285714285
826	reframedb_a00516	High Throughput Screening	high content imaging phenotypic assay	0.14285714285714285
997	gse100007	Ribosome profiling	Expression profiling by high throughput sequencing	0.14285714285714285
1223	reframedb_a00478	Cell transfection	cell based virus entry inhibitor assay	0.14285714285714285
176	gse149413	Transcriptome profiling	Expression profiling by high throughput sequencing	0.14285714285714285
1221	reframedb_a00478	Luciferase assay	cell based virus entry inhibitor assay	0.14285714285714285
197	gse185198	RNA sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
820	reframedb_a00666	Measurement of bacterial viability by GFP fluorescence	fluorescence	0.14285714285714285
1213	reframedb_a00485	384-well plate cell-based assay	cell based phenotypic assay	0.14285714285714285
88	gse39113	mRNA profiling	Expression profiling by high throughput sequencing	0.14285714285714285
124	gse225785	mRNA sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
208	gse193158	Illumina sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
1038	gse100017	miRNA expression profiling	Non-coding RNA profiling by array	0.14285714285714285
995	gse100007	Deep sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
24	gse141878	Transcriptome profiling	Methylation profiling by high throughput sequencing	0.14285714285714285
57	gse168192	Transcriptional profiling	Expression profiling by high throughput sequencing	0.14285714285714285
150	gse153099	Gene profiling	Expression profiling by high throughput sequencing	0.14285714285714285
42	gse55382	Sequencing	Genome binding/occupancy profiling by high throughput sequencing	0.14285714285714285
1021	gse100013	mRNA sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
51	gse77962	Whole-genome gene expression analysis	Expression profiling by array	0.14285714285714285
1202	reframedb_a00511	Enzymatic conversion assay	cell based assay measuring cell viability	0.14285714285714285
58	gse168192	Illumina sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
1008	gse100010	Deep sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
218	gse125941	RNA sequencing	Expression profiling by high throughput sequencing	0.14285714285714285
417	reframedb_a00442	Automated assay	the assay is phenotype-based (in particular	0.14285714285714285
415	reframedb_a00442	Mammosphere formation assay	the assay is phenotype-based (in particular	0.125
273	reframedb_a00343	Fluorescent DNA or cell membrane binding dyes	cell based	0.125
185	gse145161	gene expression analysis	Expression profiling by high throughput sequencing	0.125
1009	gse100010	Deep sequencing	Genome binding/occupancy profiling by high throughput sequencing	0.125
1039	gse100017	Isolation of total RNA	Non-coding RNA profiling by array	0.125
190	gse97389	RNA sequencing (RNAseq)	Expression profiling by high throughput sequencing	0.125
1225	reframedb_a00478	BrightGlo substrate assay	cell based virus entry inhibitor assay	0.125
157	gse86031	Population RNA profiling	Expression profiling by high throughput sequencing	0.125
40	gse41538	RNA collection	Non-coding RNA profiling by high throughput sequencing	0.125
164	gse118402	RNA sequencing (RNA-seq)	Expression profiling by high throughput sequencing	0.125
74	gse159211	Single-cell RNA sequencing	Expression profiling by high throughput sequencing	0.125
25	gse141878	Whole-genome methylation profiling	Expression profiling by high throughput sequencing	0.125
156	gse968	Apoptosis targeted gene array analysis	Expression profiling by array	0.125
142	gse33163	Multiparallel sequencing	Genome binding/occupancy profiling by high throughput sequencing	0.125
151	gse153099	Visual opsins expression	Expression profiling by high throughput sequencing	0.125
1219	reframedb_a00478	Pseudovirus infection assay	cell based virus entry inhibitor assay	0.125
33	gse41538	Transcript expression analysis	Expression profiling by high throughput sequencing	0.125
158	gse86031	Single-cell RNA profiling	Expression profiling by high throughput sequencing	0.125
38	gse41538	RNA transfection	Non-coding RNA profiling by high throughput sequencing	0.125
948	gse10	Serial analysis of gene expression (SAGE)	Expression profiling by SAGE	0.1111111111111111
161	gse118402	Chromatin immunoprecipitation sequencing (ChIP-seq)	Expression profiling by high throughput sequencing	0.1111111111111111
1199	reframedb_a00511	Cytopathic effect (CPE) Reduction assay	cell based assay measuring cell viability	0.1111111111111111
22	gse141878	Whole-genome DNA methylation analysis	Methylation profiling by high throughput sequencing	0.1111111111111111
211	gse193158	Differential gene expression analysis	Expression profiling by high throughput sequencing	0.1111111111111111
18	gse51484	Affymetrix Human Genome U133A 2.0 array	Expression profiling by array	0.1111111111111111
1013	gse100011	Chromatin immunoprecipitation sequencing (ChIP-seq)	Methylation profiling by high throughput sequencing	0.1111111111111111
165	gse118402	RNA sequencing (RNA-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.1111111111111111
29	gse160787	Single cell RNA sequencing	Expression profiling by high throughput sequencing	0.1111111111111111
85	gse105736	Chromatin immunoprecipitation sequencing (ChIP-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.1
162	gse118402	Chromatin immunoprecipitation sequencing (ChIP-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.1
101	gse154493	Chromatin immunoprecipitation sequencing (ChIP-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.1
1012	gse100011	Chromatin immunoprecipitation sequencing (ChIP-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.1
1017	gse100011	Whole genome bisulfite sequencing (WGBS)	Methylation profiling by high throughput sequencing	0.1
217	gse56068	Illumina Infinium 450k Human Methylation Beadchip	Methylation profiling by genome tiling array	0.09090909090909091
1	gse57323	miRNA profiling using TaqMan® Array Human microRNA Cards v3.0	Expression profiling by RT-PCR	0.08333333333333333
167	gse118402	Assay for transposase-accessible chromatin using sequencing (ATAC-seq)	Expression profiling by high throughput sequencing	0.08333333333333333
168	gse118402	Assay for transposase-accessible chromatin using sequencing (ATAC-seq)	Genome binding/occupancy profiling by high throughput sequencing	0.07692307692307693
861	lds-1077	Biotinylated acyl phosphates	KiNativ kinase-small molecule binding assay	0.0
862	lds-1077	Protein kinases	KiNativ kinase-small molecule binding assay	0.0
708	reframedb_a00156	Antimalarial drug testing	phenotypic	0.0
863	lds-1077	Cell lysates treatment	KiNativ kinase-small molecule binding assay	0.0
706	reframedb_a00156	Hemocytometer sporozoite count	phenotypic	0.0
857	lds-1009	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
864	lds-1077	Kinase inhibitor	KiNativ kinase-small molecule binding assay	0.0
865	lds-1077	BHAcATP or BHAcADP labeling	KiNativ kinase-small molecule binding assay	0.0
866	lds-1077	Trypsin digestion	KiNativ kinase-small molecule binding assay	0.0
705	reframedb_a00156	Luciferase activity determination	phenotypic	0.0
707	reframedb_a00156	Compound screening	phenotypic	0.0
704	reframedb_a00156	Microtiter plate incubation	phenotypic	0.0
867	lds-1077	Isolation of biotinylated peptides	KiNativ kinase-small molecule binding assay	0.0
703	reframedb_a00156	Sporozoite isolation	phenotypic	0.0
859	lds-1028	quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
767	reframedb_a00212	Fixation	high-content imaging	0.0
709	reframedb_a00156	Electronic multichannel dispensing	phenotypic	0.0
855	lds-1017	Quantitative polymerase chain reaction (qPCR)	KINOMEscan kinase-small molecule binding assay	0.0
719	reframedb_a00487	High throughput screening	cell based	0.0
837	lds-1013	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
838	lds-1013	Bioinformatics analysis	KINOMEscan kinase-small molecule binding assay	0.0
718	reframedb_a00487	Viability assay	cell based	0.0
841	lds-1025	Kinase-tagged phage	KINOMEscan kinase-small molecule binding assay	0.0
842	lds-1025	Quantitative PCR	KINOMEscan kinase-small molecule binding assay	0.0
843	lds-1025	DNA tag	KINOMEscan kinase-small molecule binding assay	0.0
844	lds-1025	TREEspot Kinase Dendrograms	KINOMEscan kinase-small molecule binding assay	0.0
