	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
12	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite furnace atomic absorption spectrometry administration	0.834	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
13	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite furnace atomic absorption spectrometry approach	0.883	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
14	http://purl.obolibrary.org/obo/CHMO_0000239	graphite furnace atomic absorption spectrometry	graphite furnace atomic absorption spectrometry system	0.901	mmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000380
30	http://purl.obolibrary.org/obo/OBI_0000854	western blot assay	western blot assay administration	0.673	mmo	western blot assay	http://purl.obolibrary.org/obo/MMO_0000669
31	http://purl.obolibrary.org/obo/OBI_0000854	western blot assay	western blot assay	0.922	mmo	western blot assay	http://purl.obolibrary.org/obo/MMO_0000669
48	http://purl.obolibrary.org/obo/OBI_0002029	serial analysis of gene expression assay	serial analysis of gene expression assay testing	0.865	mmo	serial analysis of gene expression assay	http://purl.obolibrary.org/obo/MMO_0000660
49	http://purl.obolibrary.org/obo/OBI_0002029	serial analysis of gene expression assay	serial analysis of gene expression assay	0.948	mmo	serial analysis of gene expression assay	http://purl.obolibrary.org/obo/MMO_0000660
87	http://purl.obolibrary.org/obo/CHMO_0000243	flame atomic absorption spectrometry	flame atomic absorption spectrometry detection	0.858	mmo	flame atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000379
88	http://purl.obolibrary.org/obo/CHMO_0000243	flame atomic absorption spectrometry	flame atomic absorption spectrometry analysis	0.868	mmo	flame atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000379
89	http://purl.obolibrary.org/obo/CHMO_0000243	flame atomic absorption spectrometry	flame atomic absorption spectrometry	0.968	mmo	flame atomic absorption spectrometry	http://purl.obolibrary.org/obo/MMO_0000379
96	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	ultra-performance liquid chromatography-mass spectrometry	0.954	chmo	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
97	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	ultra-performance liquid chromatography-mass spectrometry administration	0.853	chmo	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
126	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	confocal microscopy process	0.837	bao	confocal microscopy	http://www.bioassayontology.org/bao#BAO_0000453
127	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	confocal microscopy detection	0.806	bao	confocal microscopy	http://www.bioassayontology.org/bao#BAO_0000453
128	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	confocal microscopy system	0.855	bao	confocal microscopy	http://www.bioassayontology.org/bao#BAO_0000453
138	http://purl.obolibrary.org/obo/CHMO_0000103	confocal microscopy	confocal microscopy process	0.837	bao	confocal microscopy	http://www.bioassayontology.org/bao#BAO_0000453
139	http://purl.obolibrary.org/obo/CHMO_0000103	confocal microscopy	confocal microscopy detection	0.806	bao	confocal microscopy	http://www.bioassayontology.org/bao#BAO_0000453
