	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
0	http://purl.obolibrary.org/obo/MMO_0000380	graphite furnace atomic absorption spectrometry	GFAAS|electrothermal atomic absorption spectrometry|ETAAS|graphite furnace atomic absorption spectroscopy	N/A	graphite furnace atomic absorption spectroscopy	GFAAS
0	http://purl.obolibrary.org/obo/MMO_0000380	graphite furnace atomic absorption spectrometry	GFAAS|electrothermal atomic absorption spectrometry|ETAAS|graphite furnace atomic absorption spectroscopy	N/A	graphite furnace atomic absorption spectroscopy	electrothermal atomic absorption spectrometry
0	http://purl.obolibrary.org/obo/MMO_0000380	graphite furnace atomic absorption spectrometry	GFAAS|electrothermal atomic absorption spectrometry|ETAAS|graphite furnace atomic absorption spectroscopy	N/A	graphite furnace atomic absorption spectroscopy	ETAAS
0	http://purl.obolibrary.org/obo/MMO_0000380	graphite furnace atomic absorption spectrometry	GFAAS|electrothermal atomic absorption spectrometry|ETAAS|graphite furnace atomic absorption spectroscopy	N/A	graphite furnace atomic absorption spectroscopy	graphite furnace atomic absorption spectroscopy
1	http://purl.obolibrary.org/obo/MMO_0000669	western blot assay	protein immunoblot assay|western	N/A	western	protein immunoblot assay
1	http://purl.obolibrary.org/obo/MMO_0000669	western blot assay	protein immunoblot assay|western	N/A	western	western
2	http://purl.obolibrary.org/obo/MMO_0000035	digital scale		N/A		N/A
3	http://purl.obolibrary.org/obo/MMO_0000647	Northern blot assay	RNA blot|northern	N/A	northern	RNA blot
3	http://purl.obolibrary.org/obo/MMO_0000647	Northern blot assay	RNA blot|northern	N/A	northern	northern
4	http://purl.obolibrary.org/obo/MMO_0000660	serial analysis of gene expression assay	SAGE|SAGE	N/A	SAGE	SAGE
4	http://purl.obolibrary.org/obo/MMO_0000660	serial analysis of gene expression assay	SAGE|SAGE	N/A	SAGE	SAGE
5	http://purl.obolibrary.org/obo/MMO_0000394	high-performance liquid chromatography	HPLC|high-pressure liquid chromatography	N/A	HPLC|high-pressure liquid chromatography	HPLC
5	http://purl.obolibrary.org/obo/MMO_0000394	high-performance liquid chromatography	HPLC|high-pressure liquid chromatography	N/A	HPLC|high-pressure liquid chromatography	high-pressure liquid chromatography
6	http://purl.obolibrary.org/obo/MMO_0000287	electrophoresis		N/A		N/A
7	http://purl.obolibrary.org/obo/MMO_0000379	flame atomic absorption spectrometry	flame AAS|flame atomic absorption spectroscopy	N/A	flame atomic absorption spectroscopy	flame AAS
7	http://purl.obolibrary.org/obo/MMO_0000379	flame atomic absorption spectrometry	flame AAS|flame atomic absorption spectroscopy	N/A	flame atomic absorption spectroscopy	flame atomic absorption spectroscopy
8	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	N/A	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	uplc-mass spec
8	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	N/A	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	UPLC/MS
8	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	N/A	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	Ultra Performance Liquid Chromatography/Mass Spectrometry
8	http://purl.obolibrary.org/obo/MMO_0000721	ultra-performance liquid chromatography-mass spectrometry	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	N/A	uplc-mass spec|UPLC/MS|Ultra Performance Liquid Chromatography/Mass Spectrometry|uplc-ms	uplc-ms
9	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	laser confocal scanning microscopy|confocal laser scanning microscopy|CLSM|LCSM	N/A		laser confocal scanning microscopy
9	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	laser confocal scanning microscopy|confocal laser scanning microscopy|CLSM|LCSM	N/A		confocal laser scanning microscopy
9	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	laser confocal scanning microscopy|confocal laser scanning microscopy|CLSM|LCSM	N/A		CLSM
9	http://purl.obolibrary.org/obo/MMO_0000685	confocal microscopy	laser confocal scanning microscopy|confocal laser scanning microscopy|CLSM|LCSM	N/A		LCSM
10	http://purl.obolibrary.org/obo/MMO_0000537	high-performance liquid chromatography-mass spectrometry	HPLC-MS|high pressure liquid chromatography-mass spectrometry	N/A		HPLC-MS
10	http://purl.obolibrary.org/obo/MMO_0000537	high-performance liquid chromatography-mass spectrometry	HPLC-MS|high pressure liquid chromatography-mass spectrometry	N/A		high pressure liquid chromatography-mass spectrometry
11	http://purl.obolibrary.org/obo/MMO_0000288	chromatography		N/A		N/A
12	http://purl.obolibrary.org/obo/MMO_0000426	Bradford protein assay	Coomassie dye protein assay	N/A	Coomassie dye protein assay	Coomassie dye protein assay
13	http://purl.obolibrary.org/obo/MMO_0000003	electrocardiography	ECG|EKG	N/A		ECG
13	http://purl.obolibrary.org/obo/MMO_0000003	electrocardiography	ECG|EKG	N/A		EKG
14	http://purl.obolibrary.org/obo/MMO_0000845	affinity chromatography	AC	N/A	AC	AC
15	http://purl.obolibrary.org/obo/MMO_0000075	enzyme linked immunosorbent assay	ELISA	N/A	ELISA	ELISA
16	http://purl.obolibrary.org/obo/MMO_0000127	tomography		N/A		N/A
17	http://purl.obolibrary.org/obo/MMO_0000098	immunoassay		N/A		N/A
18	http://purl.obolibrary.org/obo/MMO_0000683	co-immunoprecipitation		N/A		N/A
19	http://purl.obolibrary.org/obo/MMO_0000459	polymerase chain reaction assay	PCR	N/A	PCR	PCR
20	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	CT scan|computerized axial tomography (CAT)|computed axial tomography|CAT scan|X-ray computed tomography	N/A		CT scan
20	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	CT scan|computerized axial tomography (CAT)|computed axial tomography|CAT scan|X-ray computed tomography	N/A		computerized axial tomography (CAT)
20	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	CT scan|computerized axial tomography (CAT)|computed axial tomography|CAT scan|X-ray computed tomography	N/A		computed axial tomography
20	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	CT scan|computerized axial tomography (CAT)|computed axial tomography|CAT scan|X-ray computed tomography	N/A		CAT scan
20	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	CT scan|computerized axial tomography (CAT)|computed axial tomography|CAT scan|X-ray computed tomography	N/A		X-ray computed tomography
21	http://purl.obolibrary.org/obo/MMO_0000680	chromatin immunoprecipitation	ChIP-on-chip|ChIP-chip	N/A		ChIP-on-chip
21	http://purl.obolibrary.org/obo/MMO_0000680	chromatin immunoprecipitation	ChIP-on-chip|ChIP-chip	N/A		ChIP-chip
22	http://purl.obolibrary.org/obo/MMO_0000468	column chromatography		N/A		N/A
23	http://purl.obolibrary.org/obo/MMO_0000173	spectrophotometry		N/A		N/A
24	http://purl.obolibrary.org/obo/MMO_0000170	osmometry		N/A		N/A
25	http://purl.obolibrary.org/obo/MMO_0000327	colorimetry	colorimetric analysis|filter photometry	N/A	filter photometry	colorimetric analysis
25	http://purl.obolibrary.org/obo/MMO_0000327	colorimetry	colorimetric analysis|filter photometry	N/A	filter photometry	filter photometry
26	http://purl.obolibrary.org/obo/MMO_0000289	thin layer chromatography		N/A		N/A
27	http://purl.obolibrary.org/obo/MMO_0000238	liquid scintillation counting	liquid scintillation counter	N/A		liquid scintillation counter
28	http://purl.obolibrary.org/obo/MMO_0000534	mass spectrometry	mass spec	N/A	mass spec	mass spec
29	http://purl.obolibrary.org/obo/MMO_0000655	reverse transcription polymerase chain reaction assay	RT-PCR|reverse transcription polymerase chain reaction|RT-PCR	N/A	reverse transcription polymerase chain reaction|RT-PCR	RT-PCR
29	http://purl.obolibrary.org/obo/MMO_0000655	reverse transcription polymerase chain reaction assay	RT-PCR|reverse transcription polymerase chain reaction|RT-PCR	N/A	reverse transcription polymerase chain reaction|RT-PCR	reverse transcription polymerase chain reaction
29	http://purl.obolibrary.org/obo/MMO_0000655	reverse transcription polymerase chain reaction assay	RT-PCR|reverse transcription polymerase chain reaction|RT-PCR	N/A	reverse transcription polymerase chain reaction|RT-PCR	RT-PCR
30	http://purl.obolibrary.org/obo/MMO_0000503	cell proliferation assay		N/A		N/A
31	http://purl.obolibrary.org/obo/MMO_0000709	nuclear magnetic resonance spectroscopy	MRS|NMR spectroscopy|magnetic resonance spectroscopy	N/A	MRS|NMR spectroscopy|magnetic resonance spectroscopy	MRS
31	http://purl.obolibrary.org/obo/MMO_0000709	nuclear magnetic resonance spectroscopy	MRS|NMR spectroscopy|magnetic resonance spectroscopy	N/A	MRS|NMR spectroscopy|magnetic resonance spectroscopy	NMR spectroscopy
31	http://purl.obolibrary.org/obo/MMO_0000709	nuclear magnetic resonance spectroscopy	MRS|NMR spectroscopy|magnetic resonance spectroscopy	N/A	MRS|NMR spectroscopy|magnetic resonance spectroscopy	magnetic resonance spectroscopy
32	http://purl.obolibrary.org/obo/MMO_0000682	immunoprecipitation		N/A		N/A
33	http://purl.obolibrary.org/obo/MMO_0000470	gas-solid chromatography	GSC|gas-solid column chromatography	N/A	gas-solid column chromatography	GSC
33	http://purl.obolibrary.org/obo/MMO_0000470	gas-solid chromatography	GSC|gas-solid column chromatography	N/A	gas-solid column chromatography	gas-solid column chromatography
34	http://purl.obolibrary.org/obo/MMO_0000496	histology		N/A		N/A
35	http://purl.obolibrary.org/obo/MMO_0000073	radioimmunoassay	RIA	N/A		RIA
36	http://purl.obolibrary.org/obo/MMO_0000094	spirometry		N/A		N/A
37	http://purl.obolibrary.org/obo/MMO_0000642	protein expression assay	protein expression	N/A	protein expression	protein expression
38	http://purl.obolibrary.org/obo/MMO_0000536	gas chromatography-mass spectrometry	GC-MS	N/A		GC-MS
39	http://purl.obolibrary.org/obo/MMO_0000535	liquid chromatography-mass spectrometry	LC-MS	N/A		LC-MS
40	http://purl.obolibrary.org/obo/MMO_0000217	scale		N/A		N/A
41	http://purl.obolibrary.org/obo/MMO_0000498	immunohistochemistry	IHC|immunohistochemistry	N/A	immunohistochemistry	IHC
41	http://purl.obolibrary.org/obo/MMO_0000498	immunohistochemistry	IHC|immunohistochemistry	N/A	immunohistochemistry	immunohistochemistry
42	http://purl.obolibrary.org/obo/MMO_0000368	hemocytometer	haemacytometer|haemocytometer|hemacytometer	N/A	haemocytometer|hemacytometer	haemacytometer
42	http://purl.obolibrary.org/obo/MMO_0000368	hemocytometer	haemacytometer|haemocytometer|hemacytometer	N/A	haemocytometer|hemacytometer	haemocytometer
42	http://purl.obolibrary.org/obo/MMO_0000368	hemocytometer	haemacytometer|haemocytometer|hemacytometer	N/A	haemocytometer|hemacytometer	hemacytometer
43	http://purl.obolibrary.org/obo/MMO_0000019	magnetic resonance imaging	nuclear magnetic resonance imaging|MRI	N/A	MRI	nuclear magnetic resonance imaging
43	http://purl.obolibrary.org/obo/MMO_0000019	magnetic resonance imaging	nuclear magnetic resonance imaging|MRI	N/A	MRI	MRI
44	http://purl.obolibrary.org/obo/MMO_0000575	computational method		N/A		N/A
45	http://purl.obolibrary.org/obo/MMO_0000338	western blot		N/A		N/A
46	http://purl.obolibrary.org/obo/MMO_0000678	anion-exchange chromatography		N/A		N/A
47	http://purl.obolibrary.org/obo/MMO_0000736	inductively coupled plasma mass spectrometry	ICP-MS	N/A	ICP-MS	ICP-MS
48	http://purl.obolibrary.org/obo/MMO_0000100	gel electrophoresis		N/A		N/A
49	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	biological standardization|biologic assay|biological assay	N/A	biologic assay|biological assay	biological standardization
49	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	biological standardization|biologic assay|biological assay	N/A	biologic assay|biological assay	biologic assay
49	http://purl.obolibrary.org/obo/MMO_0000441	bioassay	biological standardization|biologic assay|biological assay	N/A	biologic assay|biological assay	biological assay
50	http://purl.obolibrary.org/obo/MMO_0000458	enzyme-linked immunosorbent spot assay	ELISPOT assay	N/A		ELISPOT assay
