	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
382	http://purl.obolibrary.org/obo/MMO_0000496	histology	histology testing	0.747	bao	Histology	http://purl.obolibrary.org/obo/NCIT_C16681
383	http://purl.obolibrary.org/obo/MMO_0000496	histology	histology	0.996	bao	Histology	http://purl.obolibrary.org/obo/NCIT_C16681
567	http://purl.obolibrary.org/obo/MMO_0000471	gas-liquid chromatography	gas-liquid chromatography	0.925	bao	liquid chromatography	http://purl.obolibrary.org/obo/ERO_0001500
573	http://purl.obolibrary.org/obo/CHMO_0001016	gas-liquid chromatography	gas-liquid chromatography	0.925	bao	liquid chromatography	http://purl.obolibrary.org/obo/ERO_0001500
618	http://purl.obolibrary.org/obo/MMO_0000659	RNA-seq assay	RNA-seq assay method	0.798	bao	assay method	http://www.bioassayontology.org/bao#BAO_0003028
630	http://purl.obolibrary.org/obo/OBI_0001271	RNA-seq assay	RNA-seq assay method	0.798	bao	assay method	http://www.bioassayontology.org/bao#BAO_0003028
786	http://purl.obolibrary.org/obo/CHMO_0001126	laser-scanning confocal microscope	laser-scanning confocal microscope tests	0.912	bao	laser scanning confocal microscope	http://www.bioassayontology.org/bao#BAO_0150011
787	http://purl.obolibrary.org/obo/CHMO_0001126	laser-scanning confocal microscope	laser-scanning confocal microscope design	0.899	bao	laser scanning confocal microscope	http://www.bioassayontology.org/bao#BAO_0150011
788	http://purl.obolibrary.org/obo/CHMO_0001126	laser-scanning confocal microscope	laser-scanning confocal microscope	0.983	bao	laser scanning confocal microscope	http://www.bioassayontology.org/bao#BAO_0150011
846	http://purl.obolibrary.org/obo/CHEBI_60004	mixture	mixture	0.613	bao	mixture of perturbagens	http://www.bioassayontology.org/bao#BAO_0000575
963	http://purl.obolibrary.org/obo/CHEBI_50796	nanotube	nanotube	0.631	bao	carbon nanotube based sensor	http://www.bioassayontology.org/bao#BAO_0000471
1152	http://purl.obolibrary.org/obo/CHMO_0002815	solubility	solubility assessment	0.719	bao	solubility assay	http://www.bioassayontology.org/bao#BAO_0010010
1175	http://purl.obolibrary.org/obo/OBI_0000011	planned process	planned process method	0.643	bao	processing method	http://www.bioassayontology.org/bao#BAO_0002011
1179	http://purl.obolibrary.org/obo/CHMO_0000948	charge-coupled device	charge-coupled device	0.989	bao	charge coupled device	http://www.bioassayontology.org/bao#BAO_0150023
1181	http://purl.obolibrary.org/obo/CHMO_0000948	charge-coupled device	charge-coupled device analysis	0.829	bao	charge coupled device	http://www.bioassayontology.org/bao#BAO_0150023
1362	http://purl.obolibrary.org/obo/CHEBI_50594	carbon nanotube	carbon nanotube tests	0.679	bao	carbon nanotube based sensor	http://www.bioassayontology.org/bao#BAO_0000471
1363	http://purl.obolibrary.org/obo/CHEBI_50594	carbon nanotube	carbon nanotube	0.791	bao	carbon nanotube based sensor	http://www.bioassayontology.org/bao#BAO_0000471
1365	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	electron-multiplying charge-coupled device	0.976	bao	electron multiplying charge coupled device	http://www.bioassayontology.org/bao#BAO_0150025
1366	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	electron-multiplying charge-coupled device administration	0.829	bao	electron multiplying charge coupled device	http://www.bioassayontology.org/bao#BAO_0150025
1367	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	electron-multiplying charge-coupled device design	0.906	bao	electron multiplying charge coupled device	http://www.bioassayontology.org/bao#BAO_0150025
