	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
651	http://purl.obolibrary.org/obo/CHMO_0002585	refractive index detector	refractive index detector review	0.772	chmo	refractive index detection	http://purl.obolibrary.org/obo/CHMO_0001730
652	http://purl.obolibrary.org/obo/CHMO_0002585	refractive index detector	refractive index detector tests	0.787	chmo	refractive index detection	http://purl.obolibrary.org/obo/CHMO_0001730
653	http://purl.obolibrary.org/obo/CHMO_0002585	refractive index detector	refractive index detector	0.868	chmo	refractive index detection	http://purl.obolibrary.org/obo/CHMO_0001730
720	http://purl.obolibrary.org/obo/CHEBI_35255	chloroform	chloroform method	0.508	chmo	polarimetry of sample dissolved in chloroform	http://purl.obolibrary.org/obo/CHMO_0002898
721	http://purl.obolibrary.org/obo/CHEBI_35255	chloroform	chloroform	0.619	chmo	polarimetry of sample dissolved in chloroform	http://purl.obolibrary.org/obo/CHMO_0002898
1099	http://purl.obolibrary.org/obo/CHMO_0000950	diffractometer	diffractometer method	0.75	chmo	diffraction method	http://purl.obolibrary.org/obo/CHMO_0000141
1161	http://purl.obolibrary.org/obo/CHMO_0002866	evaporative light scattering detector	evaporative light scattering detector identification	0.8	chmo	evaporative light scattering detection	http://purl.obolibrary.org/obo/CHMO_0001718
1162	http://purl.obolibrary.org/obo/CHMO_0002866	evaporative light scattering detector	evaporative light scattering detector	0.9	chmo	evaporative light scattering detection	http://purl.obolibrary.org/obo/CHMO_0001718
1163	http://purl.obolibrary.org/obo/CHMO_0002866	evaporative light scattering detector	evaporative light scattering detector detection	0.872	chmo	evaporative light scattering detection	http://purl.obolibrary.org/obo/CHMO_0001718
1275	http://purl.obolibrary.org/obo/CHMO_0001287	calorimeter	calorimeter process	0.619	chmo	calorimetry	http://purl.obolibrary.org/obo/CHMO_0000682
1276	http://purl.obolibrary.org/obo/CHMO_0001287	calorimeter	calorimeter	0.791	chmo	calorimetry	http://purl.obolibrary.org/obo/CHMO_0000682
1277	http://purl.obolibrary.org/obo/CHMO_0001287	calorimeter	calorimeter testing	0.619	chmo	calorimetry	http://purl.obolibrary.org/obo/CHMO_0000682
1278	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	dimethyl sulfoxide method	0.662	chmo	polarimetry of sample dissolved in dimethyl sulfoxide	http://purl.obolibrary.org/obo/CHMO_0002899
1279	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide	dimethyl sulfoxide	0.767	chmo	polarimetry of sample dissolved in dimethyl sulfoxide	http://purl.obolibrary.org/obo/CHMO_0002899
1392	http://purl.obolibrary.org/obo/CHMO_0002265	anion-exchange column	anion-exchange column tests	0.521	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1393	http://purl.obolibrary.org/obo/CHMO_0002265	anion-exchange column	anion-exchange column	0.586	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1395	http://purl.obolibrary.org/obo/CHMO_0002264	ion-exchange column	ion-exchange column tests	0.545	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1396	http://purl.obolibrary.org/obo/CHMO_0002264	ion-exchange column	ion-exchange column design	0.533	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1397	http://purl.obolibrary.org/obo/CHMO_0002264	ion-exchange column	ion-exchange column method	0.552	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1399	http://purl.obolibrary.org/obo/CHMO_0002263	cation-exchange column	cation-exchange column	0.571	chmo	nuclear Overhauser enhancement spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000607
1512	http://purl.obolibrary.org/obo/MMO_0000380	GFAAS	GFAAS	0.979	chmo	graphite furnace atomic absorption spectrometry	http://purl.obolibrary.org/obo/CHMO_0000239
1521	http://purl.obolibrary.org/obo/MMO_0000380	ETAAS	ETAAS method	0.663	chmo	electrothermal atomic absorption spectrometry	http://purl.obolibrary.org/obo/CHMO_0000237
1522	http://purl.obolibrary.org/obo/MMO_0000380	ETAAS	ETAAS	0.983	chmo	electrothermal atomic absorption spectrometry	http://purl.obolibrary.org/obo/CHMO_0000237
2014	http://purl.obolibrary.org/obo/MMO_0000379	flame AAS	flame AAS	0.593	chmo	atomic absorption spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000234
2031	http://purl.obolibrary.org/obo/MMO_0000721	Ultra Performance Liquid Chromatography/Mass Spectrometry	Ultra Performance Liquid Chromatography/Mass Spectrometry	0.954	chmo	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
