	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
204	http://purl.obolibrary.org/obo/MMO_0000127	tomography	tomography	0.998	edam	Tomography	http://edamontology.org/topic_3452
205	http://purl.obolibrary.org/obo/MMO_0000127	tomography	tomography review	0.789	edam	Tomography	http://edamontology.org/topic_3452
206	http://purl.obolibrary.org/obo/MMO_0000127	tomography	tomography analysis	0.744	edam	Tomography	http://edamontology.org/topic_3452
207	http://www.bioassayontology.org/bao#BAO_0002525	tomography	tomography	0.998	edam	Tomography	http://edamontology.org/topic_3452
208	http://www.bioassayontology.org/bao#BAO_0002525	tomography	tomography review	0.789	edam	Tomography	http://edamontology.org/topic_3452
209	http://www.bioassayontology.org/bao#BAO_0002525	tomography	tomography analysis	0.744	edam	Tomography	http://edamontology.org/topic_3452
225	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	computed tomography identification	0.744	edam	Tomography	http://edamontology.org/topic_3452
226	http://purl.obolibrary.org/obo/MMO_0000128	computed tomography	computed tomography	0.991	edam	Tomography	http://edamontology.org/topic_3452
240	http://www.ebi.ac.uk/efo/EFO_0003960	computed tomography	computed tomography identification	0.744	edam	Tomography	http://edamontology.org/topic_3452
241	http://www.ebi.ac.uk/efo/EFO_0003960	computed tomography	computed tomography	0.991	edam	Tomography	http://edamontology.org/topic_3452
246	http://purl.obolibrary.org/obo/MMO_0000680	chromatin immunoprecipitation	chromatin immunoprecipitation sampling	0.881	edam	Immunoprecipitation experiment	http://edamontology.org/topic_3656
247	http://purl.obolibrary.org/obo/MMO_0000680	chromatin immunoprecipitation	chromatin immunoprecipitation surveillance	0.838	edam	Immunoprecipitation experiment	http://edamontology.org/topic_3656
248	http://purl.obolibrary.org/obo/MMO_0000680	chromatin immunoprecipitation	chromatin immunoprecipitation	0.992	edam	Immunoprecipitation experiment	http://edamontology.org/topic_3656
252	http://purl.obolibrary.org/obo/CHMO_0001694	chromatin immunoprecipitation	chromatin immunoprecipitation sampling	0.881	edam	Immunoprecipitation experiment	http://edamontology.org/topic_3656
