	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
34	http://purl.obolibrary.org/obo/MMO_0000035	digital scale	digital scale approach	0.769	mmo	whole body digital scale	http://purl.obolibrary.org/obo/MMO_0000017
35	http://purl.obolibrary.org/obo/MMO_0000035	digital scale	digital scale surveillance	0.702	mmo	whole body digital scale	http://purl.obolibrary.org/obo/MMO_0000017
216	http://purl.obolibrary.org/obo/MMO_0000683	co-immunoprecipitation	co-immunoprecipitation system	0.819	mmo	immunoprecipitation	http://purl.obolibrary.org/obo/MMO_0000682
217	http://purl.obolibrary.org/obo/MMO_0000683	co-immunoprecipitation	co-immunoprecipitation	0.929	mmo	immunoprecipitation	http://purl.obolibrary.org/obo/MMO_0000682
218	http://purl.obolibrary.org/obo/MMO_0000683	co-immunoprecipitation	co-immunoprecipitation process	0.804	mmo	immunoprecipitation	http://purl.obolibrary.org/obo/MMO_0000682
534	http://purl.obolibrary.org/obo/MMO_0000458	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay detection	0.794	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
535	http://purl.obolibrary.org/obo/MMO_0000458	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay sampling	0.805	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
536	http://purl.obolibrary.org/obo/MMO_0000458	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay system	0.823	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
537	http://www.bioassayontology.org/bao#BAO_0002419	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay detection	0.794	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
538	http://www.bioassayontology.org/bao#BAO_0002419	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay sampling	0.805	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
539	http://www.bioassayontology.org/bao#BAO_0002419	enzyme-linked immunosorbent spot assay	enzyme-linked immunosorbent spot assay system	0.823	mmo	enzyme linked immunosorbent assay	http://purl.obolibrary.org/obo/MMO_0000075
678	http://purl.obolibrary.org/obo/CHMO_0000997	chromatography column	chromatography column	0.978	mmo	column chromatography	http://purl.obolibrary.org/obo/MMO_0000468
