	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
33	http://purl.obolibrary.org/obo/MMO_0000035	digital scale	digital scale administration	0.71	ncit	Agent Administration	http://purl.obolibrary.org/obo/NCIT_C70962
51	http://purl.obolibrary.org/obo/MMO_0000394	high-performance liquid chromatography	high-performance liquid chromatography	0.984	ncit	High Performance Liquid Chromatography	http://purl.obolibrary.org/obo/NCIT_C16434
52	http://purl.obolibrary.org/obo/MMO_0000394	high-performance liquid chromatography	high-performance liquid chromatography method	0.909	ncit	High Performance Liquid Chromatography	http://purl.obolibrary.org/obo/NCIT_C16434
57	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-performance liquid chromatography	0.984	ncit	High Performance Liquid Chromatography	http://purl.obolibrary.org/obo/NCIT_C16434
58	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-performance liquid chromatography method	0.909	ncit	High Performance Liquid Chromatography	http://purl.obolibrary.org/obo/NCIT_C16434
69	http://purl.obolibrary.org/obo/MMO_0000287	electrophoresis	electrophoresis design	0.86	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
70	http://purl.obolibrary.org/obo/MMO_0000287	electrophoresis	electrophoresis	0.991	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
72	http://purl.obolibrary.org/obo/CHMO_0001019	electrophoresis	electrophoresis design	0.86	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
73	http://purl.obolibrary.org/obo/CHMO_0001019	electrophoresis	electrophoresis	0.991	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
78	http://purl.obolibrary.org/obo/OBI_0600053	electrophoresis	electrophoresis design	0.86	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
79	http://purl.obolibrary.org/obo/OBI_0600053	electrophoresis	electrophoresis	0.991	ncit	Electrophoresis	http://purl.obolibrary.org/obo/NCIT_C16536
144	http://purl.obolibrary.org/obo/MMO_0000537	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry approach	0.919	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
145	http://purl.obolibrary.org/obo/MMO_0000537	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry surveillance	0.89	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
146	http://purl.obolibrary.org/obo/MMO_0000537	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry	0.985	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
150	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high-performance liquid chromatography-mass spectrometry approach	0.919	ncit	High Performance Liquid Chromatography Mass Spectrometry	http://purl.obolibrary.org/obo/NCIT_C103513
