	Class ID	Preferred Label	Synonyms	Definitions	Obsolete	Semantic Types	Parents
427	C16627	Medical Genetics	Medical Genetics|Genetics, Medical	A medical specialty concerned with the diagnosis and management of hereditary disorders.	False		C17153
429	C16628	Population Genetics	Genetics, Population|Population Genetics	The branch of genetics that focuses on gene distribution and transmission through populations.	False		C16624
431	C16626	Biochemical Genetics	Biochemical Genetics	The science concerned with the chemical and physical nature of genes and the genome.	False		C16624
436	C16625	Behavioral Genetics	Genetic Determinants of Behavior|Behavioral Genetics	The study of the genetic factors of behavioral phenotypes such as eating or mating activity, substance abuse, social attitudes, violence, and mental abilities. (from online American Heritage Dictionary of the English Language)	False		C16624
885	C18867	Mathematical Biology	Mathematical Biology	Interdisciplinary field of study in which theoretical, computational, or mathematical research is applied to or motivated by biology.	False		C19061
886	C18862	Lipid Chemistry	Lipid Chemistry	The 'test tube' chemical reactions of lipids-not involving enzymes	False		C16419
889	C18860	Laboratory Animal Medicine	Laboratory Animal Medicine	Veterinary medicine applied to laboratory animals.	False		C17251
891	C18868	Medical Entomology	Medical Entomology	The study of insects as they relate to human disease.	False		C16550
2211	C19373	Natural Products Chemistry	Natural Products Chemistry	A branch of chemistry that deals specifically with the structures, synthesis and reactions of natural compounds.	False		C16419
2346	C17256	Virology	Virology	The science that deals with the study of viruses.	False		C16851
2875	C19649	Protein Dynamics	Protein Dynamics	The science of simulating and predicting the motions of proteins.	False		C19902
3320	C18189	Pathology	Pathological|Pathology	The medical science, and specialty practice, concerned with all aspects of disease, but with special reference to the essential nature, causes, and development of abnormal conditions, as well as the structural and functional changes that result from the disease processes. Informally used to mean the result of such an examination.	False		C17153
3667	C17243	Urology	Urologic|Urology	The medical specialty concerned with the study, diagnosis, and treatment of diseases of the genitourinary tract.	False		C16749
3827	C142484	Data Management Convention	Data Management Convention|data management conventions	Procedures and policies for data management (e.g., documented procedure(s) for resolving self-evident changes). (ICH)	False		C17735
4433	C16500	Dermatology	Dermatology	The branch of medicine focused on the study of the skin, and responsible for the medical management of its associated diseases.	False		C17153
