	property	All	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	'ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)	Mendeley
0	isRelatedTo	428	0	4	0	0	0	0	424	0	0	0	0	0	0	0	0
1	isSimilarTo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	isBasisFor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	nctid	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
4	abstract	728	0	7	0	0	721	0	0	0	0	0	0	0	0	0	0
5	aggregateRating	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	creator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	hasPart	40994	0	6	0	0	0	0	0	0	40988	0	0	0	0	0	0
8	inLanguage	36574	36574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	isAccessibleForFree	56156	0	0	0	0	0	0	0	0	54208	0	0	1948	0	0	0
10	isPartOf	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
11	version	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	alternateName	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	mainEntityOfPage	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
14	sameAs	2012431	138956	0	0	0	721	0	0	0	0	0	0	0	0	1872754	0
15	relationship	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
