	property	All	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	'ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)	Mendeley
0	name	2726269	208043	7	338998	0	721	3005	424	368	54208	6923	80975	1948	210928	1810261	53828
1	description	2755713	208043	7	309001	0	721	3005	378	368	54196	5253	80975	1948	210928	1871640	53585
2	author	1820628	208043	0	0	0	597	3005	424	368	54208	4984	80443	1462	185433	1283636	53828
3	author.name	1809543	208043	0	0	0	597	3005	424	368	54208	4984	80443	1462	185433	1283636	53828
4	author.givenName	123890	0	0	0	0	0	0	0	0	54186	0	2943	1462	0	0	53828
5	author.familyName	123880	0	0	0	0	0	0	0	0	54208	0	2911	1462	0	0	53828
6	url	2788762	208043	7	339001	0	721	3005	424	368	54208	6920	80975	1948	210928	1872754	53828
7	measurementTechnique	229036	0	0	0	0	721	3002	420	368	0	0	0	1948	210903	70052	0
8	measurementTechnique.name	229036	0	0	0	0	721	3002	420	368	0	0	0	1948	210903	70052	0
9	includedInDataCatalog	2788765	208043	7	339001	0	721	3005	424	368	54208	6923	80975	1948	210928	1872754	53828
10	includedInDataCatalog.name	2788765	208043	7	339001	0	721	3005	424	368	54208	6923	80975	1948	210928	1872754	53828
11	distribution	1630285	0	0	0	0	721	1649	424	368	54208	0	80041	486	210928	1283636	53419
12	distribution.contentUrl	1585594	0	0	0	0	721	0	0	368	54208	0	40479	486	210928	1283346	53396
13	distribution.dateModified	54556	0	0	0	0	721	0	0	368	0	0	0	0	0	0	53419
14	funding	235032	17199	7	0	0	721	1260	391	368	18802	6921	32016	0	92174	76997	0
15	funding.funder.name	233933	17199	7	0	0	721	1259	312	368	18787	6921	32016	0	91785	76591	0
16	funding.identifier	162580	0	4	0	0	721	1213	391	368	15522	0	0	0	90035	74010	0
17	date	979792	208043	6	339001	0	721	2910	419	368	54200	6923	80975	1948	210928	70069	53828
18	dateCreated	9239	0	0	0	0	0	0	0	368	0	6923	0	1948	0	0	0
19	dateModified	909360	208043	2	339001	0	0	2896	293	368	0	6923	80975	1948	210928	69980	53828
20	datePublished	966696	208043	6	339001	0	0	1743	419	0	54200	6923	70149	1934	210928	70069	53828
21	citedBy	1194	599	0	0	0	595	0	0	0	0	0	0	0	0	0	0
22	doi	342300	143834	0	0	0	721	0	0	5	54208	6920	80975	1462	0	0	53828
23	infectiousAgent	6097	0	0	0	0	1	1083	0	348	0	0	0	0	4665	1826	0
24	healthCondition	115649	0	7	0	0	720	372	6	67	0	6422	0	0	70494	56632	0
25	species	201225	0	0	0	0	660	2222	0	246	0	0	0	0	197712	64798	0
26	variableMeasured	1878628	0	0	0	0	0	647	419	0	0	5123	0	0	69782	1872729	0
27	citation	352093	0	7	0	0	0	2074	57	149	36146	0	22816	0	154644	147635	18488
28	citation.pmid	271620	0	4	0	0	0	2074	57	126	0	0	0	0	154644	147635	0
29	conditionsOfAccess	262534	208043	7	0	0	0	0	0	0	54208	0	0	0	0	0	0
30	isBasedOn	353394	0	0	339001	0	708	0	271	0	0	0	0	1931	0	185	0
31	keywords	391324	121396	0	0	0	721	0	424	0	41885	6907	78479	1948	1	62694	53827
32	license	326271	195056	0	0	0	721	0	0	16	54208	0	76270	0	0	0	0
33	sdPublisher	1439744	0	0	0	0	0	3005	244	342	0	6922	80975	0	69774	1283582	53828
34	spatialCoverage	62745	0	0	0	0	0	0	0	21	16184	4634	41858	0	0	0	0
35	temporalCoverage	67687	0	0	0	0	0	0	0	0	54208	5255	6353	0	0	0	0
36	topicCategory	115947	115947	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	identifier	630856	208043	7	0	0	721	3005	424	368	54208	5243	80975	0	210928	70072	53828
38	usageInfo	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
39	interactionStatistic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
