	property	All	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)	Mendeley	MicrobiomeDB	NICHD+DASH	Qiita	ReframeDB	VDJServer	MassIVE	MalariaGEN	Human+Cell+Atlas	Figshare	biotools
0	name	3755724	397034	10	380289	65	1174	3219	424	433	62567	7705	57702	3200	246522	611081	109921	22	11742	825	189	65	16553	53	484	1966819	0
1	description	3767760	384300	10	355689	65	1174	3219	378	433	62555	5985	57702	3200	246522	669060	109411	22	11742	825	189	65	10102	53	484	1966811	0
2	author	2945490	397034	0	0	63	784	3219	424	433	62567	7705	54211	2400	207903	216677	109921	22	11742	825	188	64	10201	53	484	1966819	0
3	author.name	2944839	397034	0	0	63	784	3219	424	433	62567	7705	54211	1749	207903	216677	109921	22	11742	825	188	64	10201	53	484	1966819	0
4	author.givenName	181591	0	0	0	0	0	0	0	23	62546	0	6217	2400	0	0	109921	0	0	0	0	0	0	0	484	0	0
5	author.familyName	181522	0	0	0	0	0	0	0	23	62567	0	6127	2400	0	0	109921	0	0	0	0	0	0	0	484	0	0
6	url	3816475	397034	10	380292	65	1174	3219	424	433	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
7	measurementTechnique	281993	0	0	0	63	525	3211	420	433	0	0	0	2259	246522	152687	0	0	11742	0	189	65	16564	0	0	0	0
8	measurementTechnique.name	281993	0	0	0	63	525	3211	420	433	0	0	0	2259	246522	152687	0	0	11742	0	189	65	16564	0	0	0	0
9	includedInDataCatalog	3816475	397034	10	380292	65	1174	3219	424	433	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
10	includedInDataCatalog.name	3816475	397034	10	380292	65	1174	3219	424	433	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
11	distribution	882024	397034	0	0	63	1174	1810	424	420	62567	0	56743	801	246522	238775	0	22	11742	0	0	0	16564	53	0	0	0
12	distribution.contentUrl	853830	397034	0	0	0	1174	0	0	420	62567	0	30846	801	246522	238491	0	22	11742	0	0	0	16564	53	0	0	0
13	distribution.dateModified	398691	397034	0	0	63	1174	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	funding	250598	28272	10	0	45	1174	1370	391	433	26069	7700	26253	0	119725	88448	10306	18	11742	243	10	0	714	0	0	0	0
15	funding.funder.name	250469	28272	10	0	45	1174	1370	312	433	26066	7700	26253	0	119687	88359	10305	18	11742	243	10	0	714	0	0	0	0
16	funding.identifier	202265	26601	3	0	45	1174	1312	391	433	20992	0	0	0	117212	86247	8994	18	9082	219	9	0	694	0	0	0	0
17	date	3296107	397034	7	380292	0	1174	3120	419	433	62561	7705	57702	3200	246522	152686	109921	0	11742	0	0	39	16564	53	484	1966819	0
18	dateCreated	27902	0	0	0	0	0	0	0	433	0	7705	0	3200	0	5998	0	0	0	0	0	0	16564	0	0	0	0
19	dateModified	3206488	397034	2	380292	0	0	3106	293	433	0	7705	57702	3200	246522	146600	109921	0	2620	0	0	39	0	0	484	1966819	0
20	datePublished	3276765	397034	7	380292	0	0	1933	419	16	62561	7705	57702	3200	246522	146688	109921	0	11742	0	0	39	0	53	484	1966819	0
21	citedBy	26193	791	0	0	0	991	0	0	17	0	0	0	0	0	0	0	0	2979	0	0	0	0	0	0	0	0
22	doi	2605642	397032	0	0	0	1174	0	0	5	62567	7705	57702	2399	0	3753	109921	0	0	419	0	0	7197	0	0	1959492	0
23	infectiousAgent	261632	0	1	121408	1	383	173	0	395	12065	621	0	0	38997	94001	14013	18	2775	255	123	26	617	33	1	0	0
24	healthCondition	244173	0	10	57206	65	1173	680	43	232	5061	7298	0	0	116964	106950	9750	20	7113	316	189	37	1746	53	431	0	0
25	species	773992	0	2	379895	2	228	416	36	315	44056	306	0	0	237638	225359	15389	21	8110	525	102	14	1281	28	0	0	0
26	variableMeasured	671822	0	0	0	62	0	685	415	23	0	5773	0	0	146408	665142	0	0	0	0	0	0	5998	0	0	0	0
27	citation	331676	0	7	0	57	0	2236	44	194	39823	0	10651	0	192446	152959	30575	21	11564	366	10	3	2274	53	476	0	0
28	citation.pmid	244035	0	3	0	57	0	2236	44	132	0	0	0	0	192446	151405	0	21	9194	366	10	0	0	0	0	0	0
29	conditionsOfAccess	112241	4	7	0	65	1174	3219	0	26	62567	7705	0	0	0	5998	0	22	11742	0	189	0	16564	53	0	0	0
30	isBasedOn	394053	0	0	380292	29	1160	0	271	17	0	0	0	0	0	176	0	0	11742	0	0	0	0	0	49	0	0
31	keywords	2417023	177903	0	0	64	1174	0	424	21	50339	7618	52987	3200	0	24418	109920	22	11742	290	0	0	10038	53	484	1966819	0
32	license	2602362	380553	0	0	0	1174	0	0	71	62567	0	57479	0	0	5932	109833	0	0	0	0	0	10151	0	0	1966819	0
33	sdPublisher	2409251	160596	0	0	0	0	3219	237	388	0	7699	57702	0	13	92333	109921	3	0	0	0	65	16564	0	0	1966759	0
34	spatialCoverage	53836	0	0	0	64	0	0	0	53	16181	5299	32239	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	temporalCoverage	81686	0	0	0	63	0	0	0	53	58817	5935	5196	0	0	0	0	0	11622	0	0	0	0	0	0	0	0
36	topicCategory	3165403	201949	6	244266	50	719	0	380	392	53905	6971	38822	1843	210889	486781	51023	0	11330	703	139	56	3325	0	0	1966819	0
37	identifier	2898869	397034	10	0	65	1174	3219	424	433	62567	5910	57702	0	246522	152690	109921	0	0	0	189	0	16564	0	0	1966819	0
38	usageInfo	32	0	10	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	interactionStatistic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
