	property	All	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)	Mendeley	MicrobiomeDB	NICHD+DASH	Qiita	ReframeDB	VDJServer	MassIVE	MalariaGEN	Human+Cell+Atlas	Figshare	biotools
0	name	3834007	397034	10	380289	65	1174	3219	424	485	62567	7705	57702	3200	246522	611081	109921	22	11742	825	189	65	16553	53	484	1966819	0
1	description	3842053	384300	10	355689	65	1174	3219	378	485	62555	5985	57702	3200	246522	669076	109411	22	11742	825	189	65	10102	53	484	1966811	0
2	author	3025991	397034	0	0	63	784	3219	424	485	62567	7705	54211	2400	207903	219281	109921	22	11742	825	188	64	10201	53	484	1966819	0
3	author.name	3025252	397034	0	0	63	784	3219	424	485	62567	7705	54211	1749	207903	219280	109921	22	11742	825	188	64	10201	53	484	1966819	0
4	author.givenName	181702	0	0	0	0	0	0	0	24	62546	0	6217	2400	0	1	109921	0	0	0	0	0	0	0	484	0	0
5	author.familyName	181633	0	0	0	0	0	0	0	24	62567	0	6127	2400	0	1	109921	0	0	0	0	0	0	0	484	0	0
6	url	3894758	397034	10	380292	65	1174	3219	424	485	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
7	measurementTechnique	403161	0	0	0	63	525	3211	420	436	0	0	0	2259	246522	210903	0	0	11742	0	189	65	16564	0	0	0	0
8	measurementTechnique.name	403161	0	0	0	63	525	3211	420	436	0	0	0	2259	246522	210903	0	0	11742	0	189	65	16564	0	0	0	0
9	includedInDataCatalog	3894758	397034	10	380292	65	1174	3219	424	485	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
10	includedInDataCatalog.name	3894758	397034	10	380292	65	1174	3219	424	485	62567	7705	57702	3200	246522	671818	109921	22	11742	825	189	65	16564	53	484	1966819	0
11	distribution	926584	397034	0	0	63	1174	1810	424	423	62567	0	56743	801	246522	238775	0	22	11742	0	0	0	16564	53	0	0	0
12	distribution.contentUrl	854970	397034	0	0	0	1174	0	0	423	62567	0	30846	801	246522	238491	0	22	11742	0	0	0	16564	53	0	0	0
13	distribution.dateModified	398694	397034	0	0	63	1174	0	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	funding	255904	28272	10	0	45	1174	1370	391	485	26069	7700	26253	0	119725	90457	10306	18	11742	243	10	0	714	0	0	0	0
15	funding.funder.name	255773	28272	10	0	45	1174	1370	312	485	26066	7700	26253	0	119687	90368	10305	18	11742	243	10	0	714	0	0	0	0
16	funding.identifier	207373	26601	3	0	45	1174	1312	391	485	20992	0	0	0	117212	88176	8994	18	9082	219	9	0	694	0	0	0	0
17	date	3344513	397034	7	380292	0	1174	3120	419	485	62561	7705	57702	3200	246522	153538	109921	0	11742	0	0	39	16564	53	484	1966819	0
18	dateCreated	74073	0	0	0	0	0	0	0	485	0	7705	0	3200	0	6850	0	0	0	0	0	0	16564	0	0	0	0
19	dateModified	3254892	397034	2	380292	0	0	3106	293	485	0	7705	57702	3200	246522	147452	109921	0	2620	0	0	39	0	0	484	1966819	0
20	datePublished	3368999	397034	7	380292	0	0	1933	419	25	62561	7705	57702	3200	246522	205964	109921	0	11742	0	0	39	0	53	484	1966819	0
21	citedBy	26196	791	0	0	0	991	0	0	20	0	0	0	0	0	0	0	0	2979	0	0	0	0	0	0	0	0
22	doi	2606291	397032	0	0	0	1174	0	0	5	62567	7705	57702	2399	0	3753	109921	0	0	419	0	0	7197	0	0	1959492	0
23	infectiousAgent	262238	0	1	121408	1	383	173	0	414	12065	621	0	0	38997	94064	14013	18	2775	255	123	26	617	33	1	0	0
24	healthCondition	269422	0	10	57206	65	1173	680	43	249	5061	7298	0	0	116964	107675	9750	20	7113	316	189	37	1746	53	431	0	0
25	species	881817	0	2	379895	2	228	416	36	327	44056	306	0	0	237638	263847	15389	21	8110	525	102	14	1281	28	0	0	0
26	variableMeasured	672051	0	0	0	62	0	685	415	26	0	5773	0	0	146408	665165	0	0	0	0	0	0	5998	0	0	0	0
27	citation	379504	0	7	0	57	0	2236	44	217	39823	0	10651	0	192446	158558	30575	21	11564	366	10	3	2274	53	476	0	0
28	citation.pmid	246432	0	3	0	57	0	2236	44	155	0	0	0	0	192446	151997	0	21	9194	366	10	0	0	0	0	0	0
