	property	All	MalariaGEN	Omics+Discovery+Index+(OmicsDI)
0	name	4328659	55	105126
1	description	4235471	55	101023
2	author	2932943	55	72318
3	author.name	2916935	55	70201
4	author.givenName	205662	0	0
5	author.familyName	205942	0	0
6	url	4328673	55	105126
7	measurementTechnique	1652280	0	74036
8	measurementTechnique.name	1652280	0	74036
9	includedInDataCatalog	4328673	55	105126
10	includedInDataCatalog.name	4328673	55	105126
11	distribution	846585	55	105126
12	distribution.contentUrl	831889	55	105126
13	distribution.dateModified	370514	0	0
14	funding	299147	0	17936
15	funding.funder.name	299011	0	17933
16	funding.identifier	270382	0	14780
17	date	4266092	55	98419
18	dateCreated	115292	0	75311
19	dateModified	3245820	0	35713
20	datePublished	4208798	55	70834
21	citedBy	30643	0	0
22	doi	2587390	0	8383
23	infectiousAgent	368064	35	12202
24	healthCondition	263976	55	45675
25	species	1192673	29	32818
26	variableMeasured	979738	0	105126
27	citation	330504	55	34287
28	citation.pmid	247894	0	33539
29	conditionsOfAccess	131740	55	3966
30	isBasedOn	407747	0	0
31	keywords	3316636	55	50534
32	license	2574447	0	3940
33	sdPublisher	2390305	0	105126
34	spatialCoverage	35238	0	9837
35	temporalCoverage	92232	0	10521
36	topicCategory	2673877	0	39035
37	identifier	3916008	0	105126
38	usageInfo	2948	0	0
39	interactionStatistic	0	0	0
