	property	All	MalariaGEN	Omics+Discovery+Index+(OmicsDI)
0	name	4654437	55	105342
1	description	4565068	55	99082
2	author	3261745	55	74383
3	author.name	3245585	55	72266
4	author.givenName	206418	0	0
5	author.familyName	206698	0	0
6	url	4654445	55	105342
7	measurementTechnique	1965875	0	78569
8	measurementTechnique.name	1965875	0	78569
9	includedInDataCatalog	4654445	55	105342
10	includedInDataCatalog.name	4654445	55	105342
11	distribution	840082	55	105342
12	distribution.contentUrl	825377	55	105342
13	distribution.dateModified	369944	0	0
14	funding	394487	0	18188
15	funding.funder.name	394350	0	18184
16	funding.identifier	340613	0	15022
17	date	4583511	55	96433
18	dateCreated	109007	0	75202
19	dateModified	3498568	0	35714
20	datePublished	4533062	55	68895
21	citedBy	269208	0	0
22	doi	2842827	0	9081
23	infectiousAgent	506716	35	12173
24	healthCondition	264393	55	45752
25	species	1383500	29	36405
26	variableMeasured	986354	0	105342
27	citation	355978	55	37185
28	citation.pmid	248167	0	33791
29	conditionsOfAccess	125207	55	3579
30	isBasedOn	406814	0	0
31	keywords	3577079	55	51336
32	license	2590966	0	4945
33	sdPublisher	2398967	0	105342
34	spatialCoverage	35845	0	9838
35	temporalCoverage	92842	0	10522
36	topicCategory	2770916	0	47831
37	identifier	4169994	0	105342
38	usageInfo	2953	0	0
39	interactionStatistic	0	0	0
