	property	All	AccessClinicalData@NIAID	biotools	ClinEpiDB	Data+Discovery+Engine	Dryad+Digital+Repository	Figshare	Flow+Repository	Harvard+Dataverse	HuBMAP	Human+Cell+Atlas	ImmPort	ImmuneSpace	LINCS	MalariaGEN	MassIVE	Mendeley	MicrobiomeDB	NCBI+BioProject	NCBI+GEO	NCBI+SRA	NDEx	NICHD+DASH	Omics+Discovery+Index+(OmicsDI)	Qiita	RADx+Data+Hub	ReframeDB	The+Database+of+Genotypes+and+Phenotypes	VDJServer	VEuPathDB	Vivli	Zenodo
0	name	4352908	10	0	65	576	64423	2014543	2277	21012	4730	506	1286	181	424	55	17439	120399	25	931107	246522	391035	10843	12510	105342	843	178	193	2705	92	3225	7814	425108
1	description	4257332	10	0	65	576	64411	2014535	2277	21012	4730	506	1286	181	378	55	10987	119755	25	900557	246522	366029	10836	12510	99082	843	178	193	2705	78	3225	6084	400184
2	author	2950291	0	0	63	575	64423	2014543	2277	17931	3710	506	850	174	424	55	11086	120399	25	12146	207903	0	10843	12510	70369	843	178	193	2587	91	3225	7814	425108
3	author.name	2934131	0	0	63	575	64423	2014543	2277	17931	1930	506	850	174	424	55	11086	120399	25	4	207903	0	10843	12510	68252	843	57	193	2587	91	3225	7814	425108
4	author.givenName	208748	0	0	0	30	64402	0	0	7740	3710	506	0	0	0	0	0	120399	0	11783	0	0	0	0	0	0	178	0	0	0	0	0	58743
5	author.familyName	209028	0	0	0	28	64423	0	0	7642	3710	506	0	0	0	0	0	120399	0	12142	0	0	0	0	0	0	178	0	0	0	0	0	58764
6	url	4352922	10	0	65	576	64423	2014543	2277	21012	4730	506	1286	181	424	55	17450	120399	25	931107	246522	391038	10843	12510	105342	843	178	193	2705	92	3225	7814	425108
7	measurementTechnique	1657342	7	0	63	576	0	0	2277	0	2369	0	575	172	420	0	17450	0	0	902448	246522	391038	63	12510	74223	0	178	193	2041	92	3218	5059	0
8	measurementTechnique.name	1657342	7	0	63	576	0	0	2277	0	2369	0	575	172	420	0	17450	0	0	902448	246522	391038	63	12510	74223	0	178	193	2041	92	3218	5059	0
9	includedInDataCatalog	4352922	10	0	65	576	64423	2014543	2277	21012	4730	506	1286	181	424	55	17450	120399	25	931107	246522	391038	10843	12510	105342	843	178	193	2705	92	3225	7814	425108
10	includedInDataCatalog.name	4352922	10	0	65	576	64423	2014543	2277	21012	4730	506	1286	181	424	55	17450	120399	25	931107	246522	391038	10843	12510	105342	843	178	193	2705	92	3225	7814	425108
11	includedIndataCatalog.archivedAt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	distribution	847089	0	0	63	565	64423	0	2277	20065	1021	0	1286	181	424	55	17450	0	25	0	246522	0	10843	12510	105342	0	0	0	0	39	1815	0	425108
13	distribution.contentUrl	832384	0	0	0	565	64423	0	2277	18505	1021	0	1286	181	0	55	17450	0	25	0	246522	0	0	12510	105342	0	0	0	0	39	0	0	425108
14	distribution.dateModified	370535	0	0	63	565	0	0	2277	0	0	0	1286	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366344
15	funding	300485	10	0	45	576	27644	0	353	1992	0	0	1286	181	391	0	164	12922	19	55464	119918	0	995	12510	18021	245	178	10	2180	41	1373	7805	58927
16	funding.funder.name	300349	10	0	45	576	27641	0	353	1992	0	0	1286	181	312	0	164	12921	19	55453	119880	0	995	12510	18018	245	178	10	2179	41	1373	7805	58924
17	funding.identifier	271588	3	0	45	576	22146	0	349	0	0	0	1286	181	391	0	164	11340	19	55464	117411	0	973	9430	14861	221	91	9	2175	40	1315	0	51977
18	date	4282029	7	0	63	576	64417	2014543	2277	21012	4730	506	1286	181	419	55	17450	120399	0	870313	246522	391038	10843	12510	96474	0	178	0	2704	39	3125	7814	425103
19	dateCreated	115917	0	0	0	576	0	0	0	0	4730	0	0	0	0	0	17450	0	0	0	0	0	10843	0	75603	0	178	0	2703	0	0	7814	0
20	dateModified	3263493	2	0	63	576	0	2014543	2277	21012	4730	506	1286	181	293	0	0	120399	0	0	246522	391038	10843	3136	35714	0	176	0	2704	39	3111	7814	366344
21	datePublished	4224454	7	0	0	138	64417	2014543	2277	21012	4730	506	0	0	419	55	3650	120399	0	870313	246522	391038	0	12510	68895	0	178	0	0	39	1935	7814	425101
22	citedBy	30655	0	0	0	24	0	0	0	0	0	0	1084	145	0	0	0	0	0	0	0	0	0	3097	0	0	0	0	0	0	0	0	5022
23	doi	2606421	0	0	0	5	64423	2007037	0	21012	3709	0	1286	181	0	0	8034	120399	0	0	0	0	124	0	8450	427	168	0	0	0	0	7814	425106
24	infectiousAgent	368650	1	0	1	358	12374	0	359	708	0	0	417	3	0	35	2645	15376	1	167187	26105	124807	96	2899	12189	272	178	127	158	7	1286	642	11326
25	healthCondition	264221	10	0	65	374	5228	0	489	1064	0	454	1285	181	39	55	1639	10786	23	0	116964	59540	1121	7371	45752	324	178	193	2332	56	681	7407	4718
26	species	1194766	2	0	2	301	45307	0	404	1880	4730	506	926	181	36	29	7052	16976	1	644963	222860	194918	9323	8426	32713	252	178	108	1341	42	468	305	41599
27	variableMeasured	985751	0	0	61	31	0	0	0	0	0	0	0	0	415	0	3980	0	0	873039	0	0	10	0	105342	0	174	0	24	92	685	5878	0
28	citation	330884	7	0	57	355	40747	0	752	2867	0	500	0	0	0	55	2416	31372	23	0	192439	0	1404	12273	34424	373	91	10	1567	80	2238	0	38690
29	citation.pmid	248036	3	0	57	270	0	0	752	0	0	0	0	0	0	0	0	0	23	0	192439	0	1128	9542	33674	373	91	10	1567	60	2238	0	0
30	citation.doi	44084	0	0	0	0	0	0	0	0	0	496	0	0	0	0	2342	21350	0	0	0	0	0	12267	798	0	0	0	0	20	0	0	0
31	conditionsOfAccess	132119	10	0	65	31	64423	0	2277	0	0	0	1286	181	0	55	17450	0	25	0	0	0	10843	12510	3980	0	178	193	2705	92	3225	7814	58770
32	isBasedOn	406571	0	0	29	25	0	0	0	0	0	53	1272	177	271	0	0	0	0	0	0	391038	838	12510	0	0	36	0	0	0	0	0	0
33	keywords	3341732	0	0	64	29	52194	2014543	1374	17137	4730	506	1286	181	418	55	11028	120398	25	877137	0	0	9825	12510	50719	292	178	0	1160	92	0	7727	203229
34	license	2593507	0	0	0	97	64423	2014543	2277	20863	0	0	1286	181	0	0	11033	120311	0	0	0	0	432	0	3954	0	178	0	2042	92	0	0	400954
35	sdPublisher	2409599	0	0	0	409	0	2014457	0	21012	0	0	0	0	0	0	17450	120399	3	0	0	0	5	0	105342	0	178	0	0	0	3225	7804	123295
36	spatialCoverage	35275	0	0	64	72	16182	0	0	3711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9838	0	0	0	0	0	0	5408	16162
37	temporalCoverage	92272	0	0	63	72	58944	0	2277	1792	0	0	0	0	0	0	0	0	0	0	0	0	0	12390	10522	0	178	0	0	0	0	6034	57690
38	topicCategory	2689359	6	0	50	398	53903	2014543	2223	8604	1843	0	719	158	345	0	1735	51018	0	0	210867	243472	10843	11330	38934	703	50	139	2495	56	0	6887	53695
39	identifier	3941409	10	0	65	576	64423	2014543	2277	21012	0	0	1286	181	424	0	17450	120399	0	931107	246522	0	10843	0	105342	0	178	193	2705	92	3225	6008	425108
40	usageInfo	2947	10	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	2654	92	0	0	0
