	property	All	AccessClinicalData@NIAID	biotools	ClinEpiDB	Data Discovery Engine	Dryad Digital Repository	Figshare	Flow Repository	Harvard Dataverse	HuBMAP	Human Cell Atlas	ImmPort - Bioinformatics For the Future of Immunology	ImmuneSpace	LINCS	MalariaGEN	MassIVE	Mendeley	MicrobiomeDB	NCBI BioProject	NCBI GEO	NCBI SRA	NDEX	NICHD DASH	National Omics Data Encyclopedia	Omics Discovery Index (OmicsDI)	Project Tycho	Protein Data Bank	ProteomeXchange	Qiita	RADx Data Hub	ReframeDB	SAGE ARK Portal	The Database of Genotypes and Phenotypes	VDJServer	VEuPathDB	Vivli	Zenodo
0	name	67139868	12	0	65	618	26025	1827196	2302	111106	13644	530	1447	210	424	60	108	141885	25	1069398	8241569	658398	0	12510	129200	111007	597	148971	51317	878	178	408	27	2865	4749	3225	8616	425098
1	description	10267302	12	0	65	618	26025	1827190	2302	111106	13644	530	1447	210	378	60	72	141018	25	1036163	4963202	616876	0	12510	31020	104742	597	148971	51297	878	178	408	27	2865	73	3225	6750	400186
2	author	55147366	0	0	63	617	26025	1827196	2302	106955	7492	530	981	199	424	60	72	141885	25	16925	8201586	657672	0	12510	129178	77846	597	148971	51318	878	178	408	27	2728	87	3225	8616	425098
3	author.name	13342662	0	0	63	617	26025	1827196	2302	106955	2085	530	981	199	424	60	72	141885	25	1105	8201586	655986	0	12510	29455	75729	597	148971	51318	878	57	408	27	2728	87	3225	8616	425098
4	author.givenName	407632	0	0	0	42	26024	0	0	80035	7492	530	0	0	0	0	0	141885	0	15442	0	0	0	0	129166	0	597	0	0	0	178	0	0	0	0	0	0	16634
5	author.familyName	407263	0	0	0	40	26025	0	0	79288	7492	530	0	0	0	0	0	141885	0	15821	0	0	0	0	129166	0	597	0	0	0	178	0	0	0	0	0	0	16635
6	url	67139881	12	0	65	618	26025	1827196	2302	111106	13644	530	1447	210	424	60	108	141885	25	1069398	8241569	658401	0	12510	129200	111007	597	148971	51318	878	178	408	27	2865	4749	3225	8616	425098
7	measurementTechnique	9383735	7	0	63	618	0	0	2302	0	2682	0	1032	205	420	0	108	0	0	1034157	5626684	658401	0	12510	1076	83666	597	148720	51318	0	178	408	27	2171	4749	3218	5512	597
8	measurementTechnique.name	9383735	7	0	63	618	0	0	2302	0	2682	0	1032	205	420	0	108	0	0	1034157	5626684	658401	0	12510	1076	83666	597	148720	51318	0	178	408	27	2171	4749	3218	5512	597
9	includedInDataCatalog	67139881	12	0	65	618	26025	1827196	2302	111106	13644	530	1447	210	424	60	108	141885	25	1069398	8241569	658401	0	12510	129200	111007	597	148971	51318	878	178	408	27	2865	4749	3225	8616	425098
10	includedInDataCatalog.name	67139881	12	0	65	618	26025	1827196	2302	111106	13644	530	1447	210	424	60	108	141885	25	1069398	8241569	658401	0	12510	129200	111007	597	148971	51318	878	178	408	27	2865	4749	3225	8616	425098
11	includedIndataCatalog.archivedAt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	distribution	63147803	0	0	63	603	26025	0	2302	109930	1250	0	0	0	424	60	108	0	25	1103	8241569	0	0	12510	129173	111007	597	148971	47941	0	0	0	27	0	4514	1815	0	425098
13	distribution.contentUrl	63126823	0	0	0	603	26025	0	2302	103022	1250	0	0	0	0	60	108	0	25	1103	8241569	0	0	12510	128713	111007	597	148971	47941	0	0	0	27	0	4501	0	0	425098
14	distribution.dateModified	560424	0	0	63	603	0	0	2302	0	0	0	0	0	0	0	0	0	0	115	103	0	0	0	0	0	0	148971	0	0	0	0	27	0	0	0	0	408463
15	funding	719578	12	0	45	618	19802	156125	354	31592	0	0	1447	210	391	0	1	17772	19	67277	129908	0	0	12510	37	21269	597	67896	12973	249	178	10	26	2289	51	1374	8597	47932
16	funding.funder.name	719082	12	0	45	618	19796	156014	354	31539	0	0	1447	210	312	0	1	17766	19	67223	129759	0	0	12510	37	21255	597	67878	12962	249	178	10	26	2284	51	1374	8597	47930
17	funding.identifier	499220	2	0	45	618	15165	10955	350	1827	0	0	1446	210	391	0	1	15559	19	67277	127076	0	0	9430	37	17993	0	50999	12578	225	91	9	26	2284	50	1316	0	42381
18	date	66908565	9	0	63	618	26025	1827196	2302	111106	13644	530	1447	210	419	60	108	141885	0	866551	8241569	658401	0	12510	129178	102993	597	148971	51318	0	178	0	27	2864	42	3125	8616	425098
19	dateCreated	8729050	0	0	0	618	0	0	0	111105	13644	0	0	0	0	0	108	0	0	115	8241569	0	0	0	129178	77628	597	5	37722	0	178	0	27	2863	0	0	8616	597
20	dateModified	65898507	3	0	63	618	0	1827196	2302	111106	8741	530	0	0	293	0	0	141885	0	115	8241569	658401	0	3136	129178	76794	0	148971	51318	0	176	0	27	2864	41	3111	8616	408463
21	datePublished	66620753	9	0	0	340	26025	1827196	2302	111106	8741	530	0	0	419	60	19	141885	0	866551	8241569	658401	0	12510	32496	75832	597	148971	51318	0	178	0	0	0	42	1935	8616	425096
22	citedBy	34669	0	0	0	34	0	0	0	0	0	0	1214	167	0	0	0	0	0	0	0	0	0	3097	0	0	0	0	0	0	0	0	0	0	0	0	0	5176
23	doi	2683732	0	0	0	10	26025	1819746	0	111106	7491	0	1447	210	0	0	53	141885	0	0	0	0	0	0	0	7909	597	148971	7167	454	168	0	27	0	0	0	8616	425096
24	infectiousAgent	19373830	1	0	1	416	0	0	371	0	1	0	448	1	0	39	18	355	1	311876	972971	300922	0	2899	128113	17084	592	148186	12323	285	178	257	0	169	24	1286	750	592
25	healthCondition	8684129	12	0	65	416	2223	348648	493	4001	2366	473	1427	206	39	60	8	14212	23	260	531120	105528	0	7371	11914	48373	597	5	22328	342	178	357	27	2444	3032	678	8200	1919
26	species	24994255	2	0	2	387	18545	550783	413	10442	9366	530	1022	210	36	32	59	36187	1	584944	1028675	361601	0	8426	80164	66215	597	16565	42675	265	178	232	0	1391	4749	618	341	12111
27	variableMeasured	17531035	0	0	61	183	0	0	0	0	3683	0	0	0	415	0	19	0	0	1004756	3526712	0	0	0	0	111003	597	148971	41038	0	174	0	0	25	4749	685	6404	597
28	citation	512834	7	0	57	422	21550	0	755	4354	0	522	0	0	0	60	15	32942	23	81	205556	0	0	12273	129	42582	0	148924	30927	388	91	10	0	1649	78	2238	0	13324
29	citation.pmid	282087	2	0	57	321	0	0	755	0	0	0	0	0	0	0	0	5088	23	76	205555	0	0	9542	129	39725	0	0	30478	388	91	10	0	1649	75	2238	0	0
30	citation.doi	68319	0	0	0	0	0	0	0	0	0	518	0	0	0	0	15	21501	0	0	0	0	0	12267	0	6629	0	0	3902	0	0	0	0	0	17	0	0	0
31	conditionsOfAccess	54369420	12	0	65	60	26025	0	2302	0	0	0	1447	210	0	60	108	0	25	0	0	0	0	12510	1099	41057	597	148971	51318	0	178	408	27	2865	4749	3225	8616	16641
32	isBasedOn	3647367	0	0	29	35	0	0	0	0	0	58	1433	206	271	0	0	0	0	0	0	658401	0	12510	0	617	237	0	623	0	36	0	0	0	0	0	0	237
33	keywords	7257110	0	0	64	160	20223	1827196	1390	104860	8741	530	1447	210	418	60	72	141884	25	1009662	178282	0	0	12510	706	61067	597	148720	51178	298	178	0	27	1240	34	0	8529	203075
