	property	Zenodo	AccessClinicalData@NIAID	NCBI+SRA	ClinEpiDB	ImmPort	VEuPathDB	LINCS	Data+Discovery+Engine	Dryad+Digital+Repository	Vivli	Harvard+Dataverse	HuBMAP	Mendeley	NCBI+GEO	Omics+Discovery+Index+(OmicsDI)
0	name	210042	6	338998	49	721	3005	424	348	54208	6709	80975	1948	53828	204128	1810261
1	description	210042	6	309001	49	721	3005	378	348	54196	5064	80975	1948	53585	204128	1871577
2	author	210042	0	0	43	597	3005	424	348	54208	0	80443	1462	53828	173144	1283582
3	author.name	210042	0	0	43	597	3005	424	348	54208	0	80443	1462	53828	173144	1283582
4	author.givenName	0	0	0	0	0	0	0	0	54186	0	2943	1462	53828	0	0
5	author.familyName	0	0	0	0	0	0	0	0	54208	0	2911	1462	53828	0	0
6	url	210042	6	339001	49	721	3005	424	348	54208	6706	80975	1948	53828	204128	1872754
7	measurementTechnique	0	0	0	47	721	3002	420	348	0	0	0	1948	0	204103	0
8	measurementTechnique.name	0	0	0	47	721	3002	420	348	0	0	0	1948	0	204103	0
9	includedInDataCatalog	210042	6	339001	49	721	3005	424	348	54208	6709	80975	1948	53828	204128	1872754
10	includedInDataCatalog.name	210042	6	339001	49	721	3005	424	348	54208	6709	80975	1948	53828	204128	1872754
11	distribution	0	0	0	43	721	1649	424	348	54208	0	80041	486	53419	204128	1283582
12	distribution.contentUrl	0	0	0	0	721	0	0	348	54208	0	40479	486	53396	204128	1283582
13	distribution.dateModified	0	0	0	43	721	0	0	348	0	0	0	0	53419	0	0
14	funding	16803	6	0	32	721	1262	391	348	18802	6709	32016	0	0	90836	61229
15	funding.funder.name	16803	6	0	32	721	1262	0	348	18800	6709	32016	0	0	90836	61229
16	funding.identifier	0	4	0	32	721	1215	391	348	15522	0	0	0	0	88696	58718
17	date	210042	5	339001	0	721	2910	419	348	54200	6709	80975	1948	53828	204128	0
18	dateCreated	0	0	0	0	0	0	0	348	0	6709	0	1948	0	0	0
19	dateModified	210042	2	339001	0	0	2896	293	348	0	6709	80975	1948	53828	204128	0
20	datePublished	210042	5	339001	0	0	1743	419	0	54200	6709	70149	1934	53828	204128	0
21	citedBy	622	0	0	0	595	0	0	0	0	0	0	0	0	0	0
22	doi	150977	0	0	0	721	0	0	5	54208	6706	80975	1462	53828	0	0
23	infectiousAgent	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0
24	healthCondition	0	6	0	43	720	0	0	65	0	6213	0	0	0	0	0
25	species	0	0	0	0	660	2222	0	243	0	0	0	0	0	191262	0
26	variableMeasured	0	0	0	0	0	647	415	0	0	4939	0	0	0	0	1872729
27	citation	0	6	0	43	0	2074	0	131	36146	0	22816	0	18488	152270	120148
28	citation.pmid	0	4	0	43	0	2074	0	109	0	0	0	0	0	152270	120148
29	conditionsOfAccess	210042	6	0	0	0	0	0	0	54208	0	0	0	0	0	0
30	isBasedOn	0	0	339001	28	708	0	271	0	0	0	0	1931	0	0	0
31	keywords	120465	0	0	48	721	0	424	0	41885	6694	78479	1948	53827	0	62404
32	license	195065	0	0	0	721	0	0	14	54208	0	76270	0	0	0	0
33	sdPublisher	0	0	0	0	0	3005	0	322	0	6708	80975	0	53828	0	1283582
34	spatialCoverage	0	0	0	48	0	0	0	21	16184	4445	41858	0	0	0	0
35	temporalCoverage	0	0	0	47	0	0	0	0	54208	5067	6353	0	0	0	0
36	topicCategory	120046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	identifier	210042	6	0	49	721	3005	424	348	54208	5055	80975	0	53828	204128	0
38	usageInfo	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
39	interactionStatistic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
