	source	counts	redundant descript?	minlength
0	dataverse	3523	False	50
1	dataverse	121	True	50
2	dryad	16	False	50
3	dryad	1	True	50
4	figshare	32836	False	50
5	figshare	18330	True	50
6	mendeley	1979	False	50
7	mendeley	345	True	50
8	zenodo	21113	False	50
9	zenodo	860	True	50
10	dataverse	4610	False	100
11	dataverse	222	True	100
12	dryad	125	False	100
13	dryad	3	True	100
14	figshare	80143	False	100
15	figshare	100328	True	100
16	mendeley	13829	False	100
17	mendeley	768	True	100
18	zenodo	47209	False	100
19	zenodo	1949	True	100
20	dataverse	8457	False	200
21	dataverse	406	True	200
22	dryad	257	False	200
23	dryad	3	True	200
24	figshare	258888	False	200
25	figshare	331059	True	200
26	mendeley	34394	False	200
27	mendeley	1426	True	200
28	zenodo	94650	False	200
29	zenodo	3389	True	200
30	dataverse	10936	False	300
31	dataverse	540	True	300
32	dryad	348	False	300
33	dryad	3	True	300
34	figshare	431477	False	300
35	figshare	427219	True	300
36	mendeley	51994	False	300
37	mendeley	2006	True	300
38	zenodo	129730	False	300
39	zenodo	3990	True	300
40	dataverse	12493	False	400
41	dataverse	588	True	400
42	dryad	451	False	400
43	dryad	3	True	400
44	figshare	523562	False	400
45	figshare	458494	True	400
46	mendeley	62590	False	400
47	mendeley	2216	True	400
48	zenodo	169528	False	400
49	zenodo	4186	True	400
50	dataverse	13400	False	500
51	dataverse	589	True	500
52	dryad	589	False	500
53	dryad	3	True	500
54	figshare	583612	False	500
55	figshare	467235	True	500
56	mendeley	69670	False	500
57	mendeley	2257	True	500
58	zenodo	194808	False	500
59	zenodo	4340	True	500
