	propertyLabel	propName_record_count	propUrl_record_count	propType_record_count
0	citation	402881	298266	145580
1	citedBy	18220	9252	15110
2	isPartOf	12591	12586	72
3	hasPart	54229	12603	104
4	isBasedOn	402796	406690	585
5	isBasisFor	80	122	187
6	author	3170791	10720	514322
7	creator	5388	0	5388
8	includedInDataCatalog	4616724	4616713	4616713
9	sdPublisher	2439325	224121	122463
10	funding	220988	165522	0
11	funding.funder	359320	0	0
12	distribution	25322	0	565534
13	spatialCoverage	35721	0	660
14	temporalCoverage	641	0	92720
15	infectiousAgent	515123	515123	0
16	species	1292171	967186	0
17	healthCondition	266365	263397	0
18	measurementTechnique	1894177	550402	528378
19	topicCategory	2926781	885712	2618409
20	about	37	37	37
