	propertyLabel	propName_record_count	propUrl_record_count	propType_record_count
0	citation	212690	106953	296011
1	citedBy	18239	9271	30753
2	isPartOf	17102	17097	17223
3	hasPart	54232	12606	54297
4	isBasedOn	402819	406713	406875
5	isBasisFor	82	124	190
6	author	3194061	10721	3211789
7	creator	5415	0	5415
8	includedInDataCatalog	4662648	4662637	4662648
9	sdPublisher	2444896	225745	2445155
10	funding	129122	74424	244925
11	funding.funder	243524	236	243513
12	distribution	25301	0	998017
13	spatialCoverage	36246	0	35758
14	temporalCoverage	2999	0	92746
15	infectiousAgent	494594	494594	494569
16	species	1347471	754447	1342897
17	healthCondition	154330	150596	150800
18	measurementTechnique	1935819	552029	1931252
19	topicCategory	2586496	676171	2717276
20	about	40	40	40
