	CURIE	counts
0	-1	857
1	DOID0040084	2
2	DOID0050589	3
3	DOID0050741	1
4	DOID0050745	3
5	DOID0050746	2
6	DOID0050801	3
7	DOID0050840	4
8	DOID0050856	5
9	DOID0050908	2
10	DOID0060040	1
11	DOID0060108	3
12	DOID0060224	21
13	DOID0060478	2
14	DOID0060903	1
15	DOID0070355	1
16	DOID0080208	1
17	DOID0080546	1
18	DOID0080821	1
19	DOID0080827	1
20	DOID0081267	1
21	DOID10871	1
22	DOID10923	1
23	DOID1116	3
24	DOID11405	2
25	DOID11572	1
26	DOID11650	1
27	DOID11716	1
28	DOID1205	3
29	DOID12211	2
30	DOID12801	1
31	DOID1287	1
32	DOID12895	1
33	DOID1307	4
34	DOID1312	2
35	DOID13250	6
36	DOID13365	1
37	DOID14042	21
38	DOID14203	3
39	DOID1884	2
40	DOID1920	14
41	DOID1924	1
42	DOID1967	1
43	DOID2043	14
44	DOID2123	2
45	DOID217	1
46	DOID224	1
47	DOID2468	1
48	DOID2942	2
49	DOID2986	1
50	DOID3021	1
51	DOID3044	1
52	DOID314	1
53	DOID3146	11
54	DOID3246	1
55	DOID3247	3
56	DOID326	2
57	DOID3312	1
58	DOID3371	1
59	DOID3376	2
60	DOID3382	2
61	DOID3393	2
62	DOID341	1
63	DOID3910	2
64	DOID399	21
65	DOID4051	1
66	DOID4140	1
67	DOID4159	4
68	DOID417	4
69	DOID4233	1
70	DOID4239	1
71	DOID4376	1
72	DOID4377	2
73	DOID4378	6
74	DOID4450	8
75	DOID4481	24
76	DOID4483	8
77	DOID4724	1
78	DOID4992	1
79	DOID5363	2
80	DOID5485	1
81	DOID552	5
82	DOID5556	1
83	DOID5692	2
84	DOID7427	1
85	DOID783	8
86	DOID8398	9
87	DOID8552	3
88	DOID8566	4
89	DOID8704	3
90	DOID9123	8
91	DOID9191	1
92	DOID9246	1
93	DOID9588	1
94	DOID974	3
95	DOID9743	1
96	DOID9952	1
97	MONDO0000248	1
98	MONDO0000257	1
99	MONDO0000259	1
100	MONDO0000409	1
101	MONDO0000450	2
102	MONDO0000451	1
103	MONDO0000552	1
104	MONDO0000595	1
105	MONDO0000693	3
106	MONDO0000705	2
107	MONDO0000870	1
108	MONDO0000889	1
109	MONDO0000916	2
110	MONDO0000980	1
111	MONDO0001103	1
112	MONDO0001251	1
113	MONDO0001422	1
114	MONDO0001449	1
115	MONDO0001475	1
116	MONDO0001531	1
117	MONDO0001577	3
118	MONDO0002032	1
119	MONDO0002047	1
120	MONDO0002050	44
121	MONDO0002113	1
122	MONDO0002120	1
123	MONDO0002268	1
124	MONDO0002280	2
125	MONDO0002282	7
126	MONDO0002358	1
127	MONDO0002404	1
128	MONDO0002447	1
129	MONDO0002520	1
130	MONDO0002614	1
131	MONDO0002771	3
132	MONDO0002989	1
133	MONDO0003004	2
134	MONDO0003005	5
135	MONDO0003210	1
136	MONDO0003220	1
137	MONDO0003864	2
138	MONDO0004059	2
139	MONDO0004095	1
140	MONDO0004235	1
141	MONDO0004286	1
142	MONDO0004357	1
143	MONDO0004653	1
144	MONDO0004713	1
145	MONDO0004952	4
146	MONDO0004963	1
147	MONDO0004980	1
148	MONDO0004992	18
149	MONDO0005005	3
150	MONDO0005008	1
151	MONDO0005011	1
152	MONDO0005017	1
153	MONDO0005026	1
154	MONDO0005028	2
155	MONDO0005036	3
156	MONDO0005040	1
157	MONDO0005041	1
158	MONDO0005044	25
159	MONDO0005072	7
160	MONDO0005081	5
161	MONDO0005082	16
162	MONDO0005096	1
163	MONDO0005098	6
164	MONDO0005101	2
165	MONDO0005105	4
166	MONDO0005109	9
167	MONDO0005111	2
168	MONDO0005115	1
169	MONDO0005131	1
170	MONDO0005147	41
171	MONDO0005148	266
172	MONDO0005149	4
173	MONDO0005155	6
174	MONDO0005185	3
175	MONDO0005191	5
176	MONDO0005192	2
177	MONDO0005194	1
178	MONDO0005207	1
179	MONDO0005210	1
180	MONDO0005215	1
181	MONDO0005231	4
182	MONDO0005233	78
183	MONDO0005235	1
184	MONDO0005258	1
185	MONDO0005275	2
186	MONDO0005282	1
187	MONDO0005292	1
188	MONDO0005314	4
189	MONDO0005327	1
190	MONDO0005347	3
191	MONDO0005354	29
192	MONDO0005362	23
193	MONDO0005366	1
194	MONDO0005405	1
195	MONDO0005460	20
196	MONDO0005494	1
197	MONDO0005502	12
198	MONDO0005542	10
199	MONDO0005545	3
200	MONDO0005556	3
201	MONDO0005563	1
202	MONDO0005565	1
203	MONDO0005575	12
204	MONDO0005578	3
205	MONDO0005579	2
206	MONDO0005590	1
