	CURIE	counts
0	-1	24
1	NCBITAXON:1001989	1
2	NCBITAXON:1003232	2
3	NCBITAXON:1003335	2
4	NCBITAXON:1005962	3
5	NCBITAXON:100787	1
6	NCBITAXON:1016987	1
7	NCBITAXON:102618	1
8	NCBITAXON:102793	17
9	NCBITAXON:10298	1
10	NCBITAXON:10345	1
11	NCBITAXON:1035635	2
12	NCBITAXON:1036612	2
13	NCBITAXON:1037528	1
14	NCBITAXON:103796	1
15	NCBITAXON:103903	1
16	NCBITAXON:10407	2
17	NCBITAXON:1045010	1
18	NCBITAXON:104623	3
19	NCBITAXON:104660	4
20	NCBITAXON:104669	1
21	NCBITAXON:1047171	1
22	NCBITAXON:104782	3
23	NCBITAXON:1048749	2
24	NCBITAXON:10515	4
25	NCBITAXON:105231	2
26	NCBITAXON:1052685	1
27	NCBITAXON:105487	1
28	NCBITAXON:1055687	2
29	NCBITAXON:106276	1
30	NCBITAXON:106299	1
31	NCBITAXON:106590	1
32	NCBITAXON:1068625	3
33	NCBITAXON:1069201	4
34	NCBITAXON:1069680	4
35	NCBITAXON:1073089	1
36	NCBITAXON:1073090	3
37	NCBITAXON:1074873	1
38	NCBITAXON:10760	1
39	NCBITAXON:107637	1
40	NCBITAXON:1076696	2
41	NCBITAXON:1077286	1
42	NCBITAXON:1078123	1
43	NCBITAXON:1085	1
44	NCBITAXON:1089452	1
45	NCBITAXON:109174	1
46	NCBITAXON:1093790	1
47	NCBITAXON:109461	2
48	NCBITAXON:1094619	8
49	NCBITAXON:1097556	3
50	NCBITAXON:11033	1
51	NCBITAXON:11034	2
52	NCBITAXON:11036	1
53	NCBITAXON:11082	15
54	NCBITAXON:1111077	2
55	NCBITAXON:11137	1
56	NCBITAXON:1114943	3
57	NCBITAXON:11191	1
58	NCBITAXON:1120981	1
59	NCBITAXON:1121352	1
60	NCBITAXON:1123310	1
61	NCBITAXON:1126212	2
62	NCBITAXON:1128122	1
63	NCBITAXON:1130820	1
64	NCBITAXON:1130821	1
65	NCBITAXON:11320	23
66	NCBITAXON:1132390	1
67	NCBITAXON:113370	1
68	NCBITAXON:1136883	1
69	NCBITAXON:1137138	3
70	NCBITAXON:1137211	1
71	NCBITAXON:114525	1
72	NCBITAXON:1145276	3
73	NCBITAXON:114727	17
74	NCBITAXON:1148157	2
75	NCBITAXON:11520	1
76	NCBITAXON:1155766	2
77	NCBITAXON:1156394	2
78	NCBITAXON:1157616	3
79	NCBITAXON:1159556	2
80	NCBITAXON:1160497	2
81	NCBITAXON:11620	6
82	NCBITAXON:1163398	2
83	NCBITAXON:1169474	3
84	NCBITAXON:1169540	2
85	NCBITAXON:1172566	1
86	NCBITAXON:1174673	1
87	NCBITAXON:1174677	1
88	NCBITAXON:1178016	2
89	NCBITAXON:1178516	1
90	NCBITAXON:11801	1
91	NCBITAXON:1182543	1
92	NCBITAXON:1182544	2
93	NCBITAXON:1182545	2
94	NCBITAXON:1186058	2
95	NCBITAXON:1194599	1
96	NCBITAXON:120017	2
97	NCBITAXON:120045	1
98	NCBITAXON:1202531	2
99	NCBITAXON:120297	1
100	NCBITAXON:1202976	2
101	NCBITAXON:120570	1
102	NCBITAXON:1206056	1
103	NCBITAXON:1206058	1
104	NCBITAXON:1206070	1
105	NCBITAXON:1208370	1
106	NCBITAXON:1209962	3
107	NCBITAXON:1215343	1
108	NCBITAXON:1219067	1
109	NCBITAXON:1220924	2
110	NCBITAXON:12230	1
111	NCBITAXON:1223555	1
112	NCBITAXON:1223556	3
113	NCBITAXON:1223559	1
114	NCBITAXON:1223560	3
115	NCBITAXON:1224742	2
116	NCBITAXON:122586	1
117	NCBITAXON:1227346	4
118	NCBITAXON:1230383	1
119	NCBITAXON:1237626	1
120	NCBITAXON:1239307	1
121	NCBITAXON:1240240	2
122	NCBITAXON:1241935	1
123	NCBITAXON:12429	1
124	NCBITAXON:1247861	1
125	NCBITAXON:1247875	3
126	NCBITAXON:1257118	5
127	NCBITAXON:1262450	3
128	NCBITAXON:1263082	1
129	NCBITAXON:12637	1
130	NCBITAXON:1267021	1
131	NCBITAXON:126732	1
132	NCBITAXON:1268274	4
133	NCBITAXON:12721	2
134	NCBITAXON:1276135	3
135	NCBITAXON:1279085	4
136	NCBITAXON:1279365	1
137	NCBITAXON:1280	192
138	NCBITAXON:1280524	3
139	NCBITAXON:1282	10
140	NCBITAXON:1286640	1
141	NCBITAXON:1288291	1
142	NCBITAXON:128941	1
143	NCBITAXON:1290	1
144	NCBITAXON:1295531	1
145	NCBITAXON:1295824	1
146	NCBITAXON:1296100	3
147	NCBITAXON:1296103	1
148	NCBITAXON:1296108	1
149	NCBITAXON:1296111	1
150	NCBITAXON:1296119	2
151	NCBITAXON:1296121	2
152	NCBITAXON:1296122	2
153	NCBITAXON:1299	6
154	NCBITAXON:130081	1
155	NCBITAXON:1303	1
156	NCBITAXON:1304	3
157	NCBITAXON:1308	3
158	NCBITAXON:13093	1
159	NCBITAXON:1313	59
160	NCBITAXON:1316582	1
161	NCBITAXON:132248	1
162	NCBITAXON:132261	2
163	NCBITAXON:1328	1
164	NCBITAXON:1328388	1
165	NCBITAXON:1328758	4
166	NCBITAXON:1333499	14
167	NCBITAXON:1335626	26
168	NCBITAXON:1352	1
169	NCBITAXON:135461	1
170	NCBITAXON:1354746	3
171	NCBITAXON:1355477	1
172	NCBITAXON:1357716	1
173	NCBITAXON:1359	2
174	NCBITAXON:13642	1
175	NCBITAXON:1365886	1
176	NCBITAXON:137071	1
177	NCBITAXON:1374	1
178	NCBITAXON:1378093	1
179	NCBITAXON:1385527	1
180	NCBITAXON:139	13
181	NCBITAXON:1390	2
182	NCBITAXON:1392248	2
183	NCBITAXON:1392250	2
184	NCBITAXON:1392255	2
185	NCBITAXON:1392256	2
186	NCBITAXON:139420	1
187	NCBITAXON:1395637	3
188	NCBITAXON:1396488	2
189	NCBITAXON:1397035	1
190	NCBITAXON:1397361	5
191	NCBITAXON:1398154	2
192	NCBITAXON:1408450	1
193	NCBITAXON:1408657	1
194	NCBITAXON:1408658	3
195	NCBITAXON:141969	2
196	NCBITAXON:1426	1
197	NCBITAXON:1427374	1
198	NCBITAXON:1432499	1
199	NCBITAXON:143361	1
200	NCBITAXON:1442368	3
201	NCBITAXON:1442369	3
202	NCBITAXON:1442370	2
203	NCBITAXON:1447872	3
204	NCBITAXON:1448314	2
205	NCBITAXON:1448315	1
206	NCBITAXON:1448319	1
207	NCBITAXON:1448321	2
208	NCBITAXON:1450429	1
209	NCBITAXON:1450434	1
210	NCBITAXON:1450436	1
211	NCBITAXON:1450537	3
212	NCBITAXON:1452720	1
213	NCBITAXON:145637	4
214	NCBITAXON:1457551	1
215	NCBITAXON:1464	1
216	NCBITAXON:1486245	1
217	NCBITAXON:1486427	1
218	NCBITAXON:1491466	1
219	NCBITAXON:1496	46
220	NCBITAXON:150440	1
221	NCBITAXON:1504969	1
222	NCBITAXON:1513	1
223	NCBITAXON:1513325	1
224	NCBITAXON:1520	1
