	CURIE	counts
0	-1	17808
1	NCBITAXON:10036	37
2	NCBITAXON:10047	1
3	NCBITAXON:10068	1
4	NCBITAXON:10090	31867
5	NCBITAXON:10116	2263
6	NCBITAXON:101364	2
7	NCBITAXON:10141	22
8	NCBITAXON:102803	1
9	NCBITAXON:103349	1
10	NCBITAXON:103351	5
11	NCBITAXON:1037020	1
12	NCBITAXON:104130	1
13	NCBITAXON:1046848	1
14	NCBITAXON:104688	1
15	NCBITAXON:1049369	1
16	NCBITAXON:106132	1
17	NCBITAXON:106582	3
18	NCBITAXON:1074816	1
19	NCBITAXON:107947	1
20	NCBITAXON:110105	1
21	NCBITAXON:110835	1
22	NCBITAXON:1112392	1
23	NCBITAXON:111304	1
24	NCBITAXON:1128429	1
25	NCBITAXON:1136872	1
26	NCBITAXON:114398	4
27	NCBITAXON:114617	1
28	NCBITAXON:115425	1
29	NCBITAXON:118357	1
30	NCBITAXON:1184610	1
31	NCBITAXON:118781	2
32	NCBITAXON:1188110	1
33	NCBITAXON:119951	2
34	NCBITAXON:120507	2
35	NCBITAXON:1206364	1
36	NCBITAXON:123685	1
37	NCBITAXON:124752	1
38	NCBITAXON:124917	1
39	NCBITAXON:1255228	1
40	NCBITAXON:126375	1
41	NCBITAXON:126418	1
42	NCBITAXON:1266728	1
43	NCBITAXON:128040	1
44	NCBITAXON:128735	2
45	NCBITAXON:128810	1
46	NCBITAXON:13037	3
47	NCBITAXON:13164	4
48	NCBITAXON:132113	1
49	NCBITAXON:1328066	1
50	NCBITAXON:13306	2
51	NCBITAXON:13443	1
52	NCBITAXON:136180	1
53	NCBITAXON:13708	1
54	NCBITAXON:13816	1
55	NCBITAXON:13894	1
56	NCBITAXON:141467	1
57	NCBITAXON:141886	1
58	NCBITAXON:142615	2
59	NCBITAXON:143948	3
60	NCBITAXON:1443244	1
61	NCBITAXON:145282	1
62	NCBITAXON:145942	1
63	NCBITAXON:148545	2
64	NCBITAXON:154765	1
65	NCBITAXON:157934	1
66	NCBITAXON:159041	1
67	NCBITAXON:1610892	2
68	NCBITAXON:162307	1
69	NCBITAXON:171651	1
70	NCBITAXON:173342	1
71	NCBITAXON:173701	1
72	NCBITAXON:174621	3
73	NCBITAXON:175694	1
74	NCBITAXON:175787	3
75	NCBITAXON:175797	1
76	NCBITAXON:1774208	11
77	NCBITAXON:1813537	1
78	NCBITAXON:1820382	1
79	NCBITAXON:1825471	1
80	NCBITAXON:182803	1
81	NCBITAXON:1841481	1
82	NCBITAXON:1903417	1
83	NCBITAXON:1903578	1
84	NCBITAXON:190524	1
85	NCBITAXON:192012	1
86	NCBITAXON:1925338	1
87	NCBITAXON:195635	1
88	NCBITAXON:198266	1
89	NCBITAXON:199225	1
90	NCBITAXON:2015173	1
91	NCBITAXON:201550	1
92	NCBITAXON:203262	1
93	NCBITAXON:203696	1
94	NCBITAXON:2047814	1
95	NCBITAXON:205130	1
96	NCBITAXON:2052801	3
97	NCBITAXON:2052802	2
98	NCBITAXON:205691	1
99	NCBITAXON:205692	1
100	NCBITAXON:206307	1
101	NCBITAXON:210409	1
102	NCBITAXON:210640	1
103	NCBITAXON:211604	1
104	NCBITAXON:212787	1
105	NCBITAXON:213863	1
106	NCBITAXON:215716	3
107	NCBITAXON:226677	1
108	NCBITAXON:228871	1
109	NCBITAXON:229990	1
110	NCBITAXON:23110	1
111	NCBITAXON:23211	2
112	NCBITAXON:240154	1
113	NCBITAXON:242124	1
114	NCBITAXON:246437	3
115	NCBITAXON:2497996	1
116	NCBITAXON:253258	1
117	NCBITAXON:2590455	1
118	NCBITAXON:259893	1
119	NCBITAXON:2609070	1
120	NCBITAXON:261852	1
121	NCBITAXON:261999	1
122	NCBITAXON:2623169	1
123	NCBITAXON:262757	1
124	NCBITAXON:265040	1
125	NCBITAXON:266767	3
126	NCBITAXON:27406	1
127	NCBITAXON:27699	1
128	NCBITAXON:27771	1
129	NCBITAXON:278166	1
130	NCBITAXON:283158	4
131	NCBITAXON:28377	2
132	NCBITAXON:28516	2
133	NCBITAXON:28588	2
134	NCBITAXON:286192	1
135	NCBITAXON:286419	1
136	NCBITAXON:28743	1
137	NCBITAXON:288519	1
138	NCBITAXON:28930	6
139	NCBITAXON:289741	1
140	NCBITAXON:29019	1
141	NCBITAXON:290952	1
142	NCBITAXON:294102	1
143	NCBITAXON:295381	1
144	NCBITAXON:29729	2
145	NCBITAXON:299123	1
146	NCBITAXON:29930	1
147	NCBITAXON:300354	1
148	NCBITAXON:30069	4
149	NCBITAXON:301270	1
150	NCBITAXON:30193	1
151	NCBITAXON:30521	5
152	NCBITAXON:307492	1
153	NCBITAXON:309349	1
154	NCBITAXON:310713	1
155	NCBITAXON:310915	1
156	NCBITAXON:31138	1
157	NCBITAXON:31192	2
158	NCBITAXON:312789	1
159	NCBITAXON:3197	13
160	NCBITAXON:32201	1
161	NCBITAXON:323352	1
162	NCBITAXON:326968	2
163	NCBITAXON:3330	2
164	NCBITAXON:335713	1
165	NCBITAXON:336162	1
166	NCBITAXON:338654	1
167	NCBITAXON:34310	2
168	NCBITAXON:34316	1
169	NCBITAXON:343494	2
170	NCBITAXON:3435	4
171	NCBITAXON:3444	1
172	NCBITAXON:34620	1
173	NCBITAXON:3467	1
174	NCBITAXON:34765	6
175	NCBITAXON:34886	1
176	NCBITAXON:34903	1
177	NCBITAXON:3498	1
178	NCBITAXON:349989	2
179	NCBITAXON:3501	1
180	NCBITAXON:35523	1
181	NCBITAXON:35575	1
182	NCBITAXON:35608	1
183	NCBITAXON:35657	1
184	NCBITAXON:35708	2
185	NCBITAXON:357695	1
186	NCBITAXON:357696	3
187	NCBITAXON:35924	2
188	NCBITAXON:36596	1
189	NCBITAXON:3661	1
190	NCBITAXON:3663	3
191	NCBITAXON:3691	3
192	NCBITAXON:3696	2
193	NCBITAXON:3697	1
194	NCBITAXON:37003	1
195	NCBITAXON:3711	14
196	NCBITAXON:3712	5
197	NCBITAXON:3719	1
198	NCBITAXON:3755	1
199	NCBITAXON:3758	2
200	NCBITAXON:37657	2
201	NCBITAXON:3767	5
202	NCBITAXON:37682	1
203	NCBITAXON:378752	1
204	NCBITAXON:380737	1
205	NCBITAXON:381198	2
206	NCBITAXON:381409	1
207	NCBITAXON:385388	1
208	NCBITAXON:38626	1
209	NCBITAXON:386267	1
210	NCBITAXON:3864	3
211	NCBITAXON:3870	1
212	NCBITAXON:38727	5
213	NCBITAXON:387934	2
214	NCBITAXON:38937	1
215	NCBITAXON:38942	3
216	NCBITAXON:3899	1
217	NCBITAXON:391288	1
218	NCBITAXON:3917	3
219	NCBITAXON:39353	1
220	NCBITAXON:39527	1
221	NCBITAXON:39758	3
222	NCBITAXON:3988	1
223	NCBITAXON:3999	1
224	NCBITAXON:4039	1
225	NCBITAXON:4054	2
226	NCBITAXON:40690	1
227	NCBITAXON:412675	1
228	NCBITAXON:413952	1
229	NCBITAXON:41447	1
230	NCBITAXON:4155	1
231	NCBITAXON:41568	4
232	NCBITAXON:4182	3
233	NCBITAXON:4222	1
234	NCBITAXON:42229	3
235	NCBITAXON:4233	1
236	NCBITAXON:4236	7
237	NCBITAXON:42528	3
238	NCBITAXON:4265	1
239	NCBITAXON:43179	5
240	NCBITAXON:4362	1
241	NCBITAXON:44386	1
242	NCBITAXON:44586	1
243	NCBITAXON:4460	2
244	NCBITAXON:4470	1
245	NCBITAXON:447135	1
246	NCBITAXON:4477	1
247	NCBITAXON:45171	1
248	NCBITAXON:4522	1
249	NCBITAXON:4528	1
250	NCBITAXON:4529	4
251	NCBITAXON:45314	1
252	NCBITAXON:4533	1
253	NCBITAXON:4540	1
254	NCBITAXON:4543	3
255	NCBITAXON:4547	3
256	NCBITAXON:4572	4
257	NCBITAXON:4577	269
258	NCBITAXON:4579	1
259	NCBITAXON:46066	1
260	NCBITAXON:46514	1
261	NCBITAXON:4679	1
262	NCBITAXON:4682	5
263	NCBITAXON:4690	1
264	NCBITAXON:47622	2
265	NCBITAXON:47664	1
266	NCBITAXON:477816	4
267	NCBITAXON:47963	2
268	NCBITAXON:48119	1
269	NCBITAXON:48171	3
270	NCBITAXON:481883	1
271	NCBITAXON:48416	1
272	NCBITAXON:48699	1
273	NCBITAXON:48709	1
274	NCBITAXON:49202	1
275	NCBITAXON:49450	1
276	NCBITAXON:49495	1
277	NCBITAXON:50591	1
278	NCBITAXON:50954	3
279	NCBITAXON:51240	4
280	NCBITAXON:51298	1
281	NCBITAXON:51337	1
282	NCBITAXON:51475	1
283	NCBITAXON:51511	1
284	NCBITAXON:519296	1
285	NCBITAXON:52518	1
286	NCBITAXON:53230	1
287	NCBITAXON:538958	1
288	NCBITAXON:543639	1
289	NCBITAXON:544730	1
290	NCBITAXON:56036	1
291	NCBITAXON:56046	1
292	NCBITAXON:56236	1
293	NCBITAXON:565009	1
294	NCBITAXON:56723	3
295	NCBITAXON:58031	1
296	NCBITAXON:58065	2
297	NCBITAXON:582580	1
298	NCBITAXON:58334	1
299	NCBITAXON:589341	1
300	NCBITAXON:59312	2
301	NCBITAXON:59479	2
302	NCBITAXON:60710	2
303	NCBITAXON:60711	22
304	NCBITAXON:60913	1
305	NCBITAXON:610380	12
306	NCBITAXON:61156	2
307	NCBITAXON:61384	1
308	NCBITAXON:61853	3
309	NCBITAXON:61970	1
310	NCBITAXON:62330	6
311	NCBITAXON:625172	1
312	NCBITAXON:62615	1
313	NCBITAXON:62808	1
314	NCBITAXON:63459	3
315	NCBITAXON:64884	1
316	NCBITAXON:65561	1
317	NCBITAXON:66420	2
318	NCBITAXON:66656	1
319	NCBITAXON:66913	1
320	NCBITAXON:6759	1
321	NCBITAXON:6763	1
322	NCBITAXON:6837	1
323	NCBITAXON:68408	1
324	NCBITAXON:688344	1
325	NCBITAXON:689277	2
326	NCBITAXON:6941	3
327	NCBITAXON:6945	3
328	NCBITAXON:696360	6
329	NCBITAXON:6978	1
330	NCBITAXON:7054	1
331	NCBITAXON:707683	1
332	NCBITAXON:70973	2
333	NCBITAXON:7113	1
334	NCBITAXON:7119	2
335	NCBITAXON:7137	1
336	NCBITAXON:7153	1
337	NCBITAXON:7159	41
338	NCBITAXON:7160	1
339	NCBITAXON:71647	11
340	NCBITAXON:7165	16
341	NCBITAXON:7175	1
342	NCBITAXON:7176	4
343	NCBITAXON:72088	1
344	NCBITAXON:7213	5
345	NCBITAXON:7217	3
346	NCBITAXON:7227	2276
347	NCBITAXON:7237	4
348	NCBITAXON:72550	1
349	NCBITAXON:7260	1
350	NCBITAXON:72873	1
351	NCBITAXON:72917	1
352	NCBITAXON:73324	1
353	NCBITAXON:73337	1
354	NCBITAXON:7370	3
355	NCBITAXON:7385	1
356	NCBITAXON:7397	1
357	NCBITAXON:743375	1
358	NCBITAXON:7461	1
359	NCBITAXON:74613	3
360	NCBITAXON:74645	2
361	NCBITAXON:74654	1
362	NCBITAXON:7469	1
363	NCBITAXON:74873	1
364	NCBITAXON:7536	1
365	NCBITAXON:7539	1
366	NCBITAXON:75702	2
