	CURIE	counts
0	-1	17571
1	NCBITAXON:10036	38
2	NCBITAXON:10042	2
3	NCBITAXON:10047	3
4	NCBITAXON:10068	1
5	NCBITAXON:10090	32053
6	NCBITAXON:10116	2349
7	NCBITAXON:101364	2
8	NCBITAXON:10141	17
9	NCBITAXON:1030010	1
10	NCBITAXON:103351	5
11	NCBITAXON:103695	1
12	NCBITAXON:104130	1
13	NCBITAXON:104688	2
14	NCBITAXON:106132	1
15	NCBITAXON:106335	1
16	NCBITAXON:106582	1
17	NCBITAXON:107947	1
18	NCBITAXON:110835	1
19	NCBITAXON:111304	1
20	NCBITAXON:113544	1
21	NCBITAXON:113636	1
22	NCBITAXON:1136872	1
23	NCBITAXON:114398	7
24	NCBITAXON:114617	1
25	NCBITAXON:117167	1
26	NCBITAXON:118357	1
27	NCBITAXON:118781	4
28	NCBITAXON:1188110	1
29	NCBITAXON:1195597	1
30	NCBITAXON:119951	3
31	NCBITAXON:1203425	1
32	NCBITAXON:124752	1
33	NCBITAXON:126418	1
34	NCBITAXON:1266728	2
35	NCBITAXON:126914	1
36	NCBITAXON:126957	1
37	NCBITAXON:127582	1
38	NCBITAXON:128017	1
39	NCBITAXON:128735	3
40	NCBITAXON:128810	1
41	NCBITAXON:13037	5
42	NCBITAXON:13164	2
43	NCBITAXON:132113	1
44	NCBITAXON:1324865	1
45	NCBITAXON:13288	1
46	NCBITAXON:13427	1
47	NCBITAXON:13443	1
48	NCBITAXON:136180	1
49	NCBITAXON:13708	1
50	NCBITAXON:141467	2
51	NCBITAXON:143948	2
52	NCBITAXON:148545	2
53	NCBITAXON:151440	1
54	NCBITAXON:1518534	1
55	NCBITAXON:154437	1
56	NCBITAXON:156304	1
57	NCBITAXON:159041	1
58	NCBITAXON:1609125	1
59	NCBITAXON:1610892	1
60	NCBITAXON:16906	1
61	NCBITAXON:171651	1
62	NCBITAXON:173342	1
63	NCBITAXON:175787	1
64	NCBITAXON:175797	1
65	NCBITAXON:1774208	14
66	NCBITAXON:180454	61
67	NCBITAXON:1813537	1
68	NCBITAXON:1820382	1
69	NCBITAXON:1825471	1
70	NCBITAXON:182803	1
71	NCBITAXON:183431	1
72	NCBITAXON:183674	1
73	NCBITAXON:1841481	1
74	NCBITAXON:1903417	1
75	NCBITAXON:1903578	1
76	NCBITAXON:190802	1
77	NCBITAXON:192012	2
78	NCBITAXON:1925338	2
79	NCBITAXON:195883	1
80	NCBITAXON:1962729	1
81	NCBITAXON:196574	1
82	NCBITAXON:198266	1
83	NCBITAXON:199225	2
84	NCBITAXON:2015173	2
85	NCBITAXON:203696	3
86	NCBITAXON:2047814	1
87	NCBITAXON:2052801	3
88	NCBITAXON:2052802	1
89	NCBITAXON:2055141	1
90	NCBITAXON:205691	1
91	NCBITAXON:205692	1
92	NCBITAXON:206307	1
93	NCBITAXON:207648	1
94	NCBITAXON:210409	1
95	NCBITAXON:211604	1
96	NCBITAXON:212056	1
97	NCBITAXON:212099	1
98	NCBITAXON:214486	1
99	NCBITAXON:214687	1
100	NCBITAXON:215716	1
101	NCBITAXON:225117	2
102	NCBITAXON:226677	1
103	NCBITAXON:23211	5
104	NCBITAXON:240154	1
105	NCBITAXON:242124	1
106	NCBITAXON:246437	1
107	NCBITAXON:246812	1
108	NCBITAXON:24962	1
109	NCBITAXON:257763	1
110	NCBITAXON:2590455	1
111	NCBITAXON:259893	1
112	NCBITAXON:260615	1
113	NCBITAXON:2609070	1
114	NCBITAXON:261999	1
115	NCBITAXON:262757	1
116	NCBITAXON:265045	1
117	NCBITAXON:266767	1
118	NCBITAXON:2708	1
119	NCBITAXON:27406	1
120	NCBITAXON:27689	1
121	NCBITAXON:27771	1
122	NCBITAXON:278166	1
123	NCBITAXON:283035	1
124	NCBITAXON:283158	1
125	NCBITAXON:28377	3
126	NCBITAXON:284495	1
127	NCBITAXON:28516	3
128	NCBITAXON:28588	1
129	NCBITAXON:28610	2
130	NCBITAXON:286192	1
131	NCBITAXON:286419	1
132	NCBITAXON:28743	1
133	NCBITAXON:28930	7
134	NCBITAXON:289741	1
135	NCBITAXON:29154	1
136	NCBITAXON:294102	3
137	NCBITAXON:29729	1
138	NCBITAXON:29780	1
139	NCBITAXON:29808	1
140	NCBITAXON:299123	1
141	NCBITAXON:30069	1
142	NCBITAXON:301270	1
143	NCBITAXON:30193	1
144	NCBITAXON:30427	1
145	NCBITAXON:30521	4
146	NCBITAXON:307492	1
147	NCBITAXON:308085	1
148	NCBITAXON:309349	1
149	NCBITAXON:310915	1
150	NCBITAXON:31138	1
151	NCBITAXON:31192	2
152	NCBITAXON:312789	2
153	NCBITAXON:3197	13
154	NCBITAXON:32260	2
155	NCBITAXON:323352	1
156	NCBITAXON:33125	1
157	NCBITAXON:3330	2
158	NCBITAXON:335713	1
159	NCBITAXON:338654	1
160	NCBITAXON:34310	2
161	NCBITAXON:343494	1
162	NCBITAXON:3435	3
163	NCBITAXON:3467	1
164	NCBITAXON:34765	8
165	NCBITAXON:34779	1
166	NCBITAXON:3486	1
167	NCBITAXON:34886	1
168	NCBITAXON:34903	1
169	NCBITAXON:3498	2
170	NCBITAXON:3544	1
171	NCBITAXON:355587	1
172	NCBITAXON:35575	1
173	NCBITAXON:35608	1
174	NCBITAXON:35657	1
175	NCBITAXON:35708	4
176	NCBITAXON:357695	1
177	NCBITAXON:357696	2
178	NCBITAXON:357931	1
179	NCBITAXON:35924	2
180	NCBITAXON:3617	1
181	NCBITAXON:3634	1
182	NCBITAXON:3658	1
183	NCBITAXON:3663	1
184	NCBITAXON:3691	2
185	NCBITAXON:3695	1
186	NCBITAXON:3696	2
187	NCBITAXON:3697	1
188	NCBITAXON:37003	2
189	NCBITAXON:3711	13
190	NCBITAXON:3712	2
191	NCBITAXON:3719	1
192	NCBITAXON:37293	1
193	NCBITAXON:37347	1
194	NCBITAXON:3755	1
195	NCBITAXON:3758	2
196	NCBITAXON:37657	2
197	NCBITAXON:3767	8
198	NCBITAXON:37717	1
199	NCBITAXON:377276	1
200	NCBITAXON:378752	1
201	NCBITAXON:380737	1
202	NCBITAXON:381198	1
203	NCBITAXON:381409	1
204	NCBITAXON:3848	1
205	NCBITAXON:38626	1
206	NCBITAXON:3864	2
207	NCBITAXON:3870	2
208	NCBITAXON:38727	4
209	NCBITAXON:3873	1
210	NCBITAXON:38937	4
211	NCBITAXON:3899	1
212	NCBITAXON:3917	4
213	NCBITAXON:39353	1
214	NCBITAXON:395014	1
215	NCBITAXON:39527	1
216	NCBITAXON:3999	1
217	NCBITAXON:4039	3
218	NCBITAXON:40505	1
219	NCBITAXON:40690	1
220	NCBITAXON:4108	4
221	NCBITAXON:41378	1
222	NCBITAXON:41447	1
223	NCBITAXON:4153	1
224	NCBITAXON:41568	5
225	NCBITAXON:4182	2
226	NCBITAXON:42064	1
227	NCBITAXON:4222	1
228	NCBITAXON:42229	1
229	NCBITAXON:4233	1
230	NCBITAXON:4236	5
231	NCBITAXON:42526	1
232	NCBITAXON:42528	3
233	NCBITAXON:4265	1
234	NCBITAXON:42839	1
235	NCBITAXON:43179	3
236	NCBITAXON:433688	1
237	NCBITAXON:4362	1
238	NCBITAXON:4392	1
239	NCBITAXON:439429	1
240	NCBITAXON:44386	3
241	NCBITAXON:4460	1
242	NCBITAXON:447135	1
243	NCBITAXON:448114	1
244	NCBITAXON:45171	1
245	NCBITAXON:4522	2
246	NCBITAXON:4529	3
247	NCBITAXON:4533	1
248	NCBITAXON:4543	4
249	NCBITAXON:4547	2
250	NCBITAXON:4555	2
251	NCBITAXON:4568	1
252	NCBITAXON:4572	3
253	NCBITAXON:4577	288
254	NCBITAXON:4579	1
255	NCBITAXON:4606	1
256	NCBITAXON:46066	1
257	NCBITAXON:4615	1
258	NCBITAXON:4679	1
259	NCBITAXON:4682	5
260	NCBITAXON:4690	1
261	NCBITAXON:475907	1
262	NCBITAXON:47622	2
263	NCBITAXON:477816	4
264	NCBITAXON:48171	3
265	NCBITAXON:48709	1
266	NCBITAXON:49495	1
267	NCBITAXON:50591	2
268	NCBITAXON:50954	4
269	NCBITAXON:51239	1
270	NCBITAXON:51240	3
271	NCBITAXON:51350	1
272	NCBITAXON:51475	1
273	NCBITAXON:519296	1
274	NCBITAXON:52518	1
275	NCBITAXON:52670	1
276	NCBITAXON:538958	1
277	NCBITAXON:56723	2
278	NCBITAXON:571814	1
279	NCBITAXON:58031	1
280	NCBITAXON:58065	2
281	NCBITAXON:582580	1
