	CURIE	counts
0	-1	1936
1	DOID0040001	1
2	DOID0040084	57
3	DOID0040086	5
4	DOID0050025	1
5	DOID0050047	1
6	DOID0050050	1
7	DOID0050117	4
8	DOID0050133	2
9	DOID0050138	7
10	DOID0050157	1
11	DOID0050201	3
12	DOID0050430	1
13	DOID0050434	2
14	DOID0050471	54
15	DOID0050472	2
16	DOID0050480	1
17	DOID0050481	2
18	DOID0050485	1
19	DOID0050486	3
20	DOID0050537	2
21	DOID0050589	1817
22	DOID0050592	21
23	DOID0050628	1
24	DOID0050637	1
25	DOID0050638	2
26	DOID0050667	1
27	DOID0050674	1
28	DOID0050741	203
29	DOID0050742	5
30	DOID0050745	4
31	DOID0050746	190
32	DOID0050752	3
33	DOID0050784	2
34	DOID0050799	1
35	DOID0050801	8
36	DOID0050821	3
37	DOID0050822	2
38	DOID0050823	2
39	DOID0050840	36
40	DOID0050856	29
41	DOID0050863	2
42	DOID0050882	1
43	DOID0050908	754
44	DOID0050920	1
45	DOID0050931	1
46	DOID0050936	1
47	DOID0050999	1
48	DOID0060040	14
49	DOID0060048	1
50	DOID0060068	2
51	DOID0060108	24
52	DOID0060119	1
53	DOID0060133	2
54	DOID0060145	410
55	DOID0060151	1
56	DOID0060169	2
57	DOID0060187	1
58	DOID0060193	100
59	DOID0060196	1
60	DOID0060224	5198
61	DOID0060228	1
62	DOID0060244	1
63	DOID0060281	2
64	DOID0060287	1
65	DOID0060336	1
66	DOID0060388	1
67	DOID0060469	1
68	DOID0060478	7
69	DOID0060495	1
70	DOID0060497	1
71	DOID0060498	1
72	DOID0060519	1
73	DOID0060521	1
74	DOID0060544	1
75	DOID0060591	1
76	DOID0060609	1
77	DOID0060713	3
78	DOID0060743	5
79	DOID0060798	1
80	DOID0060806	1
81	DOID0060894	1
82	DOID0060903	2134
83	DOID0060911	1
84	DOID0070039	1
85	DOID0070043	1
86	DOID0070055	1
87	DOID0070062	2
88	DOID0070079	1
89	DOID0070095	1
90	DOID0070098	1
91	DOID0070162	1
92	DOID0070223	1
93	DOID0070280	1
94	DOID0070297	1
95	DOID0070306	6
96	DOID0070317	2
97	DOID0070327	11
98	DOID0070355	13
99	DOID0080015	6
100	DOID0080110	5
101	DOID0080125	4
102	DOID0080181	1
103	DOID0080193	1
104	DOID0080208	1009
105	DOID0080209	1
106	DOID0080218	1
107	DOID0080234	1
108	DOID0080315	43
109	DOID0080410	4
110	DOID0080422	2
111	DOID0080508	1
112	DOID0080523	9
113	DOID0080544	3
114	DOID0080546	246
115	DOID0080618	1
116	DOID0080638	13
117	DOID0080652	1
118	DOID0080665	1
119	DOID0080666	1
120	DOID0080685	41
121	DOID0080696	1
122	DOID0080745	54
123	DOID0080746	11
124	DOID0080748	1
125	DOID0080749	17
126	DOID0080763	5
127	DOID0080776	1
128	DOID0080812	1
129	DOID0080815	1
130	DOID0080818	1
131	DOID0080821	2
132	DOID0080824	1
133	DOID0080827	4
134	DOID0080830	1
135	DOID0080832	194
136	DOID0080841	9
137	DOID0080843	1
138	DOID0080848	5
139	DOID0080850	1
140	DOID0080851	1
141	DOID0080855	286
142	DOID0080883	1
143	DOID0080897	1
144	DOID0080906	3
145	DOID0080907	2
146	DOID0080909	1
147	DOID0080926	1
148	DOID0080928	1
