	CURIE	counts
0	NCBITAXON:10	3
1	NCBITAXON:100	1
2	NCBITAXON:1000442	1
3	NCBITAXON:100053	1
4	NCBITAXON:1000565	3
5	NCBITAXON:1000568	1
6	NCBITAXON:1000569	1
7	NCBITAXON:1000570	1
8	NCBITAXON:1000588	1
9	NCBITAXON:1000953	1
10	NCBITAXON:100123	1
11	NCBITAXON:1001240	1
12	NCBITAXON:1001303	1
13	NCBITAXON:100133	1
14	NCBITAXON:1001551	1
15	NCBITAXON:1001582	1
16	NCBITAXON:1001583	1
17	NCBITAXON:1001585	2
18	NCBITAXON:1001586	1
19	NCBITAXON:1001589	1
20	NCBITAXON:1001591	1
21	NCBITAXON:1001592	2
22	NCBITAXON:1001593	1
23	NCBITAXON:1001594	1
24	NCBITAXON:1001595	1
25	NCBITAXON:1001598	1
26	NCBITAXON:1001599	1
27	NCBITAXON:1001603	1
28	NCBITAXON:1001635	1
29	NCBITAXON:1001702	1
30	NCBITAXON:1001705	1
31	NCBITAXON:1001707	1
32	NCBITAXON:1001709	1
33	NCBITAXON:1001710	1
34	NCBITAXON:1001713	1
35	NCBITAXON:1001714	1
36	NCBITAXON:1001729	1
37	NCBITAXON:1001733	1
38	NCBITAXON:1001734	1
39	NCBITAXON:100175	1
40	NCBITAXON:100176	2
41	NCBITAXON:1001832	1
42	NCBITAXON:1001938	2
43	NCBITAXON:1001989	3
44	NCBITAXON:1001994	1
45	NCBITAXON:1002107	1
46	NCBITAXON:1002227	1
47	NCBITAXON:100225	1
48	NCBITAXON:100226	43
49	NCBITAXON:1002263	1
50	NCBITAXON:1002340	2
51	NCBITAXON:100235	140
52	NCBITAXON:1002367	1
53	NCBITAXON:1002526	1
54	NCBITAXON:1002528	1
55	NCBITAXON:100268	1
56	NCBITAXON:100269	1
57	NCBITAXON:100272	115
58	NCBITAXON:1002725	1
59	NCBITAXON:1002757	1
60	NCBITAXON:1002772	1
61	NCBITAXON:1002870	2
62	NCBITAXON:1002921	2
63	NCBITAXON:1003	1
64	NCBITAXON:1003020	1
65	NCBITAXON:1003031	1
66	NCBITAXON:1003045	1
67	NCBITAXON:1003143	1
68	NCBITAXON:1003181	2
69	NCBITAXON:1003195	2
70	NCBITAXON:1003232	1
71	NCBITAXON:1003239	1
72	NCBITAXON:1003335	2
73	NCBITAXON:100363	1
74	NCBITAXON:100367	1
75	NCBITAXON:1003835	15
