"Data Set","Data Set Version","Apollo","Contact","Contact institution","Release # and date","Build Number Introduced","Category","Data Set Name","dataset_id","Organism(s) (source or reference)","Publications","Release Policy","Short Attribution","Summary","Type","Genes"
"<i>Babesia bigemina</i> strain BOND Genome Sequence and Annotation","2015-01-22","Apollo","Matthew Berriman","Wellcome Sanger Institute, UK","PiroplasmaDB rel. 49, 2020-NOV-05","24","Genomes","bbigBOND_primary_genome_RSRC","DS_0fb36452a4","<i>Babesia bigemina</i> strain BOND<br>","24799432","N/A","Matthew Berriman","Genome sequence and annotation for <i>Babesia bigemina</i> BOND","genome","5090"
"<i>Babesia duncani</i> strain WA1 2023 Genome Sequence and Annotation","2023-09-25","Apollo","Choukri Ben Mamoun","Department of Internal Medicine, Section of Infectious Diseases, Yale School of Medicine, Yale University","PiroplasmaDB rel. 67, 2024-FEB-21","67","Genomes","bdunW12023_primary_genome_RSRC","DS_11e7170fbb","<i>Babesia duncani</i> strain WA1 2023<br>","37055610","N/A","Choukri Ben Mamoun","Genome Sequence and Annotation of <i>Babesia duncani</i> strain WA1 2023","genome","4222"
"Popset Records from GenBank","N/A","Apollo","GenBank","NCBI","PiroplasmaDB rel. 1.0, 01-JAN-05","0","Genetic variation","_isolates_genbank_RSRC$","DS_19a7ddd8f2","<i>Babesia bovis</i> T2Bo<br><i>Theileria annulata</i> strain Ankara<br>","N/A","N/A","GenBank","GenBank records containing sequence and metadata for popsets","isolates","N/A"
"Babesia duncani strain WA1 2023 transcriptome","2023-04-13","Apollo","Choukri Ben Mamoun","Department of Internal Medicine, Section of Infectious Diseases, Yale School of Medicine, Yale University","PiroplasmaDB rel. 67, 2024-FEB-21","67","RNASeq","bdunW12023_bdunW12023_Singh_RNASeq_ebi_rnaSeq_RSRC","DS_1a546a544e","<i>Babesia duncani</i> strain WA1 2023<br>","37055610","N/A","Singh et al 2023","Transcript sample from Babesia duncani strain WA1","transcript_expression","N/A"
"Transcript Profiling Attenuated vs. Virulent strain","2012-05-30","Apollo","Audrey Lau","Washington State University College of Veterinary Medicine","PiroplasmaDB rel. 1.0, 01-JAN-05","0","DNA Microarray Assay","bbovT2Bo_microarrayExpression_lau_RSRC","DS_1ad3789886","<i>Babesia bovis</i> T2Bo<br>","24195453","N/A","Audrey Lau","Expression profiling of attenuated and virulent strains of <i>Babesia bovis</i> 
    using whole genome microarray.","transcript_expression","N/A"
"<i>Babesia ovata</i> strain Miyake Genome Sequence and Annotation","2017-12-16","Apollo","Junya Yamagishi","Hokkaido University, Research Center for Zoonosis Control; North 20, West 10 Kita-ku, Sapporo 001-0020, Japan","PiroplasmaDB rel. 49, 2020-NOV-05","37","Genomes","bovaMiyake_primary_genome_RSRC","DS_1d1738f4e1","<i>Babesia ovata</i> strain Miyake<br>","29078748","N/A","Junya Yamagishi","Genome sequence and annotation for <i>Babesia ovata</i> strain Miyake","genome","5108"
"<i>Cytauxzoon felis</i> strain Winnie Genome Sequence and Annotation","2021-10-05","Apollo","David Bird","Bioinformatics Research Center, Department of Plant Pathology, NC State University","PiroplasmaDB rel. 61, 2022-DEC-15","24","Genomes","cfelWinnie_primary_genome_RSRC","DS_20ac6df45b","<i>Cytauxzoon felis</i> strain Winnie<br>","23977000","N/A","David Bird","Genome sequence and annotation for <i>Cytauxzoon felis</i> Winnie","genome","4321"
"Chemical Entities of Biological Interest Compounds","2021-10-13","N/A","EMBL-EBI","EMBL-EBI","PiroplasmaDB rel. 1.0, 01-JAN-05","0","Compounds from ChEBI","compounds_chEBI_RSRC","DS_32b4753324","<br>","23180789","N/A","EMBL-EBI","Compound records from Chemical Entities of Biological Interest (ChEBI)","compound","N/A"
"Schizont Proteome (Ankara)","2013-06-27","Apollo","Jonathan M. Wastling","University of Liverpool","PiroplasmaDB rel. 4.0, 2013-SEP-25","19","Protein expression","tannAnkara_massSpec_dobbelaere_RSRC","DS_32e9d08ac5","<i>Theileria annulata</i> strain Ankara<br>","23178997","N/A","Witschi et al.","Total schizont proteome of <i>T. annulata</i> Ankara purified from infected macrophage.","protein_expression","N/A"
"The Sequence Ontology","2015-05-15","N/A","The Sequence Ontology Project (SO)","N/A","PiroplasmaDB rel. 1.0, 01-JAN-05","0","Ontology and terminology","SO_RSRC","DS_3331bdf8a7","<br>","15892872","N/A","The Sequence Ontology Project (SO)","The Sequence Ontology Project (SO) is a joint effort by genome annotation centres, including: WormBase, 
         FlyBase, the Mouse Genome Informatics group, and the Sanger Institute. As part of the Gene Ontology Project 
         and the Open Biomedical Ontologies (OBO), their aim is to develop an ontology, or hierarchical vocabulary, suitable for describing biological sequences.","sres","N/A"
"Comparative single-cell atlases of Babesia species: B. divergens, cow host","2022-08-16","Apollo","Kourosh Zarringhalam","Department of Mathematics, University of Massachusetts Boston, Boston, MA, USA","PiroplasmaDB rel. 59, 2022-AUG-30","59","scRNA-Seq","bdiv1802A_zarringhalam_cow_cellxgene_RSRC","DS_3732ce6bec","<i>Babesia divergens</i> strain 1802A<br>","36137068","N/A","Rezvani et al.","Comparative single-cell atlases of <i>Babesia</i> species in different hosts.","transcript_expression","N/A"
"NCBI Taxonomy","2020-07-29","N/A","TAXON","NCBI","PiroplasmaDB rel. 1.0, 01-JAN-05","0","Taxonomy and Phylogeny","taxonomy_RSRC","DS_385ea4f5f9","<br>","N/A","N/A","TAXON","The NCBI Taxonomy database is a curated set of names and classifications for all organisms that are represented in the Entrez databases. 
         The Taxonomy database attempts to incorporate phylogenetic and taxonomic knowledge from a variety of sources, including the published literature,
          web-based databases, and the advice of sequence submitters and outside taxonomy experts.","sres","N/A"
"<i>Babesia microti</i> strain ATCC PRA-99 Genome Sequence","2016-05-23","N/A","Joana Carneiro da Silva","University of Maryland School of Medicine","PiroplasmaDB rel. 49, 2020-NOV-05","49","Genomes","bmicATCCPRA99_primary_genome_RSRC","DS_38f61ae798","<i>Babesia microti</i> strain ATCC PRA-99<br>","N/A","N/A","Joana Carneiro da Silva","Genome Sequence for <i>Babesia microti</i> strain ATCC PRA-99","genome","N/A"
"<i>Theileria parva</i> strain Muguga Genome Sequence and Annotation","2020-06-11","Apollo","Joana C. Silva","Institute for Genome Sciences, University of Maryland School of Medicine","PiroplasmaDB rel. 53, 2021-JUL-21","10","Genomes","tparMuguga_primary_genome_RSRC","DS_3edcadd790","<i>Theileria parva</i> strain Muguga<br>","15994558, 32245418","N/A","Joana C. Silva","<i>Theileria parva</i> Muguga sequence and annotation","genome","4129"
